,Age,Gender,AnnualIncome,NumberOfPurchases,ProductCategory,TimeSpentOnWebsite,LoyaltyProgram,DiscountsAvailed,PurchaseStatus
0,40,Female,66120.26793867795,8,Electronics,30.56860115599193,No,5,Yes
1,20,Female,23579.773583030517,4,Home Goods,38.2400966055442,No,5,No
2,27,Female,127821.3064316501,11,Home Goods,31.633211501604148,Yes,0,Yes
3,24,Female,137798.62311954965,19,Beauty,46.16705881166296,No,4,Yes
4,31,Female,99300.96422033316,19,Clothing,19.82359186249564,No,0,Yes
5,66,Female,37758.11747465244,14,Sports,17.827492934546594,No,2,No
6,39,Female,126883.38528613505,16,Beauty,42.0853835194488,Yes,4,Yes
7,64,Female,39707.35972401292,13,Home Goods,17.190291539022134,Yes,0,No
8,43,Male,102797.30126911662,20,Clothing,6.023474556808846,No,3,No
9,20,Female,63854.92107998205,16,Electronics,38.57246639277682,No,5,Yes
10,66,Female,66199.99392914612,11,Clothing,1.4155319628243697,Yes,5,Yes
11,70,Female,83556.71813301867,11,Home Goods,42.173999325776514,No,4,Yes
12,54,Male,114467.22896914204,9,Home Goods,17.626043673393056,Yes,5,Yes
13,64,Female,31880.893223130934,17,Electronics,22.75347251623372,Yes,1,No
14,19,Female,107485.6609112762,7,Clothing,28.26032122753378,Yes,4,Yes
15,70,Female,67049.59880892246,2,Sports,21.895097608810204,No,0,No
16,51,Female,129174.20886637548,13,Sports,21.808776090014348,No,0,Yes
17,18,Female,128374.49505188612,0,Home Goods,16.768262423676642,No,4,No
18,57,Male,71740.68808408537,12,Home Goods,40.69672742492697,No,2,No
19,20,Male,121499.00618889718,12,Beauty,21.240052218659383,Yes,0,Yes
20,59,Male,92768.23887298974,3,Home Goods,1.037023481078914,No,5,No
21,19,Male,116945.39175506018,17,Beauty,5.953791243356875,No,5,Yes
22,46,Female,133256.58269419678,7,Home Goods,41.68540086646056,No,2,No
23,22,Female,56597.755793940894,16,Sports,14.827835349994656,Yes,1,Yes
24,31,Male,78117.2206948353,13,Electronics,30.353469185591575,No,1,Yes
25,62,Male,108227.09436743344,18,Beauty,10.39038595563596,No,2,No
26,67,Female,102252.54423731811,14,Clothing,44.49593419070698,No,5,Yes
27,66,Male,97875.7963295496,17,Clothing,54.593550364371815,No,2,Yes
28,67,Female,23792.06927388438,15,Sports,28.64750679716908,Yes,5,No
29,48,Female,138727.3031849108,9,Electronics,13.71525859531836,No,2,No
30,52,Female,42589.00710764669,1,Clothing,3.626033317294109,Yes,5,No
31,63,Male,80023.09869570548,11,Home Goods,44.96924768417404,No,0,No
32,36,Male,144947.6131029871,12,Clothing,26.151565326802128,No,4,Yes
33,37,Male,101842.50059592575,16,Beauty,17.34032246935198,No,1,No
34,25,Male,139395.43617890312,1,Electronics,1.64978814180084,No,2,No
35,40,Female,107419.86474325375,15,Home Goods,28.881975329587483,No,5,Yes
36,53,Female,93069.46327233424,12,Beauty,44.39322491166161,Yes,0,Yes
37,30,Male,52154.24105648084,15,Clothing,18.96686815993161,No,2,No
38,66,Male,124009.22593089074,7,Sports,52.24461701636442,No,0,No
39,43,Male,48046.28829293903,5,Home Goods,29.53911611105208,Yes,0,No
40,43,Female,43303.22954801271,13,Beauty,2.7576397379247086,No,5,No
41,68,Male,64874.98710424737,9,Clothing,42.14942186169406,No,4,Yes
42,59,Male,123832.8449150947,7,Home Goods,49.28016124284287,No,1,No
43,45,Female,99978.5269700314,15,Home Goods,40.62795362887603,Yes,0,Yes
44,50,Female,57327.93455099482,20,Clothing,30.65517682165396,Yes,3,Yes
