,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Age,EmployeeId,DateEmployment,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,Over18,NumCompaniesWorked,Country,Sons,Attrition,BusinessTravel,DailyRate,Department,EmployeeCount,HourlyRate,JobLevel,JobRole,MonthlyIncome,MonthlyRate,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TrainingTimesLastYear,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction
0,21,Bachelor,Other,Male,Single,19,70b8db40-4f58-476f-8776-c00802b0cdb9,2000-01-13 02:53:47,14,0,0,1,,1.0,Austria,1,Yes,Travel_Rarely,419.0,Sales,1,37,1,Sales Representative,2121,9947,Yes,13,80.0,0,3,Very High,Medium,Medium,Excellent,Medium
1,25,College,Technical Degree,Female,Married,30,0722da7a-530b-41dd-b705-c79f7627f677,2000-01-17 03:53:10,16,0,0,4,Y,7.0,España,1,No,Non-Travel,641.0,Sales,1,85,2,Sales Executive,4736,6069,Yes,12,80.0,1,2,Very High,High,High,Excellent,Medium
2,1,College,Life Sciences,Male,Single,22,b5fed13f-7785-4daf-bb8c-1037f84e5fa7,2000-01-21 05:42:21,20,0,0,4,Y,0.0,República Checa,1,No,Travel_Rarely,581.0,Research & Development,1,63,1,Research Scientist,3375,17624,No,12,80.0,0,2,Very High,High,High,Excellent,Very High
3,4,College,Technical Degree,Male,Married,42,4b0a1169-b286-44fb-a453-b97ca934db57,2000-01-28 16:59:19,11,1,5,22,,1.0,Misisipi,1,No,Travel_Rarely,532.0,Research & Development,1,58,5,Manager,19232,4933,No,11,80.0,0,3,High,High,Very High,Excellent,Very High
4,2,Master,Life Sciences,Female,Single,36,6affb754-8e52-43a7-9e97-4e373ef5fccb,2000-02-02 22:58:25,13,0,7,17,,3.0,Portugal,1,No,Travel_Rarely,530.0,Sales,1,51,2,Sales Representative,4502,7439,No,15,80.0,0,2,High,High,Very High,Excellent,High
5,10,Bachelor,Medical,Male,Single,32,098c5463-e599-44ad-95f7-922ffe4b3d20,2000-02-06 14:19:30,15,0,0,10,,2.0,Noruega,0,No,Travel_Rarely,495.0,Research & Development,1,64,3,Manager,11244,21072,No,25,80.0,0,5,High,High,Very High,Outstanding,Medium
6,6,Bachelor,Medical,Female,Married,43,69658f26-48fa-4573-8317-2668b70f54a9,2000-02-14 15:46:42,4,0,6,21,,7.0,Italia,0,No,Travel_Rarely,,Research & Development,1,81,5,Manager,19392,22539,No,13,80.0,0,2,Low,Medium,High,Excellent,Very High
7,28,Below College,Medical,Male,Married,50,e3b6a3f7-9046-494f-a3a3-396caa04c5b8,2000-02-19 14:51:34,2,0,2,20,Y,1.0,Bélgica,1,No,Travel_Rarely,1207.0,Research & Development,1,74,1,Laboratory Technician,3221,3297,Yes,11,80.0,3,3,Very High,Very High,High,Excellent,High
8,6,Bachelor,Medical,Female,Divorced,38,0ce9edf2-7655-47ab-918d-2e6f511ace72,2000-02-22 11:00:45,4,0,8,17,,7.0,Croacia,1,No,Non-Travel,573.0,Research & Development,1,79,2,Research Scientist,5329,15717,Yes,12,,3,3,Medium,Low,Very High,Excellent,Very High
9,9,Master,Life Sciences,Male,Married,41,4c27df95-d97d-4165-8792-f39a3477a650,2000-03-04 21:27:50,23,1,1,7,Y,2.0,Grecia,0,No,Travel_Rarely,933.0,Research & Development,1,94,1,Laboratory Technician,2238,6961,No,21,,1,2,High,High,Low,Outstanding,Very High
10,15,Bachelor,Life Sciences,Female,Married,27,00bd794d-9419-41d0-86cf-348d1c35c893,2000-03-16 12:32:35,11,0,3,8,,0.0,Bélgica,0,No,Travel_Frequently,1131.0,Research & Development,1,77,1,Research Scientist,4774,23844,No,19,,1,2,Very High,Medium,Low,Excellent,Very High
11,4,Below College,Technical Degree,Male,Single,22,3c212f34-4095-470c-b8a7-1147e4fc38bb,2000-03-20 05:07:49,13,1,2,4,,5.0,Noruega,0,Yes,Travel_Frequently,1368.0,Research & Development,1,99,1,Laboratory Technician,3894,9129,No,16,80.0,0,3,High,Medium,High,Excellent,High
12,13,Master,Life Sciences,Male,Single,46,f7f2a39c-2d93-4377-a975-e62f3b47ae13,2000-03-28 17:44:27,17,0,3,19,Y,6.0,Wyoming,0,No,Travel_Rarely,717.0,Research & Development,1,34,2,Healthcare Representative,5562,9697,No,14,80.0,0,3,High,High,Medium,Excellent,Very High
13,7,Master,Medical,Male,Single,37,16c56649-71d8-4838-9c96-4be92132d7cf,2000-04-08 05:52:40,3,0,1,16,,4.0,Delaware,1,No,Travel_Rarely,397.0,Research & Development,1,30,3,Research Director,13664,25258,No,13,80.0,0,3,Low,High,High,Excellent,Low
14,23,,Life Sciences,Male,Single,41,c5824d7b-9539-4de7-9308-c05472a4afdf,2000-04-13 12:04:58,8,0,1,21,Y,3.0,Texas,0,No,Travel_Rarely,1206.0,Sales,1,80,3,Sales Executive,7082,11591,Yes,16,80.0,0,2,Very High,High,High,Excellent,Very High
15,5,Below College,Medical,Male,Single,21,2b8f1f1e-3c57-4141-aadb-50d4a258bc72,2000-04-14 23:57:16,5,1,2,3,,1.0,Italia,0,No,Travel_Rarely,546.0,Research & Development,1,97,1,Research Scientist,3117,26009,No,18,80.0,0,2,High,High,,Excellent,High
16,2,Bachelor,Life Sciences,Female,Single,30,b890a7d2-2d53-4570-a8cc-56d4f2ca9065,2000-04-15 05:19:55,18,0,0,11,Y,2.0,Iowa,1,No,,317.0,Research & Development,1,43,2,Manufacturing Director,6091,24793,No,20,80.0,0,2,High,Low,Very High,Outstanding,High
17,14,Master,Medical,Male,Single,55,dc9e265c-6915-4805-b272-f3354ea07f32,2000-04-16 18:56:32,11,1,14,36,Y,8.0,Finlandia,1,No,,,Research & Development,1,61,5,Research Director,18722,13339,No,11,,0,3,High,Very High,Medium,Excellent,Very High
18,1,College,Life Sciences,Male,Married,34,9f414465-76a0-43ac-8fe5-3bce11183bf1,2000-04-18 19:08:15,18,0,0,6,,1.0,Utah,1,No,Travel_Rarely,254.0,Research & Development,1,83,1,Research Scientist,3622,22794,Yes,13,80.0,1,3,Medium,Medium,Very High,Excellent,Very High
19,1,College,Life Sciences,Female,Married,26,1c22851e-587d-493c-996f-ecf618faa5fb,2000-04-23 21:48:05,2,1,0,1,,1.0,Dinamarca,0,No,Travel_Rarely,482.0,Research & Development,1,90,1,Research Scientist,2933,14908,Yes,13,80.0,1,3,Medium,Medium,High,Excellent,High
20,26,Below College,Medical,Female,Single,25,aacfc140-6fd5-4dae-9fa0-428100a4a947,2000-04-27 03:39:38,6,1,4,6,Y,1.0,Croacia,0,No,Travel_Rarely,,Sales,1,32,2,Sales Executive,6180,22807,No,23,80.0,0,5,High,High,Very High,Outstanding,Medium
21,3,College,Medical,Female,Single,18,6915942d-c6f3-46b6-9858-6017853ca41c,2000-04-28 12:22:17,0,0,0,0,Y,1.0,Indiana,1,Yes,Travel_Frequently,544.0,Sales,1,70,1,Sales Representative,1569,18420,Yes,12,,0,2,Medium,High,Very High,Excellent,High
22,2,Master,Life Sciences,Male,Single,58,326d3298-faf1-4ce9-a5e0-66169bb095cb,2000-06-07 14:22:22,13,9,1,40,,7.0,Maine,1,Yes,Travel_Rarely,286.0,Research & Development,1,31,5,Research Director,19246,25761,Yes,12,80.0,0,2,Very High,High,Medium,Excellent,Very High
23,28,Bachelor,Medical,Female,Married,44,aec56b61-f9e0-4aba-94b9-c6037f3fb1f9,2000-06-08 06:57:00,15,3,6,23,Y,3.0,California,0,No,Travel_Rarely,,Sales,1,53,4,Sales Executive,13320,11737,Yes,18,80.0,1,2,Very High,Very High,Very High,Excellent,High
24,25,College,Life Sciences,Female,Married,38,6c0a20d7-0bb5-4e4c-a2df-520c640169a4,2000-06-14 18:07:38,7,0,0,19,,3.0,Dinamarca,0,No,Travel_Rarely,,Research & Development,1,81,3,Research Director,12061,26707,No,17,80.0,1,2,Low,Medium,Medium,Excellent,High
25,24,College,Technical Degree,Male,Single,28,f3442d9f-b942-42ad-8d87-6f8d4136c634,2000-06-16 02:02:31,20,0,4,10,Y,1.0,Alaska,0,Yes,,1366.0,Research & Development,1,72,3,Healthcare Representative,8722,12355,No,12,80.0,0,2,Medium,Medium,Low,Excellent,Low
26,1,Master,Life Sciences,Male,Married,52,ba5016dd-4253-442b-a6ad-73c991eadeca,2000-06-16 13:57:00,15,9,2,34,Y,0.0,Suecia,0,No,Travel_Rarely,699.0,Research & Development,1,65,5,Manager,19999,5678,No,14,80.0,1,5,High,Medium,High,Excellent,Low
