"año";"NCODI";"ccaa_Codigo";"ccaa";"cod_finalidad agrupada";"Finalidad_agrupada";"cod_depend_agrupada";"Depend_agrupada"
2010;975,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;960,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1027,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1028,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;976,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;977,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1020,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;994,00;"09";"CATALUÑA";"1";"Agudos";"1";"Públicos_SNS"
2010;995,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1059,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1060,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;1005,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1061,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;1062,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1006,00;"09";"CATALUÑA";"2";"Otros";"1";"Públicos_SNS"
2010;1088,00;"09";"CATALUÑA";"1";"Agudos";"2";"Privados"
2010;1076,00;"09";"CATALUÑA";"2";"Otros";"2";"Privados"
2010;207,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"2";"Privados"
2010;431,00;"07";"CASTILLA Y LEÓN";"2";"Otros";"2";"Privados"
2010;387,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2010;179,00;"07";"CASTILLA Y LEÓN";"2";"Otros";"2";"Privados"
2010;606,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2010;925,00;"07";"CASTILLA Y LEÓN";"1";"Agudos";"1";"Públicos_SNS"
2010;541,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;797,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;627,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;173,00;"11";"EXTREMADURA";"2";"Otros";"1";"Públicos_SNS"
2010;636,00;"11";"EXTREMADURA";"1";"Agudos";"1";"Públicos_SNS"
2010;205,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2010;814,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2010;881,00;"11";"EXTREMADURA";"1";"Agudos";"2";"Privados"
2010;771,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;533,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;447,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;815,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;801,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;800,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;389,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;759,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;695,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;816,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;833,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;870,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;927,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;961,00;"01";"ANDALUCÍA";"1";"Agudos";"1";"Públicos_SNS"
2010;962,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;1079,00;"01";"ANDALUCÍA";"1";"Agudos";"2";"Privados"
2010;666,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
2010;392,00;"10";"COMUNIDAD VALENCIANA";"2";"Otros";"1";"Públicos_SNS"
2010;790,00;"10";"COMUNIDAD VALENCIANA";"1";"Agudos";"1";"Públicos_SNS"
