"año";"NCODI";"camas instaladas";"incubadoras_instalada";"paritorios_instalada";"quirofanos_instalada";"salasHemo_instalada";"camas_funcionamiento";"incubadoras_funcionamiento";"paritorios_funcionamiento";"quirofanos_funcionamiento";"salasHemo_funcionamiento";"salas_rx_Hospital";"salas_rx_CEP";"puesto_HDia_medico";"puesto_HDia_psiquiatrico";"puesto_HDia_geriatrico";"integradasPuestos_HDia_CMA";"propiasPuestos_HDia_CMA";"propiasQuirofanos_HDia_CMA"
2010;781,00;"200 - 500 camas";23;3;10;2;478;23;3;10;2;6;5;1;0;0;3;0;0
2010;779,00;"200 - 500 camas";0;0;19;0;259;0;0;19;0;5;0;16;4;0;10;0;10
2010;113,00;"200 - 500 camas";0;0;0;0;226;0;0;0;0;0;0;0;0;0;0;0;0
2010;619,00;"Menos de 200 camas";0;0;5;1;73;0;0;5;1;3;0;4;0;0;4;0;0
2010;163,00;"Menos de 200 camas";0;0;4;0;26;0;0;4;0;1;0;0;0;0;0;0;1
2010;131,00;"Menos de 200 camas";0;0;0;0;120;0;0;0;0;0;0;0;0;0;0;0;0
2010;375,00;"Menos de 200 camas";0;0;0;0;63;0;0;0;0;1;0;0;0;0;0;0;0
2010;764,00;"501 - 1000 camas";13;2;15;1;720;13;2;15;1;17;0;16;56;8;32;0;0
2010;14,00;"Menos de 200 camas";3;2;3;0;42;3;2;3;0;1;0;0;0;0;0;0;0
2010;657,00;"Menos de 200 camas";2;1;4;0;115;2;1;4;0;3;0;1;0;0;3;1;1
2010;362,00;"Menos de 200 camas";1;1;3;1;65;1;1;3;1;7;0;0;0;0;8;0;0
2010;989,00;"Menos de 200 camas";0;1;4;0;83;0;1;3;0;4;0;5;0;0;0;0;0
2010;990,00;"Menos de 200 camas";1;1;4;0;86;1;1;2;0;2;0;10;0;0;0;6;0
2010;680,00;"501 - 1000 camas";24;3;27;1;815;24;3;27;1;12;3;36;0;0;3;0;0
2010;411,00;"Menos de 200 camas";4;2;7;2;104;4;2;7;2;3;0;6;0;0;0;0;0
2010;241,00;"Menos de 200 camas";3;2;7;1;103;3;2;7;1;2;0;6;0;0;2;0;0
2010;558,00;"200 - 500 camas";5;2;7;0;271;5;2;5;0;9;0;21;0;0;5;12;2
2010;167,00;"Menos de 200 camas";2;1;2;0;16;0;1;2;0;1;0;0;0;0;0;0;0
2010;224,00;"Menos de 200 camas";1;1;2;0;23;1;1;2;0;2;0;0;0;0;0;3;2
2010;591,00;"200 - 500 camas";24;2;13;1;460;24;2;13;1;7;3;36;0;0;0;0;0
2010;586,00;"501 - 1000 camas";14;2;12;0;420;14;2;12;0;13;3;26;0;0;0;0;0
2010;453,00;"Menos de 200 camas";0;0;0;0;119;0;0;0;0;2;0;6;0;0;0;0;0
2010;145,00;"Menos de 200 camas";0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;0
2010;511,00;"200 - 500 camas";7;2;9;0;263;7;2;9;0;6;3;10;0;0;0;14;0
2010;530,00;"200 - 500 camas";8;2;9;0;344;8;2;9;0;6;3;25;0;0;0;2;2
2010;6,00;"Menos de 200 camas";3;1;7;0;54;3;1;7;0;1;0;0;0;0;10;0;0
2010;161,00;"200 - 500 camas";0;0;0;0;390;0;0;0;0;0;0;0;0;0;0;0;0
2010;623,00;"200 - 500 camas";14;2;10;1;370;14;2;10;1;8;2;18;0;0;0;12;0
2010;489,00;"Menos de 200 camas";0;0;1;0;10;0;0;1;0;1;0;0;0;0;0;0;0
2010;349,00;"Menos de 200 camas";0;2;1;0;22;0;2;1;0;1;0;0;0;0;6;0;0
