"año";"NCODI";"anestesia_cTotal";"aDigestivo_cTotal";"cardiologia_cTotal";"neurologia_cTotal";"mFisica_cTotal";"mResto_cTotal";"subMedicas_cTotal";"angiologia_cTotal";"cCardio_cTotal";"cGeneral_cTotal";"cOral_cTotal";"cOrtopedica_cTotal";"cPediatrica_cTotal";"cPlastica_cTotal";"cToracica_cTotal";"dermatologia_cTotal";"neurocirugia_cTotal";"obstetricia_cTotal";"oftalmologia_cTotal";"otorrino_cTotal";"urologia_cTotal";"subQuirurgicas_cTotal";"pediatria_cTotal";"mIntensiva_cTotal";"psiquiatria_cTotal";"sCentrales_cTotal";"urgencias_cTotal";"total_cMedicos";"farmaceuticos_cTotal";"oTituSuperior_cTotal";"anestesia_cMujeres";"aDigestivo_cMujeres";"cardiologia_cMujeres";"neurologia_cMujeres";"mFisica_cMujeres";"mResto_cMujeres";"subMedicas_cMujeres";"angiologia_cMujeres";"cCardio_cMujeres";"cGeneral_cMujeres";"cOral_cMujeres";"cOrtopedica_cMujeres";"cPediatrica_cMujeres";"cPlastica_cMujeres";"cToracica_cMujeres";"dermatologia_cMujeres";"neurocirugia_cMujeres";"obstetricia_cMujeres";"oftalmologia_cMujeres";"otorrino_cMujeres";"urologia_cMujeres";"subQuirurgicas_cMujeres";"pediatria_cMujeres";"mIntensiva_cMujeres";"psiquiatria_cMujeres";"sCentrales_cMujeres";"urgencias_cMujeres";"total_cMujerMedicos";"farmaceuticos_cMujeres";"oTituSuperior_cMujeres";"anestesia_pTotal";"aDigestivo_pTotal";"cardiologia_pTotal";"neurologia_pTotal";"mFisica_pTotal";"mResto_pTotal";"subMedicas_pTotal";"angiologia_pTotal";"cCardio_pTotal";"cGeneral_pTotal";"cOral_pTotal";"cOrtopedica_pTotal";"cPediatrica_pTotal";"cPlastica_pTotal";"cToracica_pTotal";"dermatologia_pTotal";"neurocirugia_pTotal";"obstetricia_pTotal";"oftalmologia_pTotal";"otorrino_pTotal";"urologia_pTotal";"subQuirurgicas_pTotal";"pediatria_pTotal";"mIntensiva_pTotal";"psiquiatria_pTotal";"sCentrales_pTotal";"urgencias_pTotal";"total_pMedicos";"farmaceuticos_pTotal";"oTituSuperior_pTotal";"anestesia_pMujeres";"aDigestivo_pMujeres";"cardiologia_pMujeres";"neurologia_pMujeres";"mFisica_pMujeres";"mResto_pMujeres";"subMedicas_pMujeres";"angiologia_pMujeres";"cCardio_pMujeres";"cGeneral_pMujeres";"cOral_pMujeres";"cOrtopedica_pMujeres";"cPediatrica_pMujeres";"cPlastica_pMujeres";"cToracica_pMujeres";"dermatologia_pMujeres";"neurocirugia_pMujeres";"obstetricia_pMujeres";"oftalmologia_pMujeres";"otorrino_pMujeres";"urologia_pMujeres";"subQuirurgicas_pMujeres";"pediatria_pMujeres";"mIntensiva_pMujeres";"psiquiatria_pMujeres";"sCentrales_pMujeres";"urgencias_pMujeres";"total_pMujerMedicos";"farmaceuticos_pMujeres";"oTituSuperior_pMujeres";"anestesia_colabTotal";"aDigestivo_colabTotal";"cardiologia_colabTotal";"neurologia_colabTotal";"mFisica_colabTotal";"mResto_colabTotal";"subMedicas_colabTotal";"angiologia_colabTotal";"cCardio_colabTotal";"cGeneral_colabTotal";"cOral_colabTotal";"cOrtopedica_colabTotal";"cPediatrica_colabTotal";"cPlastica_colabTotal";"cToracica_colabTotal";"dermatologia_colabTotal";"neurocirugia_colabTotal";"obstetricia_colabTotal";"oftalmologia_colabTotal";"otorrino_colabTotal";"urologia_colabTotal";"subQuirurgicas_colabTotal";"pediatria_colabTotal";"mIntensiva_colabTotal";"psiquiatria_colabTotal";"sCentrales_colabTotal";"urgencias_colabTotal";"total_colabMedicos";"farmaceuticos_colabTotal";"oTituSuperior_colabTotal";"anestesia_colabMujeres";"aDigestivo_colabMujeres";"cardiologia_colabMujeres";"neurologia_colabMujeres";"mFisica_colabMujeres";"mResto_colabMujeres";"subMedicas_colabMujeres";"angiologia_colabMujeres";"cCardio_colabMujeres";"cGeneral_colabMujeres";"cOral_colabMujeres";"cOrtopedica_colabMujeres";"cPediatrica_colabMujeres";"cPlastica_colabMujeres";"cToracica_colabMujeres";"dermatologia_colabMujeres";"neurocirugia_colabMujeres";"obstetricia_colabMujeres";"oftalmologia_colabMujeres";"otorrino_colabMujeres";"urologia_colabMujeres";"subQuirurgicas_colabMujeres";"pediatria_colabMujeres";"mIntensiva_colabMujeres";"psiquiatria_colabMujeres";"sCentrales_colabMujeres";"urgencias_colabMujeres";"total_colabMujerMedicos";"farmaceuticos_colabMujeres";"oTituSuperior_colabMujeres"
2010;781,00;24;10;14;8;4;99;159;3;0;15;0;14;0;0;0;4;0;25;12;7;8;88;21;9;1;0;34;312;7;19;19;6;6;4;3;60;98;2;0;2;0;1;0;0;0;3;0;14;3;3;1;29;16;4;1;0;15;163;4;15;1;1;0;0;0;4;6;0;0;0;0;3;0;0;0;0;0;1;3;1;0;8;0;0;0;0;0;14;0;0;1;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;779,00;16;7;7;4;3;32;69;5;0;13;4;17;0;0;0;7;6;6;6;7;9;80;2;15;13;16;19;214;4;18;11;4;2;2;2;4;25;2;0;1;2;3;0;0;0;4;3;2;4;1;2;24;1;6;6;11;13;86;2;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;113,00;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;10;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;619,00;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;6;1;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;6;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;3;1;1;0;0;1;6;3;4;8;3;14;0;1;0;3;0;6;4;4;3;53;0;2;0;1;3;65;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;1;3;0;0;7;0;0;0;0;0;8;0;0
2010;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;15;19;2;0;2;0;6;0;2;0;0;3;10;0;1;1;27;0;0;0;0;0;46;0;0;0;0;0;0;0;5;5;0;0;0;0;1;0;0;0;0;1;5;0;0;0;7;0;0;0;0;0;12;0;0
2010;131,00;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;7;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;375,00;0;0;1;0;0;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;0;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;764,00;51;17;19;13;15;164;279;7;0;33;4;35;4;6;3;9;5;39;25;18;14;202;31;10;23;97;61;703;12;16;22;7;2;6;11;84;132;3;0;5;2;5;3;1;0;4;0;21;9;5;1;59;22;1;13;52;39;318;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;1;1;0;17;27;0;0;2;1;6;0;4;0;2;1;10;1;3;3;33;3;0;0;1;5;69;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;3;0;1;0;4;1;0;0;0;1;8;0;0
2010;657,00;7;3;1;0;4;12;27;0;0;6;0;7;0;0;0;1;0;7;5;3;2;31;5;6;5;14;18;106;2;0;2;2;0;0;2;4;10;0;0;1;0;4;0;0;0;0;0;1;1;0;0;7;1;0;3;7;10;38;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
