"año";"NCODI";"due_cTotal";"matronas_cTotal";"oDueEspeciali_cTotal";"fisioterapeutas_cTotal";"terapeutas_cTotal";"logopedas_cTotal";"oSaniMedio_cTotal";"gMedioSani_cTotal";"gSuperiorSani_cTotal";"tecSani_cTotal";"restSani_cTotal2";"due_cMujeres";"matronas_cMujeres";"oDueEspeciali_cMujeres";"fisioterapeutas_cMujeres";"terapeutas_cMujeres";"logopedas_cMujeres";"oSaniMedio_cMujeres";"gMedioSani_cMujeres";"gSuperiorSani_cMujeres";"tecSani_cMujeres";"restSani_cMujeres2";"due_pTotal";"matronas_pTotal";"oDueEspeciali_pTotal";"fisioterapeutas_pTotal";"terapeutas_pTotal";"logopedas_pTotal";"oSaniMedio_pTotal";"gMedioSani_pTotal";"gSuperiorSani_pTotal";"tecSani_pTotal";"restSani_pTotal2";"due_pMujeres";"matronas_pMujeres";"oDueEspeciali_pMujeres";"fisioterapeutas_pMujeres";"terapeutas_pMujeres";"logopedas_pMujeres";"oSaniMedio_pMujeres";"gMedioSani_pMujeres";"gSuperiorSani_pMujeres";"tecSani_pMujeres";"restSani_pMujeres2";"due_colabTotal";"matronas_colabTotal";"oDueEspeciali_colabTotal";"fisioterapeutas_colabTotal";"terapeutas_colabTotal";"logopedas_colabTotal";"oSaniMedio_colabTotal";"gMedioSani_colabTotal";"gSuperiorSani_colabTotal";"tecSani_colabTotal";"restSani_colabTotal2";"due_colabMujeres";"matronas_colabMujeres";"oDueEspeciali_colabMujeres";"fisioterapeutas_colabMujeres";"terapeutas_colabMujeres";"logopedas_colabMujeres";"oSaniMedio_colabMujeres";"gMedioSani_colabMujeres";"gSuperiorSani_colabMujeres";"tecSani_colabMujeres";"restSani_colabMujeres2";"direccion_cTotal";"trabSocial_cTotal";"perOficio_cTotal";"administrativos_cTotal";"oNoSani_cTotal";"direccion_cMujeres";"trabSocial_cMujeres";"perOficio_cMujeres";"administrativos_cMujeres";"oNoSani_cMujeres";"direccion_pTotal";"trabSocial_pTotal";"perOficio_pTotal";"administrativos_pTotal";"oNoSani_pTotal";"direccion_pMujeres";"trabSocial_pMujeres";"perOficio_pMujeres";"administrativos_pMujeres";"oNoSani_pMujeres";"direccion_colabTotal";"trabSocial_colabTotal";"perOficio_colabTotal";"administrativos_colabTotal";"oNoSani_colabTotal";"direccion_colabMujeres";"trabSocial_colabMujeres";"perOficio_colabMujeres";"administrativos_colabMujeres";"oNoSani_colabMujeres"
2010;781,00;592;24;2;22;0;0;1;378;86;464;0;555;24;1;16;0;0;1;368;72;440;0;124;5;0;10;0;0;0;44;9;53;0;115;5;0;7;0;0;0;43;8;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2;30;166;227;14;2;3;146;137;1;0;0;20;15;1;0;0;20;10;0;0;0;0;0;0;0;0;0;0
2010;779,00;404;0;34;24;1;0;0;333;56;389;0;375;0;33;21;1;0;0;313;48;361;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;3;30;146;237;13;3;6;134;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;113,00;48;0;0;0;1;0;0;116;0;116;0;44;0;0;0;1;0;0;97;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;4;11;20;43;5;3;0;15;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;619,00;46;0;0;0;0;0;0;1;0;1;35;43;0;0;0;0;0;0;1;0;1;29;9;0;0;0;0;0;0;1;0;1;13;7;0;0;0;0;0;0;1;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;2;23;25;2;0;0;19;20;0;0;2;8;3;0;0;0;7;3;1;0;0;0;0;0;0;0;0;0
2010;163,00;20;0;0;0;0;0;0;18;5;23;0;20;0;0;0;0;0;0;18;4;22;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;1;6;4;4;0;0;6;1;0;0;0;7;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0
2010;131,00;10;0;0;1;1;0;0;40;0;40;0;8;0;0;1;1;0;0;32;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;22;2;0;1;1;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;375,00;28;0;0;4;0;0;0;28;4;32;0;26;0;0;3;0;0;0;26;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;37;5;8;1;0;30;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;764,00;874;25;0;36;7;2;0;623;141;764;0;779;23;0;26;7;2;0;603;119;722;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;12;83;263;383;25;11;7;209;263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;14,00;33;0;0;0;0;0;0;20;1;21;0;29;0;0;0;0;0;0;20;0;20;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;6;3;12;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;657,00;137;6;0;11;0;0;0;118;18;136;0;108;4;0;10;0;0;0;115;15;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;13;48;51;2;2;0;36;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;362,00;65;0;0;2;0;0;0;33;11;44;1;54;0;0;1;0;0;0;30;10;40;1;13;0;0;0;0;0;0;3;1;4;0;12;0;0;0;0;0;0;2;1;3;0;1;2;3;1;0;1;0;0;0;0;2;0;1;2;0;0;1;0;0;0;0;2;4;0;4;22;32;1;0;0;14;19;0;0;1;7;3;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0
2010;989,00;240;7;0;14;4;1;0;151;50;201;0;210;5;0;9;4;1;0;142;45;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;68;88;1;1;0;51;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;990,00;132;6;0;5;1;1;1;110;23;133;0;114;6;0;1;1;1;1;103;18;121;0;9;0;0;0;0;0;0;1;1;2;0;8;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1;3;40;40;5;1;1;32;19;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
2010;680,00;1010;28;0;23;0;0;0;789;82;871;3;795;26;0;16;0;0;0;770;71;841;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;10;108;237;338;20;10;29;200;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;411,00;75;4;0;3;0;0;0;75;14;89;0;57;4;0;2;0;0;0;73;13;86;0;16;0;0;0;0;0;0;13;7;20;0;12;0;0;0;0;0;0;13;4;17;0;4;5;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;4;0;0;31;57;2;0;0;21;34;0;0;0;4;8;0;0;0;3;4;0;0;0;0;1;0;0;0;0;0
2010;241,00;58;0;0;0;0;0;0;85;0;85;0;45;0;0;0;0;0;0;68;0;68;0;21;0;0;0;0;0;0;9;0;9;0;15;0;0;0;0;0;0;8;0;8;0;0;8;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;3;0;2;19;7;1;0;0;11;7;1;0;1;10;4;1;0;0;9;3;0;0;0;0;0;0;0;0;0;0
2010;558,00;318;11;0;10;0;0;1;194;38;232;0;279;11;0;4;0;0;1;186;31;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;1;35;82;130;5;1;8;71;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;167,00;2;0;0;0;0;0;0;5;0;5;0;2;0;0;0;0;0;0;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
