"año";"NCODI";"progAngioVasc_hosp";"urgeAngioVasc_hosp";"progAngioVasc_cma";"urgeAngioVasc_cma";"progAngioVasc_resto";"urgeAngioVasc_resto";"progAngioVasc_total";"urgeAngioVasc_total";"progCirCardio_hosp";"urgeCirCardio_hosp";"progCirCardio_cma";"urgeCirCardio_cma";"progCirCardio_resto";"urgeCirCardio_resto";"progCirCardio_total";"urgeCirCardio_total";"progCirGeneral_hosp";"urgeCirGeneral_hosp";"progCirGeneral_cma";"urgeCirGeneral_cma";"progCirGeneral_resto";"urgeCirGeneral_resto";"progCirGeneral_total";"urgeCirGeneral_total";"progMaxilo_hosp";"urgeMaxilo_hosp";"progMaxilo_cma";"urgeMaxilo_cma";"progMaxilo_resto";"urgeMaxilo_resto";"progMaxilo_total";"urgeMaxilo_total";"progCirPediat_hosp";"urgeCirPediat_hosp";"progCirPediat_cma";"urgeCirPediat_cma";"progCirPediat_resto";"urgeCirPediat_resto";"progCirPediat_total";"urgeCirPediat_total";"progPlastica_hosp";"urgePlastica_hosp";"progPlastica_cma";"urgePlastica_cma";"progPlastica_resto";"urgePlastica_resto";"progPlastica_total";"urgePlastica_total";"progToracica_hosp";"urgeToracica_hosp";"progToracica_cma";"urgeToracica_cma";"progToracica_resto";"urgeToracica_resto";"progToracica_total";"urgeToracica_total";"progDerma_hosp";"urgeDerma_hosp";"progDerma_cma";"urgeDerma_cma";"progDerma_resto";"urgeDerma_resto";"progDerma_total";"urgeDerma_total";"progGine_hosp";"urgeGine_hosp";"progGine_cma";"urgeGine_cma";"progGine_resto";"urgeGine_resto";"progGine_total";"urgeGine_total";"progCirNeuro_hosp";"urgeCirNeuro_hosp";"progCirNeuro_cma";"urgeCirNeuro_cma";"progCirNeuro_resto";"urgeCirNeuro_resto";"progCirNeuro_total";"urgeCirNeuro_total";"progOftalmo_hosp";"urgeOftalmo_hosp";"progOftalmo_cma";"urgeOftalmo_cma";"progOftalmo_resto";"urgeOftalmo_resto";"progOftalmo_total";"urgeOftalmo_total";"progORL_hosp";"urgeORL_hosp";"progORL_cma";"urgeORL_cma";"progORL_resto";"urgeORL_resto";"progORL_total";"urgeORL_total";"progTrauma_hosp";"urgeTrauma_hosp";"progTrauma_cma";"urgeTrauma_cma";"progTrauma_resto";"urgeTrauma_resto";"progTrauma_total";"urgeTrauma_total";"progUrolog_hosp";"urgeUrolog_hosp";"progUrolog_cma";"urgeUrolog_cma";"progUrolog_resto";"urgeUrolog_resto";"progUrolog_total";"urgeUrolog_total";"progOtrasCirugias_hosp";"urgeOtrasCirugias_hosp";"progOtrasCirugias_cma";"urgeOtrasCirugias_cma";"progOtrasCirugias_resto";"urgeOtrasCirugias_resto";"progOtrasCirugias_total";"urgeOtrasCirugias_total";"totalProg_hosp";"totalUrge_hosp";"totalProg_cma";"totalUrge_cma";"totalProg_resto";"totalUrge_resto";"total_programada";"total_urgente"
2010;781,00;394;438;0;0;4;5;398;443;0;0;0;0;0;0;0;0;1238;645;0;0;939;94;2177;739;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;3740;2;3753;2;915;506;0;0;7;4;922;510;0;0;0;0;0;0;0;0;20;5;0;0;218;0;238;5;377;28;0;0;29;0;406;28;1153;414;0;0;72;16;1225;430;508;48;0;0;441;2;949;50;0;0;0;0;0;0;0;0;4618;2084;0;0;5450;123;10068;2207
2010;779,00;199;38;96;0;8;0;303;38;0;0;0;0;0;0;0;0;518;349;272;0;633;0;1423;349;113;6;506;0;462;0;1081;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;1189;0;1208;0;168;47;89;0;5;0;262;47;110;82;0;0;7;0;117;82;19;2;686;0;127;0;832;2;187;11;94;0;35;0;316;11;728;222;76;0;25;0;829;222;391;24;19;0;249;0;659;24;65;73;3;0;14;0;82;73;2517;854;1841;0;2754;0;7112;854
2010;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;619,00;57;0;88;0;0;0;145;0;9;0;34;0;0;0;43;0;326;54;1417;27;301;0;2044;81;5;0;0;0;167;0;172;0;0;0;0;0;0;0;0;0;97;5;0;0;59;0;156;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;104;19;14;0;73;0;191;19;0;0;0;0;0;0;0;0;4;0;0;0;225;0;229;0;44;0;0;0;3;0;47;0;0;0;0;0;0;0;0;0;62;2;0;0;220;0;282;2;0;0;0;0;0;0;0;0;713;80;1553;27;1048;0;3314;107
2010;163,00;116;0;0;0;0;0;116;0;0;0;0;0;0;0;0;0;80;0;3493;0;0;0;3573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;122;0;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;50;0;1293;0;0;0;0;0;1293;0;54;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;1721;0;3493;0;0;0;5214;0
2010;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;764,00;374;94;126;0;95;5;595;99;0;0;0;0;0;0;0;0;994;814;1090;22;144;6;2228;842;248;20;2;1;7;0;257;21;263;105;248;1;114;0;625;106;418;4;108;0;63;0;589;4;289;38;1;0;0;0;290;38;0;0;172;0;17;0;189;0;421;896;126;0;202;107;749;1003;476;97;5;0;16;5;497;102;144;37;1379;0;1494;10;3017;47;369;61;273;3;112;5;754;69;1592;525;428;14;444;86;2464;625;767;175;293;1;377;7;1437;183;7;26;0;0;140;7;147;33;6362;2892;4251;42;3225;238;13838;3172
2010;14,00;3;0;4;0;0;0;7;0;0;0;0;0;0;0;0;0;286;16;115;5;0;0;401;21;5;0;2;0;0;0;7;0;0;0;0;0;0;0;0;0;143;0;117;0;0;0;260;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;56;0;363;2;34;1;0;0;397;3;4;1;4;0;0;0;8;1;1;0;29;0;0;0;30;0;59;0;30;0;0;0;89;0;469;12;136;0;0;0;605;12;55;4;136;0;0;0;191;4;15;30;431;0;0;0;446;30;1403;65;1094;6;0;0;2497;71
2010;657,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;633;225;2;0;193;46;828;271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;0;194;0;236;186;1;0;94;12;331;198;0;0;0;0;0;0;0;0;261;4;668;0;414;1;1343;5;192;14;64;0;14;10;270;24;345;158;222;0;254;18;821;176;106;19;17;0;341;3;464;22;0;0;0;0;0;0;0;0;1773;606;974;0;1504;90;4251;696
2010;362,00;0;5;300;0;0;0;300;5;374;26;0;0;0;0;374;26;350;38;1233;0;0;0;1583;38;200;0;0;0;2334;0;2534;0;0;0;0;0;0;0;0;0;197;0;28;0;0;0;225;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;107;0;96;0;28;0;0;0;124;0;179;4;0;0;0;0;179;4;62;0;1255;0;0;0;1317;0;15;0;81;0;0;0;96;0;550;52;1724;0;0;0;2274;52;48;0;0;0;214;0;262;0;0;0;0;0;0;0;0;0;2071;125;4649;0;2655;0;9375;125
2010;989,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;218;168;177;0;214;0;609;168;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;132;0;94;0;231;1;77;161;3;0;39;0;119;161;0;0;0;0;0;0;0;0;5;5;420;0;51;0;476;5;36;2;49;0;42;0;127;2;267;91;334;0;73;0;674;91;0;2;142;0;19;0;161;2;0;0;0;0;34;0;34;0;608;430;1257;0;566;0;2431;430
2010;990,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;201;200;416;1;61;4;678;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;7;0;29;0;93;226;52;0;14;0;159;226;0;0;0;0;0;0;0;0;1;0;343;0;59;3;403;3;55;1;82;0;63;0;200;1;297;52;231;2;137;42;665;96;0;0;70;0;71;0;141;0;0;0;0;0;0;0;0;0;647;479;1216;3;412;49;2275;531
2010;680,00;601;58;4;0;45;0;650;58;299;81;0;0;0;0;299;81;1442;946;330;0;608;0;2380;946;5;0;19;0;0;0;24;0;614;236;480;0;0;0;1094;236;788;54;49;0;199;0;1036;54;310;172;7;0;1;0;318;172;2;1;235;0;1725;0;1962;1;916;1047;145;0;1;0;1062;1047;491;216;10;0;102;0;603;216;488;52;786;0;576;0;1850;52;767;152;71;0;72;0;910;152;4681;293;286;0;391;0;5358;293;658;123;4;0;751;0;1413;123;0;23;0;0;0;0;0;23;12062;3454;2426;0;4471;0;18959;3454
2010;411,00;16;0;352;0;25;0;393;0;32;2;0;0;0;0;32;2;1519;35;635;4;0;0;2154;39;0;0;0;0;0;0;0;0;18;2;12;1;0;0;30;3;39;0;104;0;202;0;345;0;78;0;0;0;0;0;78;0;12;0;488;0;116;0;616;0;747;19;397;0;42;0;1186;19;54;0;0;0;0;0;54;0;3;7;2006;19;611;0;2620;26;81;0;142;0;37;0;260;0;1154;21;633;42;124;0;1911;63;133;5;271;0;0;0;404;5;166;12;93;0;137;0;396;12;4052;103;5133;66;1294;0;10479;169
2010;241,00;199;4;425;0;0;0;624;4;26;14;0;0;0;0;26;14;938;73;107;0;0;0;1045;73;87;0;343;0;0;0;430;0;174;1;1;0;0;0;175;1;174;6;57;0;0;0;231;6;15;5;0;0;0;0;15;5;0;1;240;0;0;0;240;1;856;334;59;0;0;0;915;334;185;2;30;0;0;0;215;2;0;0;903;0;0;0;903;0;297;9;16;0;0;0;313;9;1505;291;506;0;0;0;2011;291;173;8;103;0;0;0;276;8;52;130;249;0;1155;0;1456;130;4681;878;3039;0;1155;0;8875;878
2010;558,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;664;358;289;0;803;9;1756;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;453;0;453;0;293;488;123;0;1;1;417;489;0;0;0;0;0;0;0;0;14;1;677;0;301;0;992;1;194;16;70;0;66;1;330;17;616;66;193;0;84;10;893;76;154;1;0;0;150;0;304;1;0;0;0;0;0;0;0;0;1935;930;1352;0;1858;21;5145;951
2010;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411;9;0;0;0;0;411;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;1;0;0;0;0;123;1;0;0;0;0;0;0;0;0;0;0;0;0;49;0;49;0;15;0;0;0;7;0;22;0;298;0;0;0;42;22;340;22;8;0;0;0;10;0;18;0;0;0;0;0;0;0;0;0;864;10;0;0;108;22;972;32
2010;224,00;17;0;0;0;7;0;24;0;0;0;0;0;0;0;0;0;133;96;0;0;303;0;436;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;31;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;228;0;228;0;301;63;0;0;323;0;624;63;16;0;0;0;0;0;16;0;2;0;0;0;43;0;45;0;23;0;0;0;37;0;60;0;138;84;0;0;241;0;379;84;24;0;0;0;25;0;49;0;0;0;0;0;0;0;0;0;678;243;0;0;1238;0;1916;243
