"año";"NCODI";"partoVaginal";"cesareas";"rNacVivos";"vivos_menor2500";"exitusMaternal"
2010;781,00;2385;275;2706;200;0
2010;779,00;0;0;0;0;0
2010;113,00;0;0;0;0;0
2010;619,00;0;0;0;0;0
2010;163,00;0;0;0;0;0
2010;131,00;0;0;0;0;0
2010;375,00;0;0;0;0;0
2010;764,00;1906;578;2532;257;0
2010;14,00;331;235;595;0;0
2010;657,00;389;131;515;5;0
2010;362,00;36;13;49;0;0
2010;989,00;326;75;403;0;0
2010;990,00;390;136;532;30;0
2010;680,00;2197;659;2933;278;0
2010;411,00;302;312;614;23;
2010;241,00;305;498;825;47;0
2010;558,00;783;369;1170;69;0
2010;167,00;12;21;33;2;
2010;224,00;128;88;210;5;0
2010;591,00;1663;489;2205;247;0
2010;586,00;1286;343;1650;117;0
2010;453,00;0;0;0;0;0
2010;145,00;0;0;0;0;0
2010;511,00;806;377;1187;82;0
2010;530,00;1204;333;1560;89;0
2010;6,00;278;312;590;38;0
2010;161,00;0;0;0;0;0
2010;623,00;1062;282;1386;125;0
2010;489,00;0;0;0;0;0
2010;349,00;182;65;252;5;
2010;875,00;0;0;0;0;0
2010;908,00;0;0;0;0;0
2010;940,00;0;0;0;0;
2010;946,00;128;101;229;0;0
2010;1023,00;1094;297;1405;82;0
2010;1054,00;1145;296;1177;54;0
2010;1057,00;0;0;0;0;
2010;1031,00;0;0;0;0;0
2010;1032,00;677;200;883;55;0
2010;226,00;523;191;713;0;0
2010;687,00;1017;198;1230;62;0
2010;745,00;2695;845;3615;343;0
2010;109,00;196;139;337;2;0
2010;808,00;2110;537;2674;144;
2010;971,00;0;0;0;0;
2010;128,00;0;0;0;0;0
2010;919,00;905;275;1197;45;0
2010;725,00;2269;650;2960;158;0
2010;3,00;0;0;0;0;0
2010;386,00;0;0;0;0;
2010;306,00;0;0;0;0;0
2010;15,00;0;0;0;0;0
2010;264,00;293;167;458;0;0
2010;867,00;0;0;0;0;0
2010;910,00;475;218;698;30;0
2010;1053,00;739;348;1101;53;0
2010;1055,00;448;126;1737;60;0
2010;732,00;1379;463;1897;264;0
2010;529,00;0;0;0;0;0
2010;345,00;0;0;0;0;0
2010;515,00;0;0;0;0;
2010;174,00;0;0;0;0;
2010;523,00;0;0;0;0;0
2010;697,00;764;270;1031;64;0
2010;239,00;0;0;0;0;0
2010;287,00;694;349;1059;39;0
2010;377,00;0;0;0;0;0
2010;692,00;903;235;1142;51;0
2010;335,00;0;0;0;0;0
2010;435,00;84;48;133;0;
2010;423,00;57;59;118;0;0
2010;351,00;0;0;0;0;0
2010;810,00;12;3;15;0;0
2010;830,00;1004;173;1175;0;0
2010;892,00;2019;512;2582;195;0
2010;921,00;490;310;816;44;0
2010;991,00;46;22;68;0;
2010;992,00;847;158;1008;28;0
2010;993,00;598;166;777;40;0
2010;473,00;2511;944;3590;537;0
2010;663,00;1144;366;1518;115;0
2010;552,00;0;0;0;0;0
2010;772,00;0;0;0;0;0
2010;568,00;0;0;0;0;0
2010;398,00;0;0;0;0;0
2010;394,00;0;0;0;0;0
2010;614,00;0;0;0;0;0
2010;235,00;0;0;0;0;0
2010;616,00;0;0;0;0;0
2010;267,00;1811;1070;2931;171;0
2010;565,00;0;0;0;0;0
2010;220,00;619;484;1125;48;0
2010;278,00;1284;783;2086;150;0
2010;107,00;0;0;0;0;0
2010;141,00;0;0;0;0;0
2010;711,00;1471;477;1997;139;0
2010;569,00;0;0;0;0;0
2010;204,00;0;0;0;0;0
2010;579,00;0;0;0;0;0
2010;348,00;0;0;0;0;0
2010;766,00;0;0;0;0;0
2010;761,00;0;0;0;0;0
2010;728,00;138;126;264;17;0
2010;280,00;1568;1118;2781;0;0
2010;222,00;0;0;0;0;0
2010;276,00;2063;1160;3305;291;0
2010;11,00;311;237;558;12;0
2010;302,00;150;109;261;3;0
2010;682,00;0;0;0;0;0
2010;279,00;1675;819;2612;260;0
2010;282,00;1384;871;2304;147;0
2010;281,00;762;594;1396;64;0
2010;183,00;0;0;0;0;0
2010;610,00;0;0;0;0;0
2010;116,00;0;0;0;0;0
2010;115,00;0;0;0;0;0
2010;114,00;0;0;0;0;0
2010;126,00;0;0;0;0;0
2010;156,00;0;0;0;0;0
2010;119,00;0;0;0;0;0
2010;770,00;1324;443;1762;141;0
2010;583,00;0;0;0;0;0
2010;136,00;0;0;0;0;0
2010;469,00;120;71;190;7;0
2010;642,00;514;208;726;35;0
2010;674,00;3076;922;4059;445;0
2010;193,00;0;0;0;0;0
2010;526,00;1595;426;2043;92;0
2010;698,00;0;0;0;0;0
2010;630,00;1217;271;1485;46;0
2010;124,00;0;0;0;0;0
2010;364,00;0;0;0;0;0
2010;604,00;1684;602;2306;187;0
2010;123,00;0;0;0;0;0
2010;310,00;0;0;0;0;0
2010;571,00;765;228;993;45;0
2010;296,00;0;0;0;0;0
2010;566,00;498;138;635;0;0
2010;784,00;2491;529;3045;249;0
2010;102,00;0;0;0;0;0
2010;379,00;0;0;0;0;0
2010;639,00;632;200;838;58;0
2010;457,00;0;0;0;0;0
2010;609,00;1814;940;2799;191;0
2010;101,00;0;0;0;0;0
2010;454,00;689;164;853;32;0
2010;318,00;0;0;0;0;0
2010;600,00;1066;277;1343;33;0
2010;545,00;1441;219;1671;117;0
2010;100,00;0;0;0;0;0
2010;702,00;1528;341;1896;152;0
2010;778,00;1365;350;1728;84;0
2010;341,00;0;0;0;0;0
2010;99,00;0;0;0;0;0
2010;767,00;0;0;0;0;0
2010;359,00;0;0;0;0;0
2010;98,00;0;0;0;0;0
2010;132,00;0;0;0;0;0
2010;97,00;0;0;0;0;0
2010;103,00;0;0;0;0;0
2010;110,00;0;0;0;0;0
2010;94,00;0;0;0;0;0
2010;91,00;0;0;0;0;0
2010;664,00;1236;336;1587;100;0
2010;918,00;2721;771;3512;466;1
2010;92,00;0;0;0;0;0
2010;93,00;0;0;0;0;0
2010;95,00;0;0;0;0;0
2010;96,00;0;0;0;0;0
2010;301,00;0;0;0;0;0
2010;492,00;616;129;740;28;0
2010;811,00;74;29;105;11;0
2010;812,00;0;0;0;0;0
2010;832,00;0;0;0;0;0
2010;841,00;0;0;0;0;0
2010;856,00;0;0;0;0;0
2010;859,00;0;0;0;0;0
2010;861,00;0;0;0;0;0
2010;880,00;0;0;0;0;0
2010;883,00;0;0;0;0;0
2010;884,00;0;0;0;0;0
2010;877,00;0;0;0;0;0
2010;911,00;0;0;0;0;0
2010;913,00;0;0;0;0;0
2010;922,00;0;0;0;0;0
2010;923,00;0;0;0;0;0
2010;924,00;0;0;0;0;0
2010;947,00;0;0;0;0;0
2010;951,00;0;0;0;0;0
2010;972,00;0;0;0;0;0
2010;973,00;0;0;0;0;0
2010;974,00;0;0;0;0;0
2010;975,00;0;0;0;0;0
2010;960,00;0;0;0;0;0
2010;1027,00;0;0;0;0;0
2010;1028,00;0;0;0;0;0
2010;976,00;0;0;0;0;0
2010;977,00;0;0;0;0;0
2010;1020,00;0;0;0;0;0
2010;994,00;975;196;1190;17;0
2010;995,00;0;0;0;0;0
2010;1059,00;0;0;0;0;0
2010;1060,00;0;0;0;0;0
2010;1005,00;0;0;0;0;0
2010;1061,00;0;0;0;0;0
2010;1062,00;0;0;0;0;0
2010;1006,00;0;0;0;0;0
2010;1088,00;0;0;0;0;0
