"año";"NCODI";"pacienteTot_med";"sesionTot_med";"pacienteTot_psiquia";"sesionTot_psiquia";"pacienteTot_geria";"sesionTot_geria"
2010;781,00;1097;7935;0;0;0;0
2010;779,00;4338;4338;1780;1780;0;0
2010;113,00;0;0;0;0;0;0
2010;619,00;163;714;0;0;0;0
2010;163,00;0;0;0;0;0;0
2010;131,00;0;0;0;0;0;0
2010;375,00;0;0;0;0;0;0
2010;764,00;1845;12694;4980;9248;79;193
2010;14,00;0;0;0;0;0;0
2010;657,00;193;292;0;0;0;0
2010;362,00;0;0;0;0;0;0
2010;989,00;323;2563;0;0;0;0
2010;990,00;220;1438;0;0;0;0
2010;680,00;34957;47671;0;0;0;0
2010;411,00;309;1498;0;0;0;0
2010;241,00;164;768;0;0;0;0
2010;558,00;2776;57879;0;0;0;0
2010;167,00;0;0;0;0;0;0
2010;224,00;0;0;0;0;0;0
2010;591,00;1;28532;0;0;0;0
2010;586,00;10644;28847;0;0;0;0
2010;453,00;38;1354;0;0;0;0
2010;145,00;0;0;0;0;0;0
2010;511,00;10443;13780;0;0;0;0
2010;530,00;4261;28606;0;0;0;0
2010;6,00;0;0;0;0;0;0
2010;161,00;0;0;0;0;0;0
2010;623,00;2019;7830;0;0;0;0
2010;489,00;0;0;0;0;0;0
2010;349,00;0;0;0;0;0;0
2010;875,00;117;637;0;0;0;0
2010;908,00;0;0;0;0;0;0
2010;940,00;0;0;0;0;0;0
2010;946,00;0;0;0;0;0;0
2010;1023,00;16966;39894;0;0;0;0
2010;1054,00;0;0;0;0;0;0
2010;1057,00;0;0;0;0;0;0
2010;1031,00;0;0;0;0;0;0
2010;1032,00;3480;7694;0;0;0;0
2010;226,00;0;0;0;0;0;0
2010;687,00;2274;3170;44;3842;0;0
2010;745,00;4277;18457;129;6096;0;0
2010;109,00;0;0;0;0;0;0
2010;808,00;0;0;81;5065;0;0
2010;971,00;198;263;0;0;0;0
2010;128,00;0;0;0;0;0;0
2010;919,00;1219;7370;86;908;0;0
2010;725,00;2711;12341;0;0;0;0
2010;3,00;0;0;0;0;0;0
2010;386,00;0;0;0;0;0;0
2010;306,00;0;0;0;0;0;0
2010;15,00;0;0;0;0;0;0
2010;264,00;0;0;0;0;0;0
2010;867,00;0;0;0;0;0;0
2010;910,00;483;8454;0;0;0;0
2010;1053,00;325;4973;0;0;0;0
2010;1055,00;4203;10838;0;0;0;0
2010;732,00;500;11237;160;4761;0;0
2010;529,00;0;0;0;0;0;0
2010;345,00;0;0;0;0;0;0
2010;515,00;0;0;0;0;0;0
2010;174,00;0;0;0;0;157;3681
2010;523,00;0;0;0;0;160;5316
2010;697,00;2190;2190;0;0;0;0
2010;239,00;400;756;0;0;0;0
2010;287,00;400;4815;0;0;0;0
2010;377,00;0;0;0;0;0;0
2010;692,00;477;3834;55;2671;0;0
2010;335,00;0;0;0;0;0;0
2010;435,00;0;0;0;0;0;0
2010;423,00;0;0;0;0;0;0
2010;351,00;0;0;0;0;0;0
2010;810,00;0;0;0;0;0;0
2010;830,00;6003;10590;0;0;0;0
2010;892,00;1999;12317;87;3858;0;0
2010;921,00;0;0;0;0;0;0
2010;991,00;0;0;0;0;0;0
2010;992,00;281;3211;163;3554;0;0
2010;993,00;1390;11051;132;1696;0;0
2010;473,00;1227;3443;0;0;0;0
2010;663,00;6062;24728;0;0;0;0
2010;552,00;1062;6846;0;0;0;0
2010;772,00;19758;80495;874;11323;129;12690
2010;568,00;0;0;0;0;0;0
2010;398,00;0;0;0;0;0;0
2010;394,00;0;0;0;0;0;0
2010;614,00;0;0;0;0;0;0
2010;235,00;0;0;0;0;0;0
2010;616,00;2826;7221;0;0;0;0
