"año";"NCODI";"primDiges_hosp";"totDiges_hosp";"primDigestivo_CEP";"totDigestivo_CEP";"primCardio_hosp";"totCardio_hosp";"primCardio_CEP";"totCardio_CEP";"primDerma_hosp";"totDerma_hosp";"primDerma_CEP";"totDerma_CEP";"primNeurolog_hosp";"totNeurolog_hosp";"primNeurolog_CEP";"totNeurolog_CEP";"primPsquia_hosp";"totPsquia_hosp";"primPsquia_CEP";"totPsquia_CEP";"primRestoMed_hosp";"totRestoMed_hosp";"primRestoMed_CEP";"totRestoMed_CEP";"primCirGeneral_hosp";"totCirGeneral_hosp";"primCirGeneral_CEP";"totCirGeneral_CEP";"primTrauma_hosp";"totTrauma_hosp";"primTrauma_CEP";"totTrauma_CEP";"primGine_hosp";"totGine_hosp";"primGine_CEP";"totGine_CEP";"primOftalmo_hosp";"totOftalmo_hosp";"primOftalmo_CEP";"totOftalmo_CEP";"primOrl_hosp";"totOrl_hosp";"primOrl_CEP";"totOrl_CEP";"primUrolog_hosp";"totUrolog_hosp";"primUrolog_CEP";"totUrolog_CEP";"primRestoQuirurg_hosp";"totRestoQuirurg_hosp";"primRestoQuirurg_CEP";"totRestoQuirurg_CEP";"primPediatria_hosp";"totPediatria_hosp";"primPediatria_CEP";"totPediatria_CEP";"primPreAnest_hosp";"totPreAnest_hosp";"primPreAnest_CEP";"totPreAnest_CEP";"primRehabil_hosp";"totRehabil_hosp";"primRehabil_CEP";"totRehabil_CEP";"primOtrasConsul_hosp";"totOtrasConsul_hosp";"primOtrasConsul_CEP";"totOtrasConsul_CEP";"primTotal_hosp";"total_hosp";"primTotal_CEP";"total_CEP";"otrasTexto"
2010;781,00;2485;13007;0;0;1799;7621;0;0;1572;4822;3539;7927;1952;7098;761;2072;168;300;0;0;10281;68662;0;0;3626;11454;515;515;6605;23616;2553;9577;5003;22858;8064;30812;1076;17806;6587;13945;3852;8511;1946;3631;61;114;3104;16399;1064;3891;0;0;2737;13875;0;0;9246;9251;0;0;3435;10934;0;0;1723;16023;258;1188;56685;239843;27327;86066;"Otras"
2010;779,00;1868;7164;0;0;1660;6831;0;0;9913;26366;0;0;2064;4265;0;0;130;3492;0;0;9549;49215;0;0;2570;7693;0;0;7387;25666;0;0;3256;11529;0;0;8019;21213;0;0;4079;12587;0;0;3637;18426;0;0;3556;9228;0;0;90;162;0;0;4219;4418;0;0;3194;10190;0;0;2683;2683;0;0;67874;221128;0;0;"Otras"
2010;113,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;416;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;416;0;0;"Otras"
2010;619,00;0;0;0;0;233;606;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;233;606;0;0;"Otras"
2010;163,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otras"
2010;131,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otras"
2010;375,00;0;0;0;0;63;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;1400;0;0;0;0;0;0;477;2333;0;0;"Otras"
2010;764,00;4034;15853;0;0;4476;15877;0;0;13731;26418;0;0;4092;15235;0;0;4415;24336;0;0;24322;126530;0;0;6031;17275;0;0;19510;53642;0;0;11593;41474;0;0;22347;56020;0;0;8638;23240;0;0;4607;19276;0;0;10641;34928;0;0;0;14297;0;0;10015;10015;0;0;11919;33918;0;0;0;0;0;0;160371;528334;0;0;"Otras"
2010;14,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otras"
2010;657,00;1511;4748;0;0;107;300;0;0;2979;4276;0;0;0;0;0;0;1034;3340;0;0;5409;17707;0;0;1858;4847;0;0;4373;12373;0;0;4356;11245;0;0;6266;14112;0;0;2762;7759;0;0;1417;5509;0;0;0;0;0;0;568;1891;0;0;2353;2521;0;0;3541;10516;0;0;0;0;0;0;38534;101144;0;0;"Otras"
2010;362,00;320;618;0;0;1300;6246;0;0;2025;5396;0;0;622;1942;0;0;210;459;0;0;3815;12370;0;0;893;2914;0;0;3815;21714;0;0;380;1669;0;0;1550;3556;0;0;1022;3515;0;0;490;1786;0;0;5949;16814;0;0;615;4874;0;0;6891;6891;0;0;1215;12890;0;0;1984;16285;0;0;33096;119939;0;0;"Otras"
2010;989,00;958;2734;0;0;776;2335;0;0;3467;6105;0;0;656;1827;0;0;480;2996;0;0;4767;21941;0;0;1397;4087;0;0;3929;9100;0;0;1964;5885;0;0;4003;8235;0;0;1984;5636;0;0;1266;3470;0;0;0;0;0;0;1412;3764;0;0;2375;2375;0;0;3198;10384;0;0;123;497;0;0;32755;91371;0;0;"Otras"
2010;990,00;718;2332;0;0;1222;2843;0;0;3734;5201;0;0;1035;2558;0;0;571;2651;0;0;5724;20061;0;0;1732;4256;0;0;2286;6311;0;0;2742;8531;0;0;4645;8440;0;0;2215;4976;0;0;1316;3569;0;0;87;87;0;0;0;2898;0;0;2477;2477;0;0;3464;9091;0;0;0;0;0;0;33968;86282;0;0;"Otras"
2010;680,00;1001;9507;7700;13458;1096;8918;6456;10761;2457;9576;16148;23916;1027;9729;4788;6455;0;0;423;1369;16343;87405;9239;19894;542;7514;14814;18556;2453;21591;15104;22415;3830;20101;25072;38028;1058;13457;22244;33174;1878;8196;10410;15834;1135;7048;8587;14095;12045;37856;0;0;4058;18286;0;0;16177;16231;0;0;4283;11437;0;0;0;0;0;0;69383;286852;140985;217955;"Otras"
2010;411,00;349;368;0;0;805;896;0;0;944;1062;0;0;0;0;0;0;0;0;0;0;8947;9515;0;0;5692;5843;0;0;331;364;0;0;8996;9877;0;0;0;0;0;0;131;135;0;0;0;0;0;0;606;614;0;0;0;0;0;0;338;338;0;0;1465;1505;0;0;1345;1361;0;0;29949;31878;0;0;"Otras"
2010;241,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otras"
2010;558,00;1769;6009;0;0;941;4407;1013;3438;0;0;5431;8498;1878;5391;0;0;139;4371;3182;18307;7513;37008;3378;8349;4527;10984;25;25;2197;8938;6278;13310;4001;12301;0;0;6635;11966;8457;14669;1144;4307;4306;8324;2531;7294;0;0;0;0;4845;4845;1049;4646;0;0;2591;2650;0;0;2292;5395;1;1725;0;0;0;0;39207;125667;36916;81490;"Otras"
2010;167,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otras"
2010;224,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otras"
2010;591,00;612;3592;0;0;1547;3546;0;0;1716;4647;0;0;1015;4810;0;0;0;0;7224;30266;12828;60848;0;0;3460;7662;0;0;1452;10192;0;0;4043;10411;0;0;6026;15256;0;0;1938;4990;0;0;1540;6544;0;0;2386;6901;0;0;1994;7598;0;0;8442;8448;0;0;7759;17487;0;0;0;0;0;0;56758;172932;7224;30266;"Otras"
2010;586,00;368;2304;1507;3801;448;4017;1956;4724;2245;7439;4814;9540;1494;4739;803;2077;10137;36999;1777;2334;11164;45372;2050;4729;2107;5198;2847;4322;2469;8435;5818;9000;2288;7197;2413;5096;5293;13741;3702;13068;1550;4170;4439;5762;1346;4014;1570;4126;0;0;5648;6019;1628;7409;0;0;6048;6382;0;0;8687;22518;0;0;0;0;0;0;57272;179934;39344;74598;"Otras"
2010;453,00;2036;3688;0;0;3906;6489;0;0;2523;3785;0;0;1875;5835;0;0;0;0;0;0;5058;15415;0;0;1100;1788;0;0;2595;3139;0;0;4992;6033;0;0;3445;5048;0;0;1181;1542;0;0;983;1588;0;0;0;0;0;0;0;0;0;0;0;0;0;0;701;1744;0;0;0;0;0;0;30395;56094;0;0;"Otras"
2010;145,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;41;0;0;0;0;0;0;4;41;0;0;"Otras"
2010;511,00;583;4059;3401;7318;1712;3929;2078;2931;1712;4698;5884;7517;752;3830;2077;5013;314;1043;4635;25522;8282;30417;6100;12168;462;2168;3066;4124;1810;9552;8119;14538;3024;12287;3452;6070;1120;7138;9951;15295;826;2034;3598;6055;657;3793;3681;6785;0;0;4229;4645;1399;5741;0;0;3532;7583;0;0;2195;4261;1603;2740;0;0;0;0;28380;102533;61874;120721;"Otras"
2010;530,00;232;1966;2230;4957;466;2642;3203;4599;241;513;6469;8915;650;2961;3328;6508;451;2348;0;0;6367;30821;11115;21614;1628;6477;3671;5563;2832;10295;11991;17992;2104;7449;7329;9477;2186;12072;12644;20557;1605;5921;5570;7196;786;5416;3300;6952;0;0;0;0;2588;9697;0;0;4462;5156;0;0;9066;20492;0;0;0;0;0;0;35664;124226;70850;114330;"Otras"
2010;6,00;1350;3627;0;0;796;1685;0;0;4304;10881;0;0;1745;5800;0;0;385;2109;0;0;6817;24311;0;0;907;2503;0;0;6926;18334;0;0;1174;6813;0;0;2;2;0;0;3856;5582;0;0;2017;8612;0;0;4302;7957;0;0;918;6796;0;0;11045;11045;0;0;1394;1394;0;0;0;0;0;0;47938;117451;0;0;"Otras"
2010;161,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;692;0;0;75;1000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;150;1692;0;0;"Otras"
2010;623,00;441;3407;3376;6614;1072;5476;3877;8949;1591;6121;8218;13327;2025;4775;1223;1734;1648;3945;1147;4251;10528;53015;11315;17814;715;3653;3391;4070;2308;11411;7949;16758;5585;11484;10805;17066;3027;16680;7081;14433;2949;8997;6058;8609;1116;8490;3943;7455;2378;8483;2086;2222;1518;9198;0;0;7399;7455;0;0;5086;9742;0;0;0;0;0;0;49386;172332;70469;123302;"Otras"
2010;489,00;0;0;0;0;1224;3415;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6092;13411;0;0;3709;6676;0;0;8984;20666;0;0;1531;3215;0;0;0;0;0;0;2230;4683;0;0;1120;2128;0;0;0;0;0;0;0;0;0;0;200;228;0;0;904;7232;0;0;0;0;0;0;25994;61654;0;0;"Otras"
