"año";"NCODI";"Urg_altas";"Urg_ingresos";"Urg_traslados";"Urg_exitus";"Urg_total"
2010;781,00;93235;14529;250;30;108044
2010;779,00;41151;7372;38;12;48573
2010;113,00;0;0;0;0;0
2010;619,00;12050;440;0;1;12491
2010;163,00;1872;180;0;0;2052
2010;131,00;0;0;0;0;0
2010;375,00;430;154;124;0;708
2010;764,00;124129;17258;134;108;141629
2010;14,00;15815;390;720;0;16925
2010;657,00;29381;3050;276;26;32733
2010;362,00;8097;418;74;1;8590
2010;989,00;20781;2102;382;38;23303
2010;990,00;26691;2970;533;35;30229
2010;680,00;127999;19442;2211;102;149754
2010;411,00;30037;792;21;0;30850
2010;241,00;29733;2633;32;2;32400
2010;558,00;40575;7917;337;69;48898
2010;167,00;2806;40;6;0;2852
2010;224,00;16570;584;3;1;17158
2010;591,00;88882;14803;733;110;104528
2010;586,00;69236;13600;381;143;83360
2010;453,00;765;847;0;0;1612
2010;145,00;0;0;0;0;0
2010;511,00;55017;10156;393;48;65614
2010;530,00;57845;11061;371;58;69335
2010;6,00;9382;785;0;0;10167
2010;161,00;0;0;0;0;0
2010;623,00;71633;13453;790;66;85942
2010;489,00;6213;298;39;0;6550
2010;349,00;0;0;0;0;0
2010;875,00;24647;2135;67;1;26850
2010;908,00;0;0;0;0;0
2010;940,00;0;0;0;0;0
2010;946,00;24856;3525;136;2;28519
2010;1023,00;65200;11436;210;262;77108
2010;1054,00;45108;8919;171;81;54279
2010;1057,00;0;0;0;0;0
2010;1031,00;0;0;0;0;0
2010;1032,00;41605;4869;180;28;46682
2010;226,00;33484;2086;25;2;35597
2010;687,00;49268;6057;1192;94;56611
2010;745,00;155427;15031;1713;116;172287
2010;109,00;30998;1614;10;0;32622
2010;808,00;86745;10351;848;112;98056
2010;971,00;47967;427;1867;8;50269
2010;128,00;10537;124;0;0;10661
2010;919,00;29451;9417;228;53;39149
2010;725,00;133229;21895;3880;111;159115
2010;3,00;0;0;0;0;0
2010;386,00;34;34;0;0;68
2010;306,00;0;0;0;0;0
2010;15,00;5643;14;90;0;5747
2010;264,00;26946;1972;218;3;29139
2010;867,00;6761;0;0;0;6761
2010;910,00;32610;6879;712;77;40278
2010;1053,00;54444;9174;1588;114;65320
2010;1055,00;58613;10621;2714;100;72048
2010;732,00;114561;15400;1245;125;131331
2010;529,00;0;0;0;0;0
2010;345,00;0;0;0;0;0
2010;515,00;10507;349;0;0;10856
2010;174,00;0;0;0;0;0
2010;523,00;0;0;0;0;0
2010;697,00;69095;8633;39;8;77775
2010;239,00;36033;4674;89;1;40797
2010;287,00;50377;5145;110;96;55728
2010;377,00;0;0;0;0;0
2010;692,00;44190;6151;68;34;50443
2010;335,00;0;0;0;0;0
2010;435,00;13541;1484;15;5;15045
2010;423,00;7826;1371;0;0;9197
2010;351,00;13667;2951;111;3;16732
2010;810,00;5284;289;20;0;5593
2010;830,00;55536;8857;426;40;64859
2010;892,00;90690;12232;1073;101;104096
