"año";"NCODI";"biopsias_hosp";"biopsias_CEP";"necropsias_hosp";"angio_hosp";"angio_CEP";"densiometrias_hosp";"densiometrias_CEP";"gamma_hosp";"gamma_CEP";"mamo_hosp";"mamo_CEP";"pet_hosp";"pet_CEP";"resonancia_hosp";"resonancia_CEP";"rx_hosp";"rx_CEP";"spect_hosp";"spect_CEP";"tac_hosp";"tac_CEP";"Colonosopia";"Broncoscopia";"ERCP"
2010;728,00;22576;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;280,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
2010;222,00;0;0;0;0;0;356;0;0;0;1345;0;0;0;0;0;7424;0;0;0;1240;0;;;
2010;276,00;12289;0;0;0;0;0;0;0;0;5437;0;2774;0;11683;0;88236;0;0;0;23704;0;0;0;0
2010;11,00;2988;0;0;0;0;5094;0;5378;0;2378;0;0;0;10642;0;16191;0;2594;0;17069;0;0;0;0
2010;302,00;0;0;0;0;0;0;0;0;0;2737;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;682,00;5473;0;0;0;0;394;0;0;0;324;0;0;0;2769;0;40331;0;0;0;4459;0;;;
2010;279,00;11499;0;25;0;0;0;0;0;0;0;0;0;0;11238;0;56744;0;0;0;10378;0;;;
2010;282,00;4511;0;0;697;0;2170;0;0;0;7374;0;1400;0;16254;0;78619;0;5630;0;14491;0;0;0;0
2010;281,00;4987;0;0;286;0;0;0;0;0;56;0;0;0;1177;0;39316;0;0;0;6013;0;;;
2010;183,00;0;0;0;0;0;1008;0;0;0;326;0;0;0;1902;0;7350;0;0;0;907;0;0;0;0
2010;610,00;0;0;0;1655;0;0;0;0;0;0;0;0;0;0;0;4501;0;0;0;0;0;;;
2010;116,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;115,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;;;
2010;114,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;126,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;156,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;119,00;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
2010;770,00;12591;0;51;4441;0;4539;0;0;0;6455;0;0;0;8761;0;135699;0;7158;0;18686;0;0;0;0
2010;583,00;4085;0;0;0;0;1317;0;0;0;6935;0;0;0;0;0;76038;0;0;0;7334;0;0;0;0
2010;136,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;0;0;0;0;0;0;0
2010;469,00;2266;0;0;0;0;0;0;0;0;2740;0;0;0;1778;0;29937;0;0;0;2562;0;0;0;0
2010;642,00;8622;0;0;0;0;0;0;0;0;7358;0;0;0;0;0;77760;0;0;0;8165;0;0;0;0
2010;674,00;4936;0;112;399;0;631;0;0;0;4414;0;0;0;6043;0;66550;0;0;0;8620;0;0;0;0
2010;193,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1560;0;0;0;0;0;0;0;0
2010;526,00;11746;0;18;0;0;0;0;0;0;15042;0;0;0;5417;0;100797;0;0;0;11760;0;0;0;0
2010;698,00;32253;0;107;905;0;9756;0;9848;0;5972;0;0;0;0;0;198892;0;0;0;17500;0;0;0;0
2010;630,00;5236;0;5;0;0;0;0;0;0;4943;0;0;0;5781;0;15069;0;0;0;7379;0;0;0;0
2010;124,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;364,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;604,00;11742;0;21;0;0;0;0;0;0;3721;0;0;0;0;0;124730;0;0;0;13884;0;0;0;0
2010;123,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;310,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;571,00;0;0;0;333;0;0;0;0;0;6694;0;0;0;0;0;57127;0;0;0;3843;0;0;0;0
2010;296,00;0;0;0;0;0;0;0;0;0;466;0;0;0;0;0;2787;0;0;0;0;0;0;0;0
2010;566,00;3233;0;0;0;0;0;0;0;0;2759;0;0;0;2124;0;39236;0;0;0;4247;0;0;0;0
2010;784,00;18173;0;134;0;0;0;0;8935;0;29255;0;0;0;24279;0;169554;0;0;0;27279;0;0;0;0
2010;102,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;976;0;0;0;0;0;0;0;0
2010;379,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;639,00;0;0;0;0;0;280;0;0;0;5518;0;0;0;3779;0;64109;0;0;0;4911;0;0;0;0
2010;457,00;1444;0;0;0;0;0;0;0;0;1019;0;0;0;0;0;30106;0;0;0;3241;0;0;0;0
2010;609,00;9100;0;6;1358;0;2252;0;735;0;5699;0;0;0;7247;0;63328;0;442;0;10031;0;;;
2010;101,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;454,00;6842;0;9;0;0;0;0;0;0;3353;0;0;0;5159;0;42745;0;0;0;6425;0;0;0;0
2010;318,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;600,00;5345;0;9;0;0;1129;0;0;0;7184;0;0;0;0;0;56764;0;0;0;7012;0;0;0;0
2010;545,00;9368;0;47;1378;0;1974;0;0;0;8245;0;0;0;5634;0;89167;0;0;0;10809;0;0;0;0
2010;100,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
