"año";"NCODI";"altas_particular";"estancias_particular";"sesionHdia_particular";"consulta_particular";"cma_particular";"urge_particular";"hospDom_particular";"altas_AsegPriv";"estancias_AsegPriv";"sesionHdia_AsegPriv";"consulta_AsegPriv";"cma_AsegPriv";"urge_AsegPriv";"hospDom_AsegPriv";"altas_sns";"estancias_sns";"sesionHdia_sns";"consulta_sns";"cma_sns";"urge_sns";"hospDom_sns";"altas_MutuaFun";"estancias_MutuaFun";"sesionHdia_MutuaFun";"consulta_MutuaFun";"cma_MutuaFun";"urge_MutuaFun";"hospDom_MutuaFun";"altas_otrEntiPublica";"estancias_otrEntiPublica";"sesionHdia_otrEntiPublica";"consulta_otrEntiPublica";"cma_otrEntiPublica";"urge_otrEntiPublica";"hospDom_otrEntiPublica";"altas_MATEPSS";"estancias_MATEPSS";"sesionHdia_MATEPSS";"consulta_MATEPSS";"cma_MATEPSS";"urge_MATEPSS";"hospDom_MATEPSS";"altas_convIntern";"estancias_conveInter";"sesionHdia_conveInter";"consulta_conveInter";"cma_conveInter";"urge_conveInter";"hospDom_conveInter";"altas_AccTrafic";"estancias_AccTrafic";"sesionHdia_AccTrafic";"consulta_AccTrafic";"cma_AccTrafic";"urge_AccTrafic";"hospDom_AccTrafic";"otroRegimen";"altas_otroRegim";"estancias_otroRegim";"sesionHdia_otroRegim";"consulta_otroRegim";"cma_otroRegim";"urge_otroRegim";"hospDom_otroRegim";"total_altas";"total_estancias";"total_sesionHdia";"total_consulta";"total_cma";"total_urgencias";"total_hospDom"
2010;781,00;9;1051;0;0;0;506;0;157;797;0;270;0;251;0;24077;121884;7935;325222;0;106416;794;0;0;0;0;0;0;0;0;0;0;0;0;1;0;33;220;0;417;0;870;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;24276;123952;7935;325909;0;108044;794
2010;779,00;22;394;0;43;0;150;0;46;631;0;192;1841;61;0;12732;71239;6118;220810;0;47385;368;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;785;0;79;0;59;0;0;0;0;0;0;0;0;102;1588;0;4;0;918;0;"Otros";0;0;0;0;0;0;0;12959;74637;6118;221128;1841;48573;368
2010;113,00;3;238;0;0;0;0;0;0;0;0;0;0;0;0;179;76152;0;416;0;0;0;0;0;0;0;0;0;0;0;2920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;182;79310;0;416;0;0;0
2010;619,00;358;525;54;19;120;950;0;2825;3979;428;528;946;7478;0;581;1199;89;59;195;1538;0;0;0;0;0;0;0;0;75;106;10;0;25;200;0;877;1717;133;0;294;2325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;4716;7526;714;606;1580;12491;0
2010;163,00;286;471;0;0;372;82;0;1051;2026;0;0;2771;1528;0;566;1173;0;0;212;56;0;77;261;0;0;133;19;0;0;0;0;0;0;0;0;19;66;0;0;5;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;1999;3997;0;0;3493;2052;0
2010;131,00;33;11341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;13648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"Otros";88;11334;0;0;0;0;0;170;36323;0;0;0;0;0
2010;375,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;393;16639;0;2333;0;708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;149;0;0;0;0;0;"Otros";0;0;0;0;0;0;0;394;16788;0;2333;0;708;0
2010;764,00;0;0;0;0;0;0;0;115;461;0;119;4;546;0;25657;194067;22135;527003;4287;135143;0;577;2742;0;966;2;1898;0;8;32;0;60;0;22;0;122;632;0;164;0;1726;0;0;0;0;0;0;5;0;215;1758;0;22;0;2289;0;"Otros";0;0;0;0;0;0;0;26694;199692;22135;528334;4293;141629;0
2010;14,00;90;211;0;0;50;65;0;2426;5708;0;0;947;16267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;160;379;0;0;103;501;0;0;0;0;0;0;0;0;4;9;0;0;0;92;0;"Otros";0;0;0;0;0;0;0;2680;6307;0;0;1100;16925;0
2010;657,00;0;0;0;4;0;6;0;3;11;0;3;0;77;0;4983;21406;292;101104;974;31239;0;21;72;0;21;0;316;0;0;0;0;0;0;0;0;9;39;0;6;0;497;0;3;8;0;6;0;30;0;28;114;0;0;0;568;0;"Otros";0;0;0;0;0;0;0;5047;21650;292;101144;974;32733;0
