"año";"NCODI";"60_totalCompra";"600_producFarma";"601_materialSani";"601_1_implantes";"601_2_restoMateriaSani";"606_servContratado";"607_trabajoContratado";"60X_restoCompras";"61_variaExistencias";"62_servExteriores";"628_sumistro";"62X_restoServiExter";"64_gastoPersonal";"640_sueldos";"641_indemnizacion";"642_SegSocEmpresa";"643_649_OtrGasSocial";"68_dotaAmortizacion";"69_perdidaDeterioro";"6X_restoGasto";"tot_compraGasto"
2010;781,00;50822120;22859464;17653497;5861131;11792366;2324561;6608782;1375816;232060;5081020;1418491;3662529;116783817;92591293;216314;21129178;2847032;4434516;453641;15102;177822276
2010;779,00;22330129;5924056;10129239;2752023;7377216;1196503;2975068;2105263;67216;3800863;1306558;2494305;78543588;62060717;57614;15040184;1385073;2258595;349612;112035;107462038
2010;113,00;1688211;513590;58187;0;58187;5341;655594;455499;1705;690773;197062;493711;15782413;10980477;14687;4737752;49497;302214;0;17427;18482743
2010;619,00;4521423;807606;1424361;213451;1210910;1531060;441266;317130;14826;1154119;325865;828254;6016884;4628997;0;1240501;147386;838025;2937;187525;12735739
2010;163,00;2551372;236771;850206;0;850206;985561;247336;231498;0;574539;158661;415878;2323709;1795134;16672;455516;56387;581235;23910;354767;6409532
2010;131,00;260939;74503;36143;0;36143;0;24790;125503;4466;990156;68069;922087;2578703;1936678;0;641920;105;8953;0;0;3843217
2010;375,00;790215;146586;207783;0;207783;18407;91206;326233;19;132794;47557;85237;6884112;5300558;0;1473593;109961;253714;36073;1954;8098881
2010;764,00;92054940;33823945;28665719;10536854;18128865;16625327;10626507;2313442;0;6366444;2915872;3450572;193810298;159524357;72654;28906153;5307134;0;0;0;292231682
2010;14,00;1393404;252031;551874;0;551874;268814;125914;194771;1503;329850;128554;201296;1693169;1334794;0;349206;9169;185265;0;170244;3773435
2010;657,00;8480344;2256703;3207735;886609;2321126;547879;2055844;412183;0;1283962;656667;627295;29508631;24336812;34662;4495279;641878;683610;0;152;39956699
2010;362,00;8932012;995367;836134;567867;268267;2823681;221388;4055442;19672;1320597;164137;1156460;6986438;5487210;0;1399970;99258;685466;184597;25087;18153869
2010;989,00;6514487;2199011;1723734;544842;1178892;0;2331027;260715;0;1419550;757962;661588;14944009;12062697;0;2822950;58362;0;0;0;22878046
2010;990,00;8823818;2714504;2175421;612962;1562459;0;2559652;1374241;0;0;0;0;15914763;12149407;29167;3630590;105599;0;0;0;24738581
2010;680,00;124320358;51924054;44089915;16673859;27416056;12750173;11825354;3730862;-887378;8207769;4208744;3999025;169611756;136285454;0;32295724;1030578;0;0;36980;301289485
2010;411,00;15994423;2916123;3473964;154147;3319817;9070183;534153;;-865;2213740;405083;1808657;11354687;9048050;53513;2234801;18323;1072719;80006;535826;31250536
2010;241,00;11665864;1482619;2874061;443715;2430346;5086981;1891492;330711;-72533;1471264;496696;974568;8377418;6551365;16914;1785306;23833;1049653;127879;785765;23405310
2010;558,00;36560439;12328744;4894147;995168;3898979;8665372;3467016;7205160;0;889469;0;889469;52614797;42704501;92501;9664153;153642;0;0;0;90064705
2010;167,00;944869;95656;147359;;147359;632425;;69429;42300;419574;42193;377381;466890;382331;;84559;;99901;;81077;2054611
2010;224,00;3033478;453093;747090;96877;650213;1605620;77207;150468;-8150;686830;127070;559760;2979530;2334738;0;635474;9318;355069;9931;196577;7253265
2010;591,00;63533972;31081505;19156752;5694048;13462704;5247464;6859845;1188406;0;5474549;2240510;3234039;86874540;69438697;219538;17041769;174536;0;0;148699;156031760
2010;586,00;51041158;22788378;8819905;2764663;6055242;10925559;7082067;1425249;0;6254949;1649682;4605267;97288686;66544436;11949050;18795200;0;0;0;0;154584793
2010;453,00;2896579;613032;467594;0;467594;0;1520486;295467;0;806945;260441;546504;12684660;10111298;0;2555363;17999;0;0;0;16388184
2010;145,00;263885;80629;6998;2686;4312;0;0;176258;4181;389514;151289;238225;1423348;1076949;0;344623;1776;147155;8435;5012;2241530
2010;511,00;38651541;11482944;6041009;2100692;3940317;14595927;5474882;1056779;69625;5319167;1507185;3811982;43790474;35525130;0;8169780;95564;0;0;0;87830807
2010;530,00;31728619;8970009;7341476;1483283;5858193;8093160;6650174;673800;0;498165;498165;0;49379685;39128047;83773;10148341;19524;0;0;0;81606469
2010;6,00;8837844;867864;2720802;125600;2595202;0;5249178;0;-57175;1515152;389530;1125622;5054905;3929515;71900;951384;102106;893451;64751;851816;17160744
2010;161,00;1412210;1298760;28738;2240;26498;253;58453;26006;0;4110979;527039;3583940;9165993;8414906;24570;726517;0;0;0;0;14689182
2010;623,00;58795071;20952429;16687015;5417396;11269619;10643412;9165232;1346983;-21282;6018520;1628570;4389950;69910028;56482066;0;13229363;198599;0;0;0;134702337
2010;489,00;662035;110215;101296;0;101296;405567;1848;43109;21062;1170398;82979;1087419;1148958;876414;41813;230731;0;23408;44901;123075;3193837
2010;349,00;1230727;133524;308721;21857;286864;530790;172046;85646;35521;516194;134440;381754;2654664;2105530;19474;529660;;122649;79919;158841;4798515
2010;875,00;12164504;2840635;2335865;633082;1702783;4085591;2262022;640391;-41546;2624423;615819;2008604;17103558;14181346;55044;2802043;65125;1887358;1763689;2356171;37858157
2010;908,00;668845;133959;33940;0;33940;459781;0;41165;0;2047989;1168385;879604;2901785;2272774;51275;577736;0;39493;0;239847;5897959
2010;940,00;121600;34600;975;0;975;15054;415;70556;100;270659;51607;219052;501522;399073;0;102449;0;5827;0;7190;906898
2010;946,00;6028000;591000;1795000;1000000;795000;2910000;204000;528000;28000;1296000;995000;301000;7412000;6177000;;1219000;16000;2306000;;12000;17082000
2010;1023,00;47372320;12300000;8900000;0;8900000;22377703;3794617;0;0;1990000;1990000;0;41580189;34263653;146726;7169810;0;0;0;0;90942509
2010;1054,00;43303367;12589257;7813931;;7813931;;22900179;0;456920;4001107;1603447;2397660;63056691;52632341;212435;10209246;2669;11675865;22548;0;122516498
2010;1057,00;2681446;603221;543712;0;543712;1214001;0;320512;0;1247824;543271;704553;11529586;9545345;0;1984241;0;0;0;0;15458856
2010;1031,00;49668;308;239;239;0;0;35261;13860;0;83137;20141;62996;538803;407313;2186;127896;1408;24955;0;47045;743608
2010;1032,00;39406125;4869310;5591386;214386;5377000;26326329;2619100;0;-3152357;6073488;1269238;4804250;25082173;20454308;12406;4556469;58990;6139849;3749;2058999;75612026
2010;226,00;6933559;911613;887702;54906;832796;3653703;1096444;384097;-3659;1202693;289631;913062;4833622;3811118;17024;978947;26533;754011;-540048;1593801;14773979
2010;687,00;20609543;1503453;5372320;978946;4393374;8850652;4189220;693898;-53349;3904014;1033203;2870811;60834682;52134681;1973720;6712666;13615;0;0;126461;85421351
2010;745,00;56023698;11912507;16081859;5782144;10299715;11195972;11698595;5134765;0;8371923;3442977;4928946;149954768;123941221;0;25821671;191876;0;0;563485;214913874
2010;109,00;6187228;847669;794816;94146;700670;3016493;1360531;167719;-26222;1024696;183269;841427;4191495;3291968;64188;824789;10550;523351;36912;244807;12182267
2010;808,00;29272362;6737257;10438055;10438055;0;0;11244245;852805;-218351;2183463;1407032;776431;57778046;46345573;0;11153650;278823;3628970;186959;547254;93378703
2010;971,00;3135422;197870;444119;444119;;0;2416202;77231;307563;537288;402524;134764;9584745;7692373;;1837125;55247;1673774;31441;179;15270412
2010;128,00;1430696;149567;507628;0;507628;651958;0;121543;-2606;535677;34218;501459;1512824;1212574;0;300250;0;48459;5070;10348;3540468
2010;919,00;29054281;12911151;12075173;3337082;8738091;0;3346515;721442;-168044;7557469;1968839;5588630;69684461;58335132;0;11151102;198227;0;0;124582;106252749
2010;725,00;65958268;15991499;40154286;11256021;28898265;0;3303337;6509146;-2225072;13948434;595402;13353032;160949482;128242016;43725;32108032;555709;6151324;0;14179823;258962259
2010;3,00;375793;25575;9037;0;9037;42051;299130;0;0;433254;99744;333510;1509359;1148544;4750;351676;4389;5809;0;150668;2474883
2010;386,00;206051;26048;33898;;33898;;61823;84282;;126101;41071;85030;942635;683998;49324;209313;;49730;;;1324517
2010;306,00;1563357;0;2309;0;2309;0;67304;1493744;0;0;0;0;13187414;10301034;0;2886380;0;0;0;0;14750771
2010;15,00;1055080;38151;516897;386734;130163;500032;0;0;82742;268725;69014;199711;1013076;946964;0;66112;0;145070;0;0;2564693
2010;264,00;6537392;1655296;1045417;112872;932545;2774517;543084;519078;3846;759489;192231;567258;3646780;2784118;29284;822443;10935;525940;380449;48654;11902550
2010;867,00;1199925;25221;272012;115617;156395;0;860689;42003;0;465953;72281;393672;923789;640996;76425;205918;450;30965;333966;79747;3034345
2010;910,00;14289537;7282849;6004182;1129887;4874295;275042;165431;562033;0;2463947;1092463;1371484;42879109;34579279;70232;8226389;3209;0;0;2053;59634646
2010;1053,00;24962258;12001200;1288428;658568;629860;0;1771455;9901175;55185;6925288;1320642;5604646;86435656;69475034;0;16960622;0;1183323;0;32705;119594415
2010;1055,00;32024953;12904590;14012453;2874627;11137826;0;3267006;1840904;1891016;5846961;1992787;3854174;72914855;58953467;475;13925281;35632;0;0;2862;112680647
2010;732,00;116478063;54520670;39769971;11923802;27846169;6948731;12294160;2944531;0;7756987;3607105;4149882;200554189;160130767;2727828;36674265;1021329;0;0;0;324789239
2010;529,00;4643129;234851;2916425;0;2916425;285841;989877;216135;0;493016;225449;267567;13068584;10350181;0;2708273;10130;609626;1201642;75234;20091231
2010;345,00;3076760;783815;55471;0;55471;20469;1554026;662979;1243;1299835;384700;915135;17558254;14408244;3139;3081080;65791;619686;1135686;55670;23747134
2010;515,00;2752788;341616;283072;8795;274277;522113;1362817;243170;-3220;1114638;547683;566955;6541407;5022822;0;1442025;76560;483396;0;437596;11326605
2010;174,00;2847477;83659;692471;39643;652828;;2077544;-6197;15947;537580;156912;380668;2953129;2293649;;632207;27273;211290;;67506;6632929
2010;523,00;7966294;517503;2709817;1878958;830859;1758317;2693384;287273;0;1438047;483751;954296;8780649;6875130;5070;1852873;47576;1609785;4882;262550;20062207
2010;697,00;6596767;3172975;2710382;966348;1744034;;356862;356548;-19937;13763177;825059;12938118;16094831;12849648;21915;3174090;49178;1338512;;201472;37974822
2010;239,00;14673105;2819249;2456335;705949;1750386;7407968;537815;1451738;-29770;3961803;717001;3244802;16315507;12940705;72972;3158689;143141;1280877;3165234;3128682;42495438
2010;287,00;12489089;3162790;2735523;915000;1820523;5360458;455669;774649;56566;2670440;585054;2085386;16468199;13107054;93883;3225895;41367;1605674;553788;590742;34434498
2010;377,00;2105715;492507;220357;0;220357;142572;921965;328314;1243;637546;165327;472219;13979057;11029324;1957;2915931;31845;537894;1114238;32989;18408682
