"año";"NCODI";"70_tIngresos";"700_particular";"701_AsegPriv";"701_1_AsistSanitaria";"701_2_AccTrafic";"702_MATEPSS";"704_SNS";"705_1_FdirectaSS";"705_2_FdirectaAPriv_MATEPSS";"706_OyEntiPublica";"708_bonificaciones";"709_Otros_Ips";"74_Total_Subvencion";"740_subvenciones";"741_otraSubvencion";"7X_restoIngresos";"total_ventasIngresos";"70_Hospital";"70_consulExter";"70_CMA";"70_hospDia";"70_Urgencia";"70_hospDom";"700_Hospital";"700_consulExter";"700_CMA";"700_hospDia";"700_Urgencia";"700_hospDom";"701_Hospital";"701_consulExter";"701_CMA";"701_hospDia";"701_Urgencia";"701_hospDom";"701_1Hospital";"701_1consulExter";"701_1CMA";"701_1hospDia";"701_1Urgencia";"701_1hospDom";"701_2Hospital";"701_2consulExter";"701_2CMA";"701_2hospDia";"701_2Urgencia";"701_2hospDom";"702_Hospital";"702_consulExter";"702_CMA";"702_hospDia";"702_Urgencia";"702_hospDom";"704_Hospital";"704_consulExter";"704_CMA";"704_hospDia";"704_Urgencia";"704_hospDom";"705_1Hospital";"705_1consulExter";"705_1CMA";"705_1hospDia";"705_1Urgencia";"705_1hospDom";"705_2Hospital";"705_2consulExter";"705_2CMA";"705_2hospDia";"705_2Urgencia";"705_2hospDom";"706_Hospital";"706_consulExter";"706_CMA";"706_hospDia";"706_Urgencia";"706_hospDom";"708_Hospital";"708_consulExter";"708_CMA";"708_hospDia";"708_Urgencia";"708_hospDom"
2010;781,00;172011341;431156;1156199;590872;565327;418906;169997695;0;0;7385;0;0;4456193;4448193;8000;1104255;177571789;88300655;24393291;0;0;11964493;0;285951;45609;0;0;28983;0;549551;64122;0;0;414469;0;381585;64122;0;0;33992;0;167966;0;0;0;380477;0;206832;11676;0;0;184348;0;87258321;24270312;0;0;11330880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1572;0;0;5813;0;0;0;0;0;0;0
2010;779,00;104827962;150253;975147;387014;588133;390419;103302894;9249;0;0;0;0;21449;0;21449;2696148;107545559;61717197;20185439;0;0;7262014;0;126790;2316;0;0;8469;0;702535;19203;0;0;146899;0;267398;19019;0;0;9027;0;435137;184;0;0;137872;0;0;0;0;0;54548;0;298346;2233;0;0;7048140;0;60585510;20160892;0;0;3958;0;4016;795;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;113,00;16685458;0;20960;20960;0;0;16494728;0;0;169770;0;0;0;0;0;73469;16758927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;619,00;12183862;947887;7585638;7584952;686;2318053;782584;0;0;201451;0;348249;10828;10828;0;288798;12483488;6546981;3525983;0;377710;1384939;0;524363;282349;0;30252;110923;0;4195931;2260033;0;242073;887601;0;4195931;2259347;0;242073;887601;0;0;686;0;0;0;0;1282327;690484;0;73980;271262;0;432919;233110;0;24976;91579;0;0;0;0;0;0;0;0;0;0;0;0;0;111441;60007;0;6429;23574;0;0;0;0;0;0;0
2010;163,00;6930175;1547136;3058397;3058397;0;349054;434890;0;205496;0;0;1335202;8663;8663;0;59184;6998022;3922878;0;2511023;0;403801;0;556969;0;982431;0;7736;0;1682118;0;1232534;0;143745;0;1682118;0;1232534;0;143745;0;0;0;0;0;0;0;67716;0;42370;0;238968;0;434890;0;0;0;0;0;0;0;0;0;0;0;113023;0;0;0;0;0;0;0;0;0;0;0;1068162;0;253688;0;13352;0
2010;131,00;3320092;0;0;0;0;0;0;0;0;3318155;0;1937;0;0;0;1252;3321344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;375,00;7969467;0;129741;73341;56400;0;7839726;0;0;0;0;0;0;0;0;11748;7981215;15255134;458200;0;0;56400;0;7627567;229100;0;0;0;0;73341;0;0;0;56400;0;73341;0;0;0;0;0;0;0;0;0;56400;0;0;0;0;0;0;0;7554226;229100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;764,00;290108178;487210;7368705;3502608;3866097;5700806;0;276462752;0;88705;0;0;0;0;0;2123504;292231682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;14,00;4140997;117555;3577926;3350050;227876;309251;0;0;0;0;0;136265;0;0;0;148326;4289323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2010;657,00;39948768;3576;168727;11393;157334;74446;0;39623354;0;78665;0;0;0;0;0;7931;39956699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
