"año";"NCODI";"inver_iIntangible";"inver_IMaterial";"inver_IMterrenos";"inver_IMresto";"inver_Otras";"inver_Total"
2010;781,00;228049;4956944;0;4956944;0;5184993
2010;779,00;41615;1063552;0;1063552;0;1105167
2010;113,00;27379;309555;0;309555;0;336934
2010;619,00;36757;1143965;0;1143965;0;1180722
2010;163,00;0;123000;0;123000;0;123000
2010;131,00;1726;2660;0;2660;0;4386
2010;375,00;0;73078;0;73078;0;73078
2010;764,00;0;0;0;0;682172;682172
2010;14,00;238;199731;0;199731;0;199969
2010;657,00;0;1145744;0;1145744;0;1145744
2010;362,00;6932;265230;87088;178142;0;272162
2010;989,00;0;0;0;0;32857;32857
2010;990,00;0;73105;0;73105;0;73105
2010;680,00;0;231727;0;231727;0;231727
2010;411,00;;893810;;893810;;893810
2010;241,00;44668;794254;794254;;;838922
2010;558,00;0;1643000;0;1643000;0;1643000
2010;167,00;;45843;;45843;;45843
2010;224,00;9536;147562;47200;100362;0;157098
2010;591,00;347695;5142071;0;5142071;0;5489766
2010;586,00;0;1007417;0;1007417;0;1007417
2010;453,00;0;0;0;0;0;0
2010;145,00;0;0;0;0;0;0
2010;511,00;0;400000;0;400000;0;400000
2010;530,00;0;559060;0;559060;0;559060
2010;6,00;25845;3272266;0;3272266;0;3298111
2010;161,00;0;32933;0;32933;0;32933
2010;623,00;0;0;0;0;0;0
2010;489,00;0;2207;0;2207;0;2207
2010;349,00;;52004;;52004;;52004
2010;875,00;22088;685005;0;685005;0;707093
2010;908,00;0;97765;0;97765;0;97765
2010;940,00;0;998;0;998;0;998
2010;946,00;;0;;;;0
2010;1023,00;468075;1063109;0;1063109;0;1531184
2010;1054,00;-65488;8437649;-1176635;9614284;;8372161
2010;1057,00;0;190624;0;190624;0;190624
2010;1031,00;284893;8887536;0;8887536;0;9172429
2010;1032,00;0;26500000;0;26500000;49200000;75700000
2010;226,00;98087;1253739;0;1253739;0;1351826
2010;687,00;0;0;0;0;674583;674583
2010;745,00;0;8492527;0;8492527;0;8492527
2010;109,00;0;201101;0;201101;0;201101
2010;808,00;12496;4146308;0;4146308;0;4158804
2010;971,00;0;57584;;57584;0;57584
2010;128,00;0;37992;0;37992;0;37992
2010;919,00;35709;231674;0;231674;0;267383
2010;725,00;21263;1398350;1398350;0;0;1419613
2010;3,00;0;51133;0;51133;0;51133
2010;386,00;;0;;;;0
2010;306,00;0;0;0;0;0;0
2010;15,00;0;46424;0;46424;0;46424
2010;264,00;7384;963714;0;963714;0;971098
2010;867,00;7757;425850;0;425850;0;433607
2010;910,00;7920;98147;0;98147;0;106067
2010;1053,00;0;199994;0;199994;0;199994
2010;1055,00;0;618090;0;618090;0;618090
2010;732,00;36979;4668696;0;4668696;0;4705675
2010;529,00;34725;7593;0;7593;0;42318
2010;345,00;394221;121053;0;121053;0;515274
2010;515,00;42400;6142506;;6142506;0;6184906
2010;174,00;;295692;;295692;;295692
2010;523,00;37847;338722;0;338722;0;376569
2010;697,00;4225;359547;;359547;;363772
2010;239,00;18471;710278;0;710278;0;728749
2010;287,00;20995;91665;0;91665;400000;512660
2010;377,00;660368;97776;0;97776;0;758144
2010;692,00;0;0;0;0;0;0
2010;335,00;0;0;0;0;134149;134149
2010;435,00;;615146;235444;379702;;615146
2010;423,00;10203;3931002;0;3931002;0;3941205
2010;351,00;28784;32390;;32390;0;61174
2010;810,00;73007;1815416;0;1815416;0;1888423
2010;830,00;2887;1076154;0;1076154;0;1079041
2010;892,00;22931;1494532;0;1494532;0;1517463
2010;921,00;27263;1298738;0;1298738;4649810;5975811
2010;991,00;1498;153563;0;153563;0;155061
2010;992,00;45611;453382;181298;272084;;498993
2010;993,00;0;676472;0;676472;0;676472
2010;473,00;0;0;0;0;3843;3843
2010;663,00;165814;8751608;0;8751608;0;8917422
2010;552,00;0;1228679;0;1228679;0;1228679
2010;772,00;2090038;12014520;136936;11877584;18341994;32446552
