año,NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
2016,113,0,0,0,0,0
2016,619,127,33,160,0,0
2016,163,0,0,0,0,0
2016,131,0,0,0,0,0
2016,375,0,0,0,0,0
2016,1090,2244,292,2609,239,0
2016,764,1635,455,2065,220,0
2016,14,283,198,481,0,0
2016,657,253,140,395,14,0
2016,362,13,12,25,0,0
2016,989,278,49,329,31,0
2016,990,350,114,468,17,0
2016,680,1855,424,2345,293,0
2016,411,223,237,466,20,0
2016,241,138,277,417,23,0
2016,558,716,271,1002,68,0
2016,167,3,2,5,0,0
2016,248,0,0,0,0,0
2016,224,103,54,157,4,0
2016,591,1014,294,1349,179,0
2016,586,1060,329,1416,124,0
2016,453,0,0,0,0,0
2016,145,0,0,0,0,0
2016,511,771,280,1059,83,0
2016,530,988,309,1303,90,0
2016,6,223,287,521,50,0
2016,161,0,0,0,0,0
2016,623,805,237,1069,93,0
2016,875,0,0,0,0,0
2016,946,105,111,216,12,0
2016,1023,894,226,1138,72,0
2016,1054,734,262,993,45,0
2016,1057,0,0,0,0,0
2016,1031,0,0,0,0,0
2016,1032,1256,292,1568,117,0
2016,1064,100,116,216,13,0
2016,226,303,185,488,48,0
2016,687,853,206,1073,50,0
2016,745,2361,693,3107,290,0
2016,109,391,179,574,6,0
2016,808,2220,462,2666,152,1
2016,971,0,0,0,0,0
2016,128,0,0,0,0,0
2016,919,651,229,900,47,0
2016,725,1859,572,2449,194,0
2016,3,0,0,0,0,0
2016,306,0,0,0,0,0
2016,15,0,0,0,0,0
2016,264,246,157,403,12,0
2016,867,0,0,0,0,0
2016,910,414,200,613,31,1
2016,1053,635,345,994,62,0
2016,1055,1098,312,1431,118,0
2016,1081,0,0,0,0,0
2016,1099,0,0,0,0,0
2016,529,0,0,0,0,0
2016,345,0,0,0,0,0
2016,515,0,0,0,0,0
2016,174,0,0,0,0,0
2016,523,0,0,0,0,0
2016,697,692,331,1021,57,0
2016,239,0,0,0,0,0
2016,287,347,156,514,18,0
2016,377,0,0,0,0,0
2016,692,1078,189,1291,70,0
2016,335,0,0,0,0,0
2016,435,149,75,223,6,0
2016,423,40,41,81,0,0
2016,351,0,0,0,0,0
2016,810,27,10,37,0,0
2016,830,885,135,1020,0,0
2016,892,1631,324,1986,137,0
2016,921,473,348,821,24,0
2016,991,61,16,76,0,0
2016,992,699,173,878,25,0
2016,993,433,149,592,25,0
2016,1070,1349,500,1913,299,0
2016,1095,0,0,0,0,0
2016,1094,0,0,0,0,0
2016,473,2275,845,3235,449,0
2016,663,1018,331,1360,113,0
2016,552,0,0,0,0,0
2016,772,0,0,0,0,0
2016,568,0,0,0,0,0
2016,398,0,0,0,0,0
2016,394,0,0,0,0,0
2016,614,0,0,0,0,0
2016,235,0,0,0,0,0
2016,616,0,0,0,0,0
2016,267,973,669,1642,142,0
2016,565,0,0,0,0,0
2016,220,160,138,298,8,0
2016,278,825,555,1410,90,0
2016,107,0,0,0,0,0
2016,711,1280,381,1698,127,0
2016,204,0,0,0,0,0
2016,579,0,0,0,0,0
2016,348,0,0,0,0,0
2016,766,0,0,0,0,0
2016,761,0,0,0,0,0
2016,728,0,0,0,0,0
2016,280,996,731,1773,113,0
2016,222,0,0,0,0,0
2016,276,2039,1071,3180,101,0
2016,11,158,82,240,0,0
2016,302,44,37,81,0,0
2016,682,0,0,0,0,0
2016,279,1903,883,2905,260,0
2016,282,1220,833,2125,156,0
2016,281,559,480,1072,86,0
2016,183,0,0,0,0,0
2016,610,0,0,0,0,0
2016,116,0,0,0,0,0
2016,115,0,0,0,0,0
2016,114,0,0,0,0,0
2016,119,0,0,0,0,0
2016,770,1046,419,1478,124,0
2016,583,0,0,0,0,0
2016,136,0,0,0,0,0
2016,469,104,53,157,0,0
2016,642,633,205,846,38,0
2016,674,2498,790,3374,352,0
2016,193,0,0,0,0,0
2016,526,1151,415,1606,127,0
2016,698,0,0,0,0,0
2016,630,1191,286,1486,72,0
2016,124,0,0,0,0,0
2016,364,0,0,0,0,0
2016,439,330,217,551,15,0
2016,570,1018,242,1260,86,0
2016,123,0,0,0,0,0
2016,310,0,0,0,0,0
2016,571,531,123,659,27,0
2016,296,0,0,0,0,0
