año,NCODI,60_totalCompra,600_producFarma,601_materialSani,601_1_implantes,601_2_restoMateriaSani,606_servContratado,607_trabajoContratado,60X_restoCompras,61_variaExistencias,62_servExteriores,628_sumistro,62X_restoServiExter,64_gastoPersonal,640_sueldos,641_indemnizacion,642_SegSocEmpresa,643_649_OtrGasSocial,68_dotaAmortizacion,69_perdidaDeterioro,6X_restoGasto,tot_compraGasto
2016,113,1642448,357925,176728,0,176728,2871,661329,443595,2185,1025668,256138,769530,23447055,18309561,52362,5063608,21524,362959,424,28125,26508864
2016,619,7228911,719656,1389236,363093,1026143,4109550,259966,750503,-8293,1672464,393789,1278675,6985886,5393058,0,1484923,107905,1954029,-274281,466117,18024833
2016,163,3388947,99943,953122,351871,601251,1805592,483445,46845,0,998814,119065,879749,2814919,2242363,2065,512880,57611,184504,28946,16163,7432293
2016,131,219135,58113,78260,0,78260,8717,0,74045,2154,273591,74573,199018,1287291,748416,285622,251676,1577,3060,0,292816,2078047
2016,375,691713,143119,137634,161,137473,12088,97674,301198,0,250631,55486,195145,7302766,5714953,0,1594682,-6869,212929,-8102,1406,8451343
2016,1090,100282017,44433189,37676093,11002726,26673367,4246392,11822094,2104249,-238125,8300413,3005229,5295184,208734925,165185390,99719,42170329,1279487,5494242,-145611,691501,323119362
2016,764,98007631,39406008,34354115,11774508,22579607,13523798,9022884,1700826,0,5664171,3389390,2274781,150330349,120343339,33574,26053337,3900099,0,0,582220,254584371
2016,14,3160468,1444768,784595,659434,125161,514231,317919,98955,-72850,857047,219777,637270,2385635,1859198,6500,512750,7187,459034,0,86852,6876186
2016,657,9717687,4245139,2774475,487189,2287286,408317,1876775,412981,0,966803,498459,468344,24175203,19956391,32322,4186490,0,739461,0,229,35599383
2016,362,6634896,876312,2209054,265704,1943350,2182941,1110735,255854,-73963,950594,225063,725531,6310095,4936003,0,1358211,15881,363732,81561,3477,14270392
2016,989,8031142,3569734,1992860,627065,1365795,241222,1825116,402210,59629,1968408,919056,1049352,19597549,16112627,0,3470575,14347,0,0,0,29656728
2016,990,11618125,5086244,2745014,635427,2109587,566455,2515096,705316,70076,1983095,781800,1201295,21172820,17580200,0,3592378,242,0,0,0,34844116
2016,680,139211739,61577573,47419087,16743759,30675328,16860794,11113426,2240859,-132903,7268592,2592147,4676445,167154479,133287329,0,32618985,1248165,0,0,24807,313526714
2016,411,21206620,4609869,2719237,205794,2513443,12744106,626057,507351,-125461,3036578,404523,2632055,12010505,9539865,0,2448105,22535,637068,22199,612868,37400377
2016,241,16799724,1697176,3481929,488055,2993874,8607791,1550465,1462363,121480,3464638,798698,2665940,14322887,10970046,0,3234931,117910,2708881,324084,1210073,38951767
2016,558,38592177,19420990,6760937,849880,5911057,6547531,4995378,867341,0,1537812,1533504,4308,53190469,42788979,143268,10024461,233761,0,0,0,93320458
2016,167,476889,82926,110770,7619,103151,0,276038,7155,28340,174369,36090,138279,339264,259595,0,79669,0,29617,0,27283,1075762
2016,248,13163116,2375454,2780740,611670,2169070,6681425,0,1325497,0,4595142,870274,3724868,14388590,11095644,250197,2855859,186890,1949628,-35005,2531968,36593439
2016,224,3110882,426891,462062,74573,387489,2041730,42158,138041,-304,945787,147511,798276,3683984,2810854,0,860683,12447,221734,9998,54305,8026386
2016,591,71721956,33060004,19577927,3771137,15806790,12024915,6019855,1039255,1774,3987972,1564272,2423700,88454069,70485835,236573,17727898,3763,0,0,128716,164294487
2016,586,55721127,27073120,14298120,2214079,12084041,6635784,7283259,430844,0,4175997,1847497,2328500,94964408,76832045,0,18132363,0,0,0,0,154861532
2016,453,2167624,299918,350911,0,350911,0,1408588,108207,0,506341,217142,289199,13208395,10505357,0,2683752,19286,0,0,0,15882360
2016,145,74020,9664,0,0,0,0,0,64356,0,169026,57744,111282,665707,513910,0,150829,968,66683,13042,3802,992280
2016,511,40195723,25201529,9441512,1154937,8286575,0,4962164,590518,0,3189963,1212399,1977564,47032133,36912763,0,10040271,79099,0,0,0,90417819
2016,530,42322538,20550226,10856030,1319514,9536516,5542663,4977877,395742,0,3623195,1881005,1742190,75931695,61169002,892,14743941,17860,0,0,0,121877428
2016,6,16799724,1697176,3481929,488055,2993874,8607791,1550465,1462363,121480,3464638,798698,2665940,14322887,10970046,0,3234931,117910,2708882,324084,1210073,38951768
2016,161,722000,544000,49000,0,49000,20000,67000,42000,0,374000,282000,92000,8409680,7633527,3000,773153,0,0,0,0,9505680
2016,623,60909440,29687279,18820117,5025214,13794903,5056713,6517805,827526,0,5222156,1543721,3678435,105073635,84404561,0,20390004,279070,0,0,7668,171212899
2016,875,10434124,1756468,2341343,799483,1541860,4087335,1880041,368937,-206365,5529743,620195,4909548,16247152,12873797,335172,2976714,61469,1112763,199282,1343236,34659935
2016,946,8112034,896004,3346336,1251425,2094911,2811391,188633,869670,-15767,2582136,286186,2295950,16171620,12823668,44424,3149449,154079,1138863,423269,1926791,30338946
2016,1023,48504606,17207969,7242385,0,7242385,19637475,4243970,172807,-163423,7722180,1374171,6348009,43041452,34186103,189460,8346944,318945,4738177,1065945,229876,105138813
2016,1054,18790894,1502796,7197132,0,7197132,1993963,8097003,0,0,4922376,1505644,3416732,13370235,3996394,0,9373841,0,0,395874,1268875,38748254
2016,1057,2435078,542131,551339,0,551339,957427,0,384181,0,1193300,445799,747501,11205464,8852317,0,2353147,0,0,0,0,14833842
2016,1031,27531,11144,3309,0,3309,0,543,12535,0,109050,8663,100387,408383,308031,2214,96722,1416,22141,0,18427,585532
2016,1032,46644171,15259833,8404309,0,8404309,19325105,3472432,182492,5478,7984652,1237606,6747046,40473762,32226105,136914,7764024,346719,6380880,28603,632101,102149647
2016,1064,6140513,472536,2166953,837604,1329349,2669553,468297,363174,-45558,1841290,311711,1529579,10866649,8587714,88400,2114376,76159,2302268,269224,2019718,23394104
2016,226,8569320,1387718,1204518,234458,970060,4807450,582458,587176,38580,1670086,300444,1369642,6174063,4691943,169824,1276378,35918,1074280,-99141,1878776,19305964
2016,687,21472490,6752647,5293580,1062445,4231135,5263842,3651038,511383,0,3000376,746609,2253767,38062047,29582261,896789,7571690,11307,0,0,177588,62712501
2016,745,94165154,47325824,23267489,6114610,17152879,12261937,9358562,1951342,-574857,6423386,2378182,4045204,141216125,112475195,0,28560174,180756,0,0,1027022,242256830
2016,109,7476778,1448001,1046280,175929,870351,4126895,349428,506174,-12876,2092605,224278,1868327,6230602,4939529,0,1259415,31658,389755,156648,559198,16892710
2016,808,31486019,9581211,11969155,1201513,10767642,0,9935653,0,0,1989666,1526979,462687,61170041,47852095,0,12993104,324842,3231768,105859,382451,98365804
2016,971,3362282,270849,971013,145130,825883,0,2120420,0,0,501295,398494,102801,9256293,7245495,0,1978359,32439,302877,29145,12790,13464682
2016,128,1967899,316449,514824,40396,474428,0,1058726,77900,-2701,646094,73623,572471,1541514,1226957,0,314557,0,94541,26325,17645,4291317
2016,919,37724896,19806050,11165344,2454014,8711330,3194012,3408897,150593,-273427,4316153,1241949,3074204,65590404,52239478,30051,13218093,102782,0,0,265173,107623199
2016,725,92949716,39798598,45711325,13051465,32659860,0,2759964,4679829,-1929997,18870986,3721869,15149117,169678015,135251268,0,34047902,378845,2532492,0,11495197,293596409
2016,3,742424,49417,123030,0,123030,42814,396318,130845,0,431896,132203,299693,1825401,1384183,2034,430447,8737,52224,0,0,3051945
2016,306,71916,0,14813,0,14813,57103,0,0,0,0,0,0,11161787,8913742,0,2248045,0,0,0,0,11233703
2016,15,994477,101408,256196,179089,77107,505348,105124,26401,6914,208118,52176,155942,817916,622181,0,192483,3252,130221,55549,137904,2351099
2016,264,10735438,3082165,1656380,15246,1641134,4393445,1139392,464056,-5740,1836508,215158,1621350,4450128,3433966,7980,987848,20334,318056,506610,587541,18428541
2016,867,1050224,24219,206547,88895,117652,803448,2355,13655,-5871,127529,83058,44471,560844,429724,289,136073,-5242,78888,0,273786,2085400
2016,910,21055151,10991983,8081200,1455663,6625537,0,714017,1267951,-873119,4451535,1032872,3418663,43504864,34721447,0,8780247,3170,431667,0,4869837,73439935
2016,1053,30510488,18399463,8646062,1130278,7515784,0,2071093,1393870,219101,6925021,1197997,5727024,91120416,72879624,18552,18222240,0,742901,0,14395,129532322
