Año,Cód CCAA (Todas),Desc CCAA (Todas),NCODI,FINALIDAD agrupada para Anonimización,Cód Grupo Finalidad,Cód Pertenencia SNS,Desc Pertenencia SNS
2017,"01","ANDALUCÍA",226,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",687,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",745,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",109,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",808,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",971,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",771,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",533,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",447,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",815,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",801,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",800,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",389,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",695,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",816,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",833,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",870,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",927,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",961,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",962,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",1079,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",1101,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",729,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",182,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",633,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",685,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",683,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",945,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",953,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",1022,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",1049,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",404,"Otros",2,2,"Privados"
2017,"01","ANDALUCÍA",270,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",676,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",709,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",754,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",997,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",1069,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",1118,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",461,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",376,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",621,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",793,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",1102,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",1147,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",261,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",730,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",577,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",788,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",865,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",979,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",998,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",1072,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",789,"Otros",2,2,"Privados"
2017,"01","ANDALUCÍA",326,"Otros",2,2,"Privados"
2017,"01","ANDALUCÍA",442,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",294,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",378,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",402,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",29,"Otros",2,2,"Privados"
2017,"01","ANDALUCÍA",450,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",656,"Agudos",1,1,"Públicos-SNS"
2017,"01","ANDALUCÍA",333,"Agudos",1,2,"Privados"
2017,"01","ANDALUCÍA",684,"Agudos",1,1,"Públicos-SNS"
