año,NCODI,progAngioVasc_hosp,urgeAngioVasc_hosp,progAngioVasc_cma,urgeAngioVasc_cma,progAngioVasc_resto,urgeAngioVasc_resto,progAngioVasc_total,urgeAngioVasc_total,progCirCardio_hosp,urgeCirCardio_hosp,progCirCardio_cma,urgeCirCardio_cma,progCirCardio_resto,urgeCirCardio_resto,progCirCardio_total,urgeCirCardio_total,progCirGeneral_hosp,urgeCirGeneral_hosp,progCirGeneral_cma,urgeCirGeneral_cma,progCirGeneral_resto,urgeCirGeneral_resto,progCirGeneral_total,urgeCirGeneral_total,progMaxilo_hosp,urgeMaxilo_hosp,progMaxilo_cma,urgeMaxilo_cma,progMaxilo_resto,urgeMaxilo_resto,progMaxilo_total,urgeMaxilo_total,progCirPediat_hosp,urgeCirPediat_hosp,progCirPediat_cma,urgeCirPediat_cma,progCirPediat_resto,urgeCirPediat_resto,progCirPediat_total,urgeCirPediat_total,progPlastica_hosp,urgePlastica_hosp,progPlastica_cma,urgePlastica_cma,progPlastica_resto,urgePlastica_resto,progPlastica_total,urgePlastica_total,progToracica_hosp,urgeToracica_hosp,progToracica_cma,urgeToracica_cma,progToracica_resto,urgeToracica_resto,progToracica_total,urgeToracica_total,progDerma_hosp,urgeDerma_hosp,progDerma_cma,urgeDerma_cma,progDerma_resto,urgeDerma_resto,progDerma_total,urgeDerma_total,progGine_hosp,urgeGine_hosp,progGine_cma,urgeGine_cma,progGine_resto,urgeGine_resto,progGine_total,urgeGine_total,progCirNeuro_hosp,urgeCirNeuro_hosp,progCirNeuro_cma,urgeCirNeuro_cma,progCirNeuro_resto,urgeCirNeuro_resto,progCirNeuro_total,urgeCirNeuro_total,progOftalmo_hosp,urgeOftalmo_hosp,progOftalmo_cma,urgeOftalmo_cma,progOftalmo_resto,urgeOftalmo_resto,progOftalmo_total,urgeOftalmo_total,progORL_hosp,urgeORL_hosp,progORL_cma,urgeORL_cma,progORL_resto,urgeORL_resto,progORL_total,urgeORL_total,progTrauma_hosp,urgeTrauma_hosp,progTrauma_cma,urgeTrauma_cma,progTrauma_resto,urgeTrauma_resto,progTrauma_total,urgeTrauma_total,progUrolog_hosp,urgeUrolog_hosp,progUrolog_cma,urgeUrolog_cma,progUrolog_resto,urgeUrolog_resto,progUrolog_total,urgeUrolog_total,progOtrasCirugias_hosp,urgeOtrasCirugias_hosp,progOtrasCirugias_cma,urgeOtrasCirugias_cma,progOtrasCirugias_resto,urgeOtrasCirugias_resto,progOtrasCirugias_total,urgeOtrasCirugias_total,totalProg_hosp,totalUrge_hosp,totalProg_cma,totalUrge_cma,totalProg_resto,totalUrge_resto,total_programada,total_urgente
2017,14,14,0,31,0,0,0,45,0,0,0,0,0,0,0,0,0,543,9,503,0,0,0,1046,9,9,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,21,0,6,0,0,0,27,0,6,0,0,0,0,0,6,0,0,0,376,4,0,0,376,4,460,13,161,0,0,0,621,13,62,0,28,0,0,0,90,0,0,0,5,0,0,0,5,0,89,0,36,0,0,0,125,0,725,25,391,9,0,0,1116,34,96,4,180,0,0,0,276,4,,0,34,0,0,0,34,0,2025,51,1752,13,0,0,3777,64
2017,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,171,421,0,176,8,824,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,151,0,132,151,83,0,59,1,274,152,0,0,0,0,0,0,0,0,1,8,818,0,166,1,985,9,75,5,83,0,135,0,293,5,212,129,327,,131,8,670,137,92,8,2,0,272,1,366,9,3,0,51,0,147,1,201,1,742,472,1785,0,1237,20,3764,492
2017,362,40,6,1,0,1,0,42,6,215,33,0,0,0,0,215,33,922,42,63,1,1951,2,2936,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,4,3,1,44,0,348,5,10,3,0,0,0,0,10,3,3,0,0,0,45,0,48,0,16,34,1,0,1,0,18,34,205,8,0,0,0,0,205,8,173,1,133,16,0,0,306,17,76,0,0,0,7,0,83,0,1139,20,1,0,17,0,1157,20,37,1,0,0,46,0,83,1,54,0,0,0,0,0,54,0,3191,152,202,18,2112,2,5505,172
2017,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,185,728,28,0,0,940,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,4,0,0,224,4,57,76,65,24,0,0,122,100,0,0,0,0,0,0,0,0,0,0,674,2,0,0,674,2,16,0,103,1,0,0,119,1,318,181,439,34,0,0,757,215,59,8,39,4,0,0,98,12,0,0,0,0,0,0,0,0,662,450,2272,97,0,0,2934,547
2017,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,171,281,6,138,0,634,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,1,7,0,88,1,102,131,91,6,1,0,194,137,0,0,0,0,0,0,0,0,0,0,630,0,22,0,652,0,50,1,75,0,7,0,132,1,301,134,255,20,33,0,589,154,108,11,33,2,110,1,251,14,0,1,0,0,0,0,0,1,776,449,1446,35,318,1,2540,485
2017,680,407,82,325,0,47,0,779,82,259,43,0,0,0,0,259,43,1465,1056,898,0,10,0,2373,1056,0,0,0,0,0,0,0,0,337,338,768,0,0,0,1105,338,688,58,94,0,257,0,1039,58,372,33,2,0,0,0,374,33,16,6,156,0,1903,0,2075,6,635,806,145,0,0,0,780,806,653,232,11,0,100,0,764,232,31,37,3343,0,1752,0,5126,37,710,162,78,0,119,0,907,162,2190,390,587,0,52,0,2829,390,876,279,27,0,908,0,1811,279,0,0,28,0,0,0,28,0,8639,3522,6462,0,5148,0,20249,3522
2017,411,33,2,0,0,132,0,165,2,12,0,0,0,0,0,12,0,934,192,18,0,302,0,1254,192,30,0,0,0,2,0,32,0,50,2,0,0,0,0,50,2,365,5,0,0,127,0,492,5,24,0,0,0,0,0,24,0,0,0,0,3,1069,0,1069,3,321,109,0,0,28,1,349,110,116,13,0,0,4,0,120,13,0,0,3237,0,1,0,3238,0,124,5,0,0,5,1,129,6,1499,176,0,0,352,17,1851,193,256,17,0,0,257,3,513,20,736,60,0,0,486,9,1222,69,4500,581,3255,3,2765,31,10520,615
2017,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,619,45,0,1,62,0,0,46,62,0,0,0,0,0,0,0,0,399,13,2581,0,0,0,2980,13,4,0,36,0,0,0,40,0,0,0,0,0,0,0,0,0,76,2,350,1,0,0,426,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,49,0,0,0,131,0,0,0,0,0,0,0,0,0,7,0,268,0,0,0,275,0,48,0,0,0,0,0,48,0,1458,75,1298,1299,0,0,2756,1374,29,2,166,276,0,0,195,278,0,0,0,0,0,0,0,0,2148,92,4749,1638,0,0,6897,1730
2017,163,35,0,81,0,19,0,135,0,0,0,0,0,0,0,0,0,79,0,11,0,28,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,10,0,148,0,233,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,29,0,0,0,3,0,173,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,314,0,314,0,36,0,4,0,1,0,41,0,378,0,305,0,102,0,785,0,221,0,14,0,394,0,629,0,0,0,0,0,0,0,0,0,825,0,428,0,1207,0,2460,0
