año,NCODI,primDiges_hosp,totDiges_hosp,primDigestivo_CEP,totDigestivo_CEP,primCardio_hosp,totCardio_hosp,primCardio_CEP,totCardio_CEP,primDerma_hosp,totDerma_hosp,primDerma_CEP,totDerma_CEP,primNeurolog_hosp,totNeurolog_hosp,primNeurolog_CEP,totNeurolog_CEP,primPsquia_hosp,totPsquia_hosp,primPsquia_CEP,totPsquia_CEP,primRestoMed_hosp,totRestoMed_hosp,primRestoMed_CEP,totRestoMed_CEP,primCirGeneral_hosp,totCirGeneral_hosp,primCirGeneral_CEP,totCirGeneral_CEP,primTrauma_hosp,totTrauma_hosp,primTrauma_CEP,totTrauma_CEP,primGine_hosp,totGine_hosp,primGine_CEP,totGine_CEP,primOftalmo_hosp,totOftalmo_hosp,primOftalmo_CEP,totOftalmo_CEP,primOrl_hosp,totOrl_hosp,primOrl_CEP,totOrl_CEP,primUrolog_hosp,totUrolog_hosp,primUrolog_CEP,totUrolog_CEP,primRestoQuirurg_hosp,totRestoQuirurg_hosp,primRestoQuirurg_CEP,totRestoQuirurg_CEP,primPediatria_hosp,totPediatria_hosp,primPediatria_CEP,totPediatria_CEP,primPreAnest_hosp,totPreAnest_hosp,primPreAnest_CEP,totPreAnest_CEP,primRehabil_hosp,totRehabil_hosp,primRehabil_CEP,totRehabil_CEP,primOtrasConsul_hosp,totOtrasConsul_hosp,primOtrasConsul_CEP,totOtrasConsul_CEP,primTotal_hosp,total_hosp,primTotal_CEP,total_CEP,otrasTexto
2017,298,812,869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3140,10753,0,0,0,0,0,0,6734,19566,0,0,0,0,0,0,286,803,0,0,0,0,0,0,640,3113,0,0,1873,2291,0,0,1032,20191,0,0,275,567,0,0,2129,3389,0,0,0,0,0,0,16921,61542,0,0,"Otros"
2017,594,359,1805,0,0,161,620,0,0,342,1762,0,0,21,31,0,0,113,417,0,0,1814,4380,0,0,197,849,0,0,2730,9643,0,0,173,700,0,0,1102,7945,0,0,565,1126,0,0,522,2169,0,0,920,3454,0,0,48,166,0,0,1295,1295,0,0,0,0,0,0,0,0,0,0,10362,36362,0,0,"Otros"
2017,237,172,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,217,0,0,4,16,0,0,182,409,0,0,23,29,0,0,8,8,0,0,10,13,0,0,3,3,0,0,0,0,0,0,20,21,0,0,1041,1041,0,0,52,52,0,0,0,0,0,0,1699,2099,0,0,"Otros"
2017,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,768,459,1621,0,0,327,1402,0,0,579,1240,0,0,292,820,0,0,0,0,0,0,992,4204,0,0,834,2702,0,0,1636,5416,0,0,541,1650,0,0,1117,4525,0,0,623,1232,0,0,356,1445,0,0,232,248,0,0,10,12,0,0,1321,1389,0,0,127,337,0,0,1584,5474,0,0,11030,33717,0,0,"Otros"
2017,617,1191,4015,0,0,1026,3558,0,0,2386,6273,0,0,1439,3633,0,0,0,0,0,0,2967,12647,0,0,2256,6077,0,0,6704,21081,0,0,4501,13534,0,0,4818,11444,0,0,2757,8747,0,0,1807,5509,0,0,0,0,0,0,1409,4777,0,0,6337,6515,0,0,4750,8710,0,0,679,1437,0,0,45027,117957,0,0,"Otros"
2017,297,210,8020,0,0,1430,5012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,915,0,0,1298,7681,0,0,5187,10956,0,0,875,8964,0,0,123,5630,0,0,468,2164,0,0,587,3012,0,0,0,0,0,0,129,952,0,0,756,756,0,0,9,9,0,0,0,0,0,0,11134,54071,0,0,"Otros"
2017,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,544,687,1761,0,0,683,3617,0,0,1500,3241,0,0,791,2366,0,0,0,0,0,0,3151,14489,0,0,2835,7609,0,0,4315,14629,0,0,3187,6596,0,0,4666,9693,0,0,1329,2438,0,0,932,4710,0,0,191,1146,0,0,895,2082,0,0,3898,3940,0,0,2151,4579,0,0,88,370,0,0,31299,83266,0,0,"Otros"
2017,804,2862,8140,0,0,1382,3041,0,0,3211,7087,0,0,1192,2450,0,0,0,0,0,0,5100,21926,0,0,2586,6832,0,0,4984,22452,0,0,1502,9873,0,0,4944,12966,0,0,3054,5283,0,0,2255,8481,0,0,255,744,0,0,847,3372,0,0,7334,7889,0,0,10310,19263,0,0,0,0,0,0,51818,139799,0,0,"Otros"
2017,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,550,593,2382,0,0,771,3071,0,0,1130,4095,0,0,774,3166,0,0,0,0,0,0,2897,20722,0,0,1111,2888,0,0,7952,22142,0,0,983,3763,0,0,4929,9199,0,0,786,2540,0,0,1110,4015,0,0,926,3519,0,0,384,1860,0,0,3703,4441,0,0,1504,3477,0,0,200,841,0,0,29753,92121,0,0,"Otros"
2017,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2017,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798,1599,0,0,798,1599,0,0,"Otros"
