año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2017,486,9519,787,24,0,10330
2017,595,27283,5197,345,40,32865
2017,433,11405,1116,569,5,13095
2017,1058,2027,367,210,4,2608
2017,261,18737,1102,423,1,20263
2017,730,61662,5136,1203,60,68061
2017,577,36508,6724,840,53,44125
2017,788,129577,16944,1955,76,148552
2017,865,55259,2824,857,76,59016
2017,979,16328,491,1235,5,18059
2017,998,19357,197,1265,5,20824
2017,1072,35102,445,2194,21,37762
2017,221,5461,1093,93,0,6647
2017,506,27803,756,307,1,28867
2017,727,46849,9503,466,62,56880
2017,355,973,16,11,0,1000
2017,487,2278,278,54,0,2610
2017,938,108569,20901,4569,132,134171
2017,886,3248,1788,12,0,5048
2017,835,4563,110,0,0,4673
2017,999,0,0,0,0,0
2017,798,75630,14894,2983,166,93673
2017,504,3436,1246,88,0,4770
2017,247,23163,1480,75,0,24718
2017,216,20632,1153,37,0,21822
2017,654,10853,1040,11,5,11909
2017,65,0,0,0,0,0
2017,472,14479,1153,369,7,16008
2017,427,0,0,0,0,0
2017,491,7372,1196,284,11,8863
2017,551,13433,563,133,3,14132
2017,106,0,0,0,0,0
2017,819,0,0,0,0,0
2017,836,0,0,0,0,0
2017,915,0,0,0,0,0
2017,942,0,0,0,0,0
2017,1140,0,0,0,0,0
2017,748,86179,18451,95,81,104806
2017,198,0,0,0,0,0
2017,871,18228,2811,735,7,21781
2017,948,29828,1008,43,0,30879
2017,1051,0,0,0,0,0
2017,1083,0,0,0,0,0
2017,1096,0,0,0,0,0
2017,679,82208,15346,186,113,97853
2017,176,10319,414,68,0,10801
2017,537,10949,533,282,3,11767
2017,608,19413,3818,292,109,23632
2017,596,11404,3479,448,64,15395
2017,749,131935,17458,895,216,150504
2017,758,226566,27612,1095,234,255507
2017,1104,110198,20373,942,103,131616
2017,567,27,0,11,0,38
2017,677,88296,10151,700,82,99229
2017,670,64802,3172,165,1,68140
2017,588,0,0,0,0,0
2017,753,217857,32586,831,205,251479
2017,887,139,843,48,0,1030
2017,113,0,0,0,0,0
2017,619,17522,506,20,0,18048
2017,163,5194,69,1,0,5264
2017,131,0,0,0,0,0
2017,375,354,0,79,0,433
2017,1090,146165,20838,2049,43,169095
2017,764,136866,16903,548,102,154419
2017,14,20891,126,57,0,21074
2017,657,32934,3317,355,32,36638
2017,362,22110,686,160,1,22957
2017,989,23557,2178,444,22,26201
2017,990,32099,3679,717,43,36538
2017,680,139184,18574,2013,81,159852
2017,411,43346,2693,69,5,46113
2017,241,29227,2410,27,1,31665
2017,558,41510,8156,337,57,50060
2017,167,3864,65,5,0,3934
2017,248,11617,3288,191,0,15096
2017,224,23797,1058,42,3,24900
2017,591,72368,11776,502,63,84709
2017,586,74170,13584,1369,75,89198
2017,453,922,40,0,0,962
2017,145,0,0,0,0,0
2017,511,70231,11934,665,74,82904
2017,530,65739,12176,416,61,78392
2017,6,25817,1125,20,0,26962
2017,161,0,0,0,0,0
2017,623,76630,13119,774,57,90580
2017,349,687,312,56,0,1055
2017,875,31378,3565,30,0,34973
2017,946,32447,6521,140,9,39117
2017,1023,68695,12252,202,105,81254
2017,1054,49219,9039,329,63,58650
2017,1057,0,0,0,0,0
2017,1031,0,0,0,0,0
2017,1032,80041,9158,254,60,89513
2017,1064,36679,2646,239,0,39564
2017,226,43081,2305,52,0,45438
2017,687,56996,5426,836,79,63337
2017,745,140414,16117,1175,104,157810
2017,109,40916,2901,18,0,43835
2017,808,139439,10593,1055,83,151170
2017,971,73434,548,2741,7,76730
2017,128,10694,485,0,0,11179
2017,919,33775,9718,343,47,43883
2017,725,126095,19328,0,89,145512
2017,3,0,0,0,0,0
2017,306,0,0,0,0,0
2017,15,7873,16,12,0,7901
2017,264,31829,2289,95,5,34218
2017,867,8905,0,0,0,8905
2017,910,34316,6376,563,56,41311
2017,1053,54235,10700,1110,76,66121
2017,1055,64362,12046,1797,87,78292
2017,1081,0,0,0,0,0
2017,1099,2613,30,0,0,2643
2017,1115,0,0,0,0,0
2017,529,0,0,0,0,0
2017,345,0,0,0,0,0
2017,515,13705,520,0,0,14225
2017,174,0,0,0,0,0
2017,523,0,0,0,0,0
2017,697,83921,6274,306,7,90508
2017,239,38345,4908,278,1,43532
2017,287,54744,5641,105,175,60665
2017,377,0,0,0,0,0
2017,692,46684,6991,86,31,53792
2017,435,22403,1449,72,8,23932
2017,423,10932,1411,0,0,12343
2017,351,16781,3132,267,8,20188
2017,810,9100,1204,0,0,10304
2017,830,63381,9243,513,45,73182
2017,892,91850,12750,528,118,105246
2017,921,86187,7924,189,2,94302
2017,991,17633,224,263,2,18122
2017,992,56799,5834,517,75,63225
2017,993,22452,4145,77,9,26683
2017,1070,130276,18498,626,138,149538
2017,1095,19701,1918,339,2,21960
2017,1094,6457,339,32,4,6832
2017,1124,0,0,0,0,0
2017,473,31007,3274,24,0,34305
2017,663,108435,11815,5424,203,125877
2017,552,2867,6,1,0,2874
2017,772,84548,15013,3949,397,103907
2017,568,5542,312,0,0,5854
2017,398,7412,1100,5,0,8517
2017,394,5265,402,7,0,5674
2017,614,0,0,0,0,0
2017,235,2851,15,0,0,2866
2017,616,45168,1631,2180,11,48990
2017,267,21960,3745,62,3,25770
