año,NCODI,totHemodina_Paciente,totPaciente_radioInterv,totLitofrag_Paciente,totLitofrag_Sesion,totAceleLineal_Paciente,totAceleLineal_Sesion,totBomCobal_Paciente,totBomCobal_Sesion,totOtraRadio_Paciente,totOtraRadio_Sesion,totFisiot_Paciente,totFisiot_Sesion,totLogop_Paciente,totLogop_Sesion,totTerapOcupa_Paciente,totTerapOcupa_Sesion,totHemodial_Paciente,totHemodial_Sesion,totHemodialDom_Paciente,totHemodialDom_Sesion,totDialPerito_Paciente,totDialPerito_Sesion
2017,454,0,812,0,0,0,0,0,0,0,0,1140,6497,34,60,244,14096,0,0,0,0,0,0
2017,318,0,0,0,0,0,0,0,0,0,0,81,2015,0,0,67,9227,0,0,0,0,0,0
2017,600,0,0,0,0,0,0,0,0,0,0,122,2196,0,0,0,0,0,0,0,0,0,0
2017,545,0,0,0,0,1192,22553,0,0,0,0,4970,68728,705,2784,294,2248,170,10501,0,0,43,10688
2017,100,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2017,702,1269,1669,0,0,0,0,0,0,50,51,2902,20318,49,248,270,4187,0,0,0,0,0,0
2017,778,0,0,0,0,0,0,0,0,0,0,3035,88349,0,0,0,0,151,13569,0,0,7,1738
2017,341,0,0,0,0,0,0,0,0,0,0,946,14246,0,0,59,333,0,0,0,0,0,0
2017,99,0,0,0,0,0,0,0,0,0,0,844,10959,0,0,522,6597,0,0,0,0,0,0
2017,767,0,631,0,0,0,0,0,0,0,0,1309,3156,0,0,0,0,0,0,0,0,0,0
2017,359,0,0,0,0,0,0,0,0,0,0,805,13130,262,1314,226,2017,218,24559,0,0,0,0
2017,98,0,0,0,0,0,0,0,0,0,0,508,25010,0,0,143,6241,0,0,0,0,0,0
2017,132,0,0,0,0,0,0,0,0,0,0,368,9530,0,0,290,8752,0,0,0,0,0,0
2017,97,0,0,0,0,0,0,0,0,0,0,591,8931,14,143,550,1327,0,0,0,0,0,0
2017,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,5250,0,0,0,0,0,0
2017,94,0,0,0,0,0,0,0,0,0,0,44,1204,0,0,61,1207,0,0,0,0,0,0
2017,91,0,0,0,0,0,0,0,0,0,0,320,8300,55,120,120,1892,0,0,0,0,0,0
2017,664,0,0,0,0,0,0,0,0,0,0,4187,50862,88,261,701,5326,0,0,0,0,0,0
2017,918,2601,4160,0,0,1758,31403,0,0,3,3,12132,199146,569,7266,2664,33801,347,4231,0,0,47,11082
2017,92,0,0,0,0,0,0,0,0,0,0,120,4966,0,0,117,1669,0,0,0,0,0,0
2017,95,0,0,0,0,0,0,0,0,0,0,730,10220,102,385,220,1150,0,0,0,0,0,0
2017,301,0,0,0,0,0,0,0,0,0,0,1913,30227,0,0,0,0,0,0,0,0,0,0
2017,492,0,356,0,0,0,0,0,0,0,0,2436,34531,0,0,0,0,0,0,0,0,0,0
2017,811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,812,0,0,0,0,2812,53166,0,0,0,0,722,4490,0,0,0,0,0,0,0,0,0,0
2017,832,0,0,0,0,0,0,0,0,0,0,34,2256,0,0,34,2891,0,0,0,0,0,0
