año,NCODI,altas_particular,estancias_particular,sesionHdia_particular,consulta_particular,cma_particular,urge_particular,hospDom_particular,altas_AsegPriv,estancias_AsegPriv,sesionHdia_AsegPriv,consulta_AsegPriv,cma_AsegPriv,urge_AsegPriv,hospDom_AsegPriv,altas_sns,estancias_sns,sesionHdia_sns,consulta_sns,cma_sns,urge_sns,hospDom_sns,altas_MutuaFun,estancias_MutuaFun,sesionHdia_MutuaFun,consulta_MutuaFun,cma_MutuaFun,urge_MutuaFun,hospDom_MutuaFun,altas_otrEntiPublica,estancias_otrEntiPublica,sesionHdia_otrEntiPublica,consulta_otrEntiPublica,cma_otrEntiPublica,urge_otrEntiPublica,hospDom_otrEntiPublica,altas_MATEPSS,estancias_MATEPSS,sesionHdia_MATEPSS,consulta_MATEPSS,cma_MATEPSS,urge_MATEPSS,hospDom_MATEPSS,altas_convIntern,estancias_conveInter,sesionHdia_conveInter,consulta_conveInter,cma_conveInter,urge_conveInter,hospDom_conveInter,altas_AccTrafic,estancias_AccTrafic,sesionHdia_AccTrafic,consulta_AccTrafic,cma_AccTrafic,urge_AccTrafic,hospDom_AccTrafic,otroRegimen,altas_otroRegim,estancias_otroRegim,sesionHdia_otroRegim,consulta_otroRegim,cma_otroRegim,urge_otroRegim,hospDom_otroRegim,total_altas,total_estancias,total_sesionHdia,total_consulta,total_cma,total_urgencias,total_hospDom
2017,538,23,186,0,3,0,230,0,6,31,0,0,0,70,0,13282,86515,14350,253421,2448,58340,0,22,94,0,0,0,280,0,0,0,0,0,0,0,0,10,92,0,15,0,789,0,0,0,0,0,0,0,0,37,324,0,2,0,598,0,"Otros",0,0,0,0,0,0,0,13380,87242,14350,253441,2448,60307,0
2017,557,1,5,0,6,0,34,0,1,2,0,1,0,1,0,4007,17818,3761,93621,1918,29280,0,6,10,0,23,0,65,0,0,0,0,12,0,0,0,7,26,0,76,0,239,0,0,0,0,0,0,1,0,14,46,0,2,0,148,0,"Otros",0,0,0,11,0,8,0,4036,17907,3761,93752,1918,29776,0
2017,653,1,3,0,11,0,30,0,2,3,0,81,1,64,0,6266,32001,2134,126925,1896,46758,0,19,63,0,38,1,141,0,0,0,0,0,0,0,0,8,37,0,48,2,368,0,0,0,0,0,0,0,0,11,60,0,519,0,571,0,"Otros",0,0,0,0,0,0,0,6307,32167,2134,127622,1900,47932,0
2017,647,0,0,0,1,0,25,0,3,15,0,0,0,27,0,4804,25747,791,101217,2549,33047,0,21,65,0,9,0,248,0,0,0,0,0,0,0,0,17,36,0,26,0,612,0,10,30,0,0,0,128,0,12,38,0,14,0,441,0,"Otros",0,0,0,0,0,0,0,4867,25931,791,101267,2549,34528,0
2017,978,8,33,0,9,0,86,0,99,647,0,33,0,535,0,21278,154482,10220,443228,5718,93265,0,0,0,0,0,0,0,0,2,3,0,0,0,11,0,16,79,0,0,2,398,0,6,73,0,15,0,52,0,88,591,0,0,0,921,0,"Otros",0,0,0,0,0,0,0,21497,155908,10220,443285,5720,95268,0
2017,996,0,0,0,0,0,8,0,0,0,0,0,0,2,0,3630,22650,2541,105297,2225,34242,0,12,48,0,0,0,181,0,0,0,0,0,0,0,0,10,57,0,0,0,473,0,2,7,0,0,0,23,0,11,53,0,0,0,532,0,"Otros",0,0,0,0,0,0,0,3665,22815,2541,105297,2225,35461,0
2017,729,8,138,5,69,1,75,0,18,211,0,0,0,0,0,37644,251143,61576,822448,12901,204072,0,5,70,57,626,3,550,0,5,36,0,0,0,0,0,3,17,0,8,0,503,0,2,7,0,93,0,175,0,221,1752,33,0,0,2835,0,"Otros",14,123,0,0,0,0,0,37920,253497,61671,823244,12905,208210,0
2017,182,749,1306,0,940,32,605,0,8600,29769,0,20796,1030,35450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",25,80,0,0,0,2,0,9374,31155,0,21736,1062,36079,0
2017,633,556,1595,0,8377,276,710,0,4590,14335,0,72263,3031,45727,0,989,4371,0,20622,3513,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,1181,0,995,296,3416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,6410,21482,0,102257,7116,50016,0
2017,685,8,11,0,0,0,0,0,7,30,1,167,0,322,0,9905,56977,5760,193053,2006,64589,0,2,32,0,0,0,0,0,0,0,4,2744,3,1270,0,11,56,0,0,0,0,0,0,0,1,94,0,74,0,37,231,0,0,0,0,0,"Otros",3,16,0,0,0,0,0,9973,57353,5766,196058,2009,66255,0
2017,683,1,5,0,96,0,4,0,2,2,0,0,0,31,0,4676,27445,1123,103062,2134,32157,0,2,7,0,0,0,97,0,0,0,0,0,0,0,0,1,2,0,0,1,368,0,0,0,0,56,0,24,0,11,46,0,1,0,144,0,"Otros",0,0,0,0,0,0,0,4693,27507,1123,103215,2135,32825,0
2017,945,0,0,0,0,0,84,0,0,0,0,0,0,0,0,3116,11497,578,89264,1573,50206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,0,1,3,0,0,0,0,0,0,0,0,0,0,382,0,"Otros",0,0,0,0,0,30,0,3117,11500,578,89264,1573,51321,0
2017,36,27,2267,362,125,0,0,0,330,26512,2437,1364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,357,28779,2799,1489,0,0,0
