año,NCODI,camas_instalada,incubadoras_instalada,paritorios_instalada,quirofanos_instalada,salasHemo_instalada,camas_funcionamiento,incubadoras_funcionamiento,paritorios_funcionamiento,quirofanos_funcionamiento,salasHemo_funcionamiento,salas_rx_Hospital,salas_rx_CEP,puesto_HDia_medico,puesto_HDia_psiquiatrico,puesto_HDia_geriatrico,integradasPuestos_HDia_CMA,propiasPuestos_HDia_CMA,propiasQuirofanos_HDia_CMA
2018,971,33,0,0,6,0,21,0,0,6,0,2,,2,,,12,,
2018,128,33,1,1,3,0,33,0,0,3,0,1,0,3,0,0,2,2,1
2018,919,430,8,2,8,0,386,8,2,8,0,5,3,34,8,0,0,0,0
2018,1150,80,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2018,725,938,28,3,32,2,811,28,3,32,2,16,0,144,0,0,0,20,3
2018,3,105,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
2018,306,281,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0
2018,15,29,0,0,3,0,20,0,0,2,0,1,0,3,0,0,3,0,0
2018,264,77,3,1,3,0,77,3,1,3,0,2,0,0,0,0,0,0,0
2018,867,9,0,0,2,0,9,0,0,2,0,1,0,0,0,0,0,0,0
2018,910,229,2,1,11,0,200,2,1,10,0,8,0,22,0,0,1,10,1
2018,1053,320,7,2,8,0,287,7,2,6,0,6,1,15,0,0,8,6,1
2018,1055,381,8,3,15,1,366,8,3,14,1,18,0,45,0,0,0,35,5
2018,1081,100,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0
2018,1115,11,0,0,2,0,11,0,0,2,0,1,0,0,0,0,0,0,0
2018,529,100,0,0,0,0,90,0,0,0,0,1,0,0,0,27,0,0,0
2018,345,168,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0
2018,515,40,0,0,3,0,40,0,0,3,0,2,0,0,0,0,0,0,0
2018,174,73,0,0,3,0,73,0,0,3,0,0,0,0,0,0,0,0,0
2018,523,197,0,0,3,0,197,0,0,3,0,5,0,0,0,30,0,0,0
2018,697,193,9,3,6,1,193,9,3,6,1,5,0,1,1,1,1,1,1
2018,239,196,0,0,5,1,104,0,0,5,1,3,0,10,0,0,5,0,0
2018,287,287,4,3,11,1,287,4,3,11,1,6,0,1,0,16,0,0,0
2018,377,106,0,0,0,0,91,0,0,0,0,1,0,0,0,0,0,0,0
