año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2018,113,0,0,372,7010,0,0
2018,619,367,650,0,0,0,0
2018,163,0,0,0,0,0,0
2018,131,0,0,0,0,0,0
2018,375,0,0,0,0,0,0
2018,1090,14924,53954,0,0,0,0
2018,764,1902,13304,243,17468,83,184
2018,14,588,1048,0,0,0,0
2018,657,609,3636,0,0,0,0
2018,362,0,0,0,0,0,0
2018,989,286,1005,0,0,0,0
2018,990,441,2674,0,0,0,0
2018,680,37518,59111,0,0,0,0
2018,411,242,1964,0,0,0,0
2018,241,206,876,0,0,0,0
2018,558,7898,72103,0,0,0,0
2018,167,0,0,0,0,0,0
2018,248,507,1257,0,0,0,0
2018,224,0,0,0,0,0,0
2018,591,6105,55504,66,2563,0,0
2018,586,21171,59693,629,1715,0,0
2018,453,416,2114,0,0,0,0
2018,145,0,0,0,0,0,0
2018,511,21309,23407,0,0,0,0
2018,530,4316,35559,0,0,0,0
2018,6,0,0,0,0,0,0
2018,161,0,0,0,0,0,0
2018,623,2688,13039,0,0,0,0
2018,349,0,0,0,0,0,0
2018,875,100,550,0,0,0,0
2018,946,0,0,0,0,0,0
2018,1023,6231,38281,0,0,0,0
2018,1054,1609,12765,0,0,0,0
2018,1057,0,0,0,0,0,0
2018,1031,80,16868,0,0,0,0
2018,1032,6064,28434,0,0,0,0
2018,1064,0,0,0,0,0,0
2018,226,0,0,0,0,0,0
2018,687,662,3310,39,1533,0,0
2018,745,4288,21439,974,24065,0,0
2018,109,0,0,0,0,0,0
2018,808,551,2754,72,4576,0,0
2018,971,343,1714,,,0,0
2018,128,32,57,0,0,0,0
2018,919,1046,10907,195,1357,0,0
2018,1150,0,0,0,0,0,0
2018,725,3560,18602,0,0,0,0
2018,3,0,0,0,0,0,0
2018,306,0,0,0,0,0,0
2018,15,0,0,0,0,0,0
2018,264,0,0,0,0,0,0
2018,867,0,0,0,0,0,0
2018,910,878,15796,0,0,0,0
2018,1053,889,7219,0,0,0,0
2018,1055,8883,25235,0,0,0,0
2018,1081,0,0,0,0,0,0
2018,1115,0,0,0,0,0,0
2018,529,0,0,0,0,137,5940
2018,345,0,0,0,0,0,0
2018,515,0,0,0,0,0,0
2018,174,0,0,0,0,0,0
2018,523,0,0,0,0,182,6162
2018,697,731,2200,0,0,0,0
2018,239,126,280,0,0,0,0
2018,287,277,8222,0,0,56,2937
2018,377,0,0,0,0,0,0
2018,692,1136,8442,298,3057,0,0
2018,435,0,0,0,0,0,0
2018,423,0,0,0,0,0,0
2018,351,0,0,0,0,0,0
2018,810,0,0,0,0,0,0
2018,830,6591,16650,0,0,0,0
2018,892,2844,28412,173,4014,0,0
2018,921,1904,3855,0,0,0,0
2018,991,78,373,0,0,0,0
2018,992,537,5934,194,3080,0,0
2018,993,8947,23094,24,1870,0,0
2018,1070,4210,15518,140,4949,0,0
2018,1095,0,0,0,0,0,0
2018,1094,36,36,0,0,0,0
2018,1124,0,0,0,0,0,0
2018,473,1572,3218,0,0,0,0
2018,663,8160,36728,123,1738,0,0
2018,552,1467,8949,0,0,0,0
2018,772,25452,112024,387,7191,167,9352
2018,568,0,0,0,0,0,0
2018,398,0,0,0,0,0,0
2018,394,0,0,0,0,0,0
2018,614,0,0,0,0,0,0
2018,235,0,0,0,0,0,0
2018,616,2830,7838,0,0,0,0
2018,267,0,0,0,0,0,0
2018,565,1429,3365,315,4409,0,0
2018,220,37,327,0,0,0,0
2018,278,0,0,0,0,0,0
2018,107,0,0,89,4126,131,12492
2018,711,21706,85787,1378,15184,0,0
2018,204,0,0,0,0,39,5493
2018,579,0,0,0,0,0,0
2018,348,544,16586,0,0,0,0
2018,766,936,4335,0,0,0,0
2018,761,0,0,42,3789,130,10981
2018,728,1017,4232,0,0,0,0
2018,280,475,3423,0,0,0,0
2018,222,68,556,0,0,0,0
2018,276,1093,10196,0,0,0,0
2018,11,1389,1389,0,0,0,0
2018,302,0,0,0,0,0,0
2018,682,5647,15902,0,0,0,0
2018,279,329,3234,0,0,0,0
2018,282,694,7325,0,0,0,0
2018,281,496,7047,0,0,0,0
2018,183,0,0,0,0,0,0
2018,610,0,0,0,0,0,0
2018,116,0,0,0,0,210,4652
2018,115,0,0,0,0,0,0
2018,114,0,0,0,0,0,0
2018,119,0,0,0,0,0,0
2018,770,8500,21353,41,1875,0,0
2018,583,117,9490,0,0,0,0
2018,136,0,0,0,0,281,12403
2018,469,1380,4853,0,0,26,3378
2018,642,305,2180,0,0,127,4638
2018,674,2504,12646,474,17804,0,0
2018,193,0,0,0,0,82,4137
2018,526,6132,24311,0,0,108,4970
2018,698,5219,29927,32,1100,0,0
2018,630,2237,6147,0,0,0,0
2018,124,0,0,0,0,223,7591
2018,364,0,0,0,0,177,8466
2018,439,429,1897,0,0,0,0
2018,570,6107,27016,223,4622,0,0
2018,123,0,0,0,0,306,14682
2018,310,0,0,243,13535,168,12864
2018,571,1748,9551,0,0,0,0
2018,296,0,0,0,0,72,5534
2018,566,3313,13113,178,3090,0,0
2018,784,9651,51640,497,8506,391,2885
2018,102,0,0,111,3710,69,5017
2018,379,0,0,363,20937,0,0
2018,639,4674,13375,0,0,0,0
2018,457,1352,1672,0,0,0,0
2018,609,257,2074,0,0,0,0
2018,101,0,0,0,0,68,4586
