año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2018,113,0,0
2018,619,0,0
2018,163,0,0
2018,131,0,0
2018,375,0,0
2018,1090,1080,12491
2018,764,0,0
2018,14,0,0
2018,657,0,0
2018,362,0,0
2018,989,0,0
2018,990,0,0
2018,680,2285,29930
2018,411,0,0
2018,241,0,0
2018,558,1426,12677
2018,167,0,0
2018,248,0,0
2018,224,0,0
2018,591,973,12111
2018,586,4077,14078
2018,453,0,0
2018,145,0,0
2018,511,2809,13905
2018,530,1459,8477
2018,6,0,0
2018,161,0,0
2018,623,2720,16536
2018,349,0,0
2018,875,0,0
2018,946,0,0
2018,1023,961,6750
2018,1054,1143,14865
2018,1057,0,0
2018,1031,0,0
2018,1032,1477,11198
2018,1064,0,0
2018,226,0,0
2018,687,0,0
2018,745,0,0
2018,109,0,0
2018,808,0,0
2018,971,0,0
2018,128,0,0
2018,919,163,2628
2018,1150,0,0
2018,725,0,0
2018,3,0,0
2018,306,0,0
2018,15,0,0
2018,264,0,0
2018,867,0,0
2018,910,0,0
2018,1053,0,0
2018,1055,0,0
2018,1081,0,0
2018,1115,0,0
2018,529,0,0
2018,345,0,0
2018,515,0,0
2018,174,0,0
2018,523,0,0
2018,697,0,0
2018,239,0,0
2018,287,18,705
2018,377,0,0
2018,692,357,7641
2018,435,0,0
2018,423,0,0
2018,351,0,0
2018,810,0,0
2018,830,0,0
2018,892,0,0
2018,921,0,0
2018,991,0,0
2018,992,207,3741
2018,993,0,0
2018,1070,681,5814
2018,1095,0,0
2018,1094,0,0
2018,1124,0,0
2018,473,0,0
2018,663,382,494
2018,552,0,0
2018,772,1171,14052
2018,568,0,0
2018,398,0,0
2018,394,0,0
2018,614,0,0
2018,235,0,0
2018,616,1050,10604
2018,267,0,0
2018,565,0,0
2018,220,0,0
2018,278,0,0
2018,107,591,5010
2018,711,0,0
2018,204,0,0
2018,579,0,0
2018,348,0,0
2018,766,0,0
2018,761,307,2041
2018,728,0,0
2018,280,0,0
2018,222,0,0
2018,276,0,0
2018,11,0,0
2018,302,0,0
2018,682,0,0
2018,279,0,0
2018,282,0,0
2018,281,368,7579
2018,183,0,0
2018,610,0,0
2018,116,0,0
2018,115,0,0
2018,114,0,0
2018,119,0,0
2018,770,814,12812
2018,583,196,221
2018,136,291,504
2018,469,71,1506
2018,642,758,9174
2018,674,241,943
2018,193,0,0
2018,526,200,2680
2018,698,695,12509
2018,630,0,0
2018,124,0,0
2018,364,0,0
2018,439,0,0
2018,570,528,6729
2018,123,0,0
2018,310,361,3554
2018,571,108,2405
2018,296,0,0
2018,566,295,2593
2018,784,974,14224
2018,102,0,0
2018,379,0,0
2018,639,569,5354
2018,457,104,104
2018,609,0,0
2018,101,0,0
2018,454,0,0
2018,318,0,0
2018,600,557,2928
2018,545,328,386
2018,100,0,0
2018,702,439,5853
2018,778,495,2452
2018,341,0,0
2018,99,773,5200
2018,767,565,3729
2018,359,0,0
2018,98,0,0
2018,132,0,0
2018,97,0,0
2018,103,0,0
2018,110,0,0
2018,94,0,0
2018,91,0,0
2018,664,456,7115
2018,918,897,13024
2018,92,0,0
2018,95,0,0
2018,301,0,0
2018,492,0,0
2018,811,0,0
2018,812,0,0
2018,832,0,0
2018,841,0,0
2018,856,0,0
2018,859,0,0
2018,861,0,0
2018,880,0,0
2018,883,0,0
2018,884,0,0
2018,877,0,0
2018,911,810,6032
2018,913,0,0
2018,922,0,0
2018,923,0,0
2018,924,0,0
2018,947,0,0
2018,951,0,0
2018,1103,0,0
2018,972,0,0
2018,973,0,0
2018,974,0,0
2018,975,0,0
2018,960,139,1985
2018,1028,0,0
2018,976,215,268
2018,977,0,0
2018,1020,0,0
2018,994,0,0
2018,995,0,0
2018,1060,0,0
2018,1005,0,0
2018,1061,0,0
2018,1062,0,0
2018,1006,0,0
2018,1088,0,0
2018,1089,0,0
2018,1076,0,0
2018,1078,0,0
2018,1033,675,7175
2018,1037,0,0
2018,1039,0,0
2018,1067,0,0
2018,1065,0,0
2018,1066,0,0
2018,1100,0,0
2018,1105,0,0
2018,1107,0,0
2018,1111,0,0
2018,1121,0,0
2018,1119,0,0
2018,207,185,261
2018,431,0,0
2018,387,0,0
2018,179,0,0
2018,606,0,0
2018,925,1070,18814
2018,541,0,0
2018,797,0,0
2018,627,0,0
2018,173,0,0
2018,636,0,0
2018,205,0,0
