año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2018,962,19313,79646,0,79646,0,98959
2018,1079,0,6527,0,6527,,6527
2018,1101,956,285767,0,285767,0,286723
2018,666,0,4095066,553433,3541633,2798,4097864
2018,392,0,196263,,196263,0,196263
2018,790,0,937178,0,937178,0,937178
2018,650,13552,1439523,0,1439523,0,1453075
2018,876,0,0,0,0,1131155,1131155
2018,944,0,197239,0,197239,0,197239
2018,952,18288,450885,450885,0,0,469173
2018,54,0,0,0,0,0,0
2018,367,0,568633,0,568633,0,568633
2018,538,0,231525,,231525,0,231525
2018,557,0,853687,0,853687,0,853687
2018,653,0,16391,0,16391,7014734,7031125
2018,647,0,575888,0,575888,0,575888
2018,978,0,711589,154792,556797,0,711589
2018,996,2018,135245,0,135245,0,137263
2018,729,,789527,,789527,,789527
2018,182,13359,224659,0,224659,0,238018
2018,633,30914,554271,7601,546670,0,585185
2018,685,,81743,,81743,,81743
2018,683,,44733,,44733,,44733
2018,945,0,193243,0,193243,0,193243
2018,953,0,374604,0,374604,0,374604
2018,1022,0,16681,0,16681,0,16681
2018,1049,0,90207,0,90207,0,90207
2018,1151,742559,0,0,,12734319,13476878
2018,794,0,1381035,0,1381035,0,1381035
2018,415,0,362987,0,362987,0,362987
2018,592,912,2338066,,2338066,0,2338978
2018,497,39928,901339,0,901339,0,941267
2018,458,0,0,0,0,778305,778305
2018,726,0,726045,0,726045,0,726045
2018,272,0,411897,0,411897,0,411897
2018,805,138474,1139357,0,1139357,0,1277831
2018,234,0,1374000,0,1374000,0,1374000
2018,64,0,0,0,0,0,0
2018,842,0,0,0,0,0,0
2018,843,0,0,0,0,0,0
2018,803,0,308720,0,308720,0,308720
2018,211,0,83378,0,83378,0,83378
2018,773,0,1658011,0,1658011,0,1658011
2018,424,0,129990,0,129990,0,129990
2018,298,138382,147904,0,147904,0,286286
2018,594,0,28336,0,28336,0,28336
2018,237,15832,211142,0,211142,0,226974
2018,16,0,22604,0,22604,0,22604
2018,768,92191,537272,0,537272,0,629463
2018,617,116642,2182169,0,2182169,0,2298811
2018,297,0,22861,0,22861,0,22861
2018,105,0,52892,0,52892,0,52892
2018,544,41898,133010,0,133010,0,174908
2018,804,27305,765610,0,765610,924080,1716995
2018,104,0,333237,0,333237,0,333237
2018,20,0,0,0,0,1,1
2018,550,15454,722349,0,722349,0,737803
2018,112,714,595397,0,595397,0,596111
2018,818,0,218205,0,218205,0,218205
2018,882,0,35173,0,35173,0,35173
2018,914,0,26640,0,26640,0,26640
2018,928,0,124429,0,124429,0,124429
2018,964,221161,4825683,0,4825683,0,5046844
2018,1026,0,57499,0,57499,0,57499
2018,1068,0,195329,0,195329,0,195329
2018,1108,106237,127973,0,127973,0,234210
2018,404,20707,554414,40781,513633,0,575121
2018,270,0,269740,0,269740,0,269740
2018,676,0,0,0,0,0,0
2018,709,,33911,,33911,,33911
2018,754,,,,,,
2018,997,0,56788,0,56788,,56788
2018,1069,0,9116,0,9116,,9116
2018,1118,4375,962054,0,962054,0,966429
2018,1116,0,0,0,0,0,0
2018,734,0,950544,0,950544,0,950544
2018,299,0,679483,0,679483,0,679483
2018,645,0,129804,0,129804,0,129804
2018,17,0,0,0,0,0,0
2018,1046,0,19898,0,19898,0,19898
2018,420,21599,140377,0,140377,0,161976
2018,802,0,72488,0,72488,0,72488
2018,266,33178,998296,0,998296,0,1031474
2018,769,0,360492,0,360492,0,360492
2018,776,81524,153687,0,153687,0,235211
2018,640,74602,43350,0,43350,0,117952
2018,315,0,1739191,0,1739191,0,1739191
2018,40,7651,132059,0,132059,0,139710
2018,508,1361,1113732,0,1113732,0,1115093
2018,46,0,24510,0,24510,0,24510
2018,590,116024,255321,0,255321,0,371345
2018,777,108882,2622120,0,2622120,0,2731002
2018,897,746462,6941579,0,6941579,0,7688041
2018,965,2010,50669,0,50669,0,52679
2018,671,,135241,,135241,,135241
2018,461,0,0,0,0,0,0
2018,376,0,125035,0,125035,0,125035
2018,621,,101943,,101943,10043,111986
2018,793,,859119,,859119,,859119
2018,1102,635,168888,0,168888,0,169523
2018,1147,30250,8595,0,8595,0,38845
2018,712,0,255289,0,255289,0,255289
2018,32,0,3932,0,3932,0,3932
2018,361,0,28608,0,28608,0,28608
2018,486,14613,122830,0,122830,0,137443
2018,595,0,73129,0,73129,,73129
2018,433,0,213255,0,213255,0,213255
2018,1058,0,0,0,0,0,0
2018,261,117780,80488,0,80488,0,198268
2018,730,,15291,,15291,191404,206695
2018,577,,20345,,20345,127549,147894
2018,788,,2585420,,2585420,,2585420
2018,865,0,180978,0,180978,0,180978
2018,979,0,133626,0,133626,0,133626
2018,998,0,10291,0,10291,0,10291
2018,1072,0,5964,0,5964,0,5964
2018,221,0,31026,0,31026,0,31026
2018,506,4774,335179,0,335179,0,339953
2018,727,28744,303673,0,303673,0,332417
2018,355,4852,197089,0,197089,0,201941
2018,487,0,397508,0,397508,0,397508
2018,938,1806932,1806931,157632,1649299,152960,3766823
2018,886,0,46055,0,46055,0,46055
2018,835,0,24538,0,24538,0,24538
2018,999,0,15750,0,15750,0,15750
2018,798,288400,5106245,0,5106245,0,5394645
2018,504,1091490,1564371,0,1564371,0,2655861
2018,247,2000,420000,0,420000,0,422000
2018,216,11576,403420,0,403420,0,414996
2018,654,47113,606184,0,606184,0,653297
2018,65,0,28112,0,28112,0,28112
2018,472,9258,434745,0,434745,0,444003
2018,427,0,18495,0,18495,0,18495
2018,491,34431,182968,0,182968,0,217399
2018,551,868,95658,0,95658,0,96526
2018,106,0,68679,0,68679,0,68679
2018,819,0,74302,0,74302,0,74302
2018,836,0,3000,0,3000,0,3000
2018,915,0,150230,0,150230,0,150230
2018,942,0,10500,0,10500,0,10500
2018,1140,0,967205,0,967205,0,967205
2018,748,2242,4881567,0,4881567,0,4883809
2018,198,0,81223,0,81223,0,81223
2018,871,0,864196,0,864196,0,864196
2018,948,0,785173,0,785173,0,785173
2018,1051,0,413,0,413,0,413
2018,1083,2742,1072,0,1072,0,3814
2018,1096,0,8296,0,8296,0,8296
2018,679,59766,923217,0,923217,0,982983
2018,176,20824,264652,0,264652,0,285476
2018,537,0,46161,0,46161,0,46161
2018,608,0,0,0,0,0,0
2018,596,0,0,0,0,0,0
2018,749,0,136684878,0,136684878,0,136684878
2018,758,0,9766853,0,9766853,0,9766853
2018,1104,0,9001390,0,9001390,0,9001390
2018,567,0,917822,0,917822,0,917822
2018,677,0,8207019,0,8207019,0,8207019
2018,670,0,3389410,0,3389410,0,3389410
2018,588,0,4164598,0,4164598,0,4164598
2018,753,0,13721049,0,13721049,0,13721049
2018,887,0,1149939,0,1149939,0,1149939
2018,245,54269,671127,0,671127,0,725396
2018,603,402,8059869,0,8059869,0,8060271
2018,426,39932,404689,0,404689,0,444621
2018,232,0,484037,0,484037,0,484037
2018,288,1839,506682,0,506682,10470,518991
2018,246,31561,2263989,,2263989,0,2295550
2018,284,17899,1095059,0,1095059,0,1112958
2018,18,6413010,0,0,0,0,6413010
2018,356,0,382314,0,382314,0,382314
2018,401,50284,824422,0,824422,0,874706
2018,733,457011,19799701,0,19799701,0,20256712
2018,243,61450,2887126,1816800,1070326,0,2948576
2018,380,0,1246211,0,1246211,0,1246211
2018,716,0,492710,0,492710,0,492710
2018,534,2874,1519246,0,1519246,0,1522120
2018,185,196,12229,0,12229,0,12425
2018,258,33661,730997,0,730997,0,764658
2018,505,0,128350,0,128350,0,128350
2018,268,0,4620380,0,4620380,0,4620380
2018,602,2954,6168079,0,6168079,0,6171033
2018,254,36565,567969,0,567969,0,604534
2018,705,43309,5299571,2083853,3215718,0,5342880
2018,133,0,344124,0,344124,0,344124
2018,33,0,0,0,0,0,0
2018,143,269580,402982,0,402982,0,672562
2018,36,0,973915,0,973915,0,973915
2018,756,0,2166501,0,2166501,0,2166501
2018,662,93105,1177857,0,1177857,0,1270962
2018,192,,607378,,607378,0,607378
2018,382,4612,340417,0,340417,0,345029
2018,322,7773,9027520,755783,8271737,0,9035293
2018,478,0,2534547,0,2534547,0,2534547
2018,352,2299,1523959,0,1523959,0,1526258
2018,628,0,3463060,0,3463060,0,3463060
2018,495,0,694421,9233,685188,0,694421
2018,845,0,4281668,0,4281668,0,4281668
2018,498,4248,1315643,0,1315643,0,1319891
2018,314,,777529,0,777529,0,777529
2018,720,,269056,0,269056,0,269056
2018,721,0,2737226,0,2737226,0,2737226
2018,485,0,36438,0,36438,810,37248
2018,273,0,1729014,0,1729014,0,1729014
2018,846,4167,2427355,0,2427355,0,2431522
2018,113,71350,350392,0,350392,0,421742
2018,619,26754,686598,0,686598,0,713352
2018,163,8030,167113,0,167113,0,175143
2018,131,0,0,0,0,3125,3125
2018,375,22084,85472,0,85472,0,107556
2018,1090,601103,25751985,0,25751985,0,26353088
2018,764,0,1109397,0,1109397,0,1109397
2018,14,3094,194393,0,194393,0,197487
2018,657,0,257824,0,257824,0,257824
2018,362,16555,422766,,422766,6754,446075
2018,989,0,142563,0,142563,0,142563
2018,990,0,137238,0,137238,0,137238
2018,680,0,3026956,0,3026956,0,3026956
2018,411,0,2878204,0,2878204,0,2878204
2018,241,2095000,1190000,0,1190000,0,3285000
2018,558,0,1917580,0,1917580,0,1917580
2018,167,0,0,0,0,0,0
2018,248,4833815,42143679,1830749,40312930,162638,47140132
2018,224,86509,5643627,0,5643627,0,5730136
2018,591,267718,3280600,0,3280600,0,3548318
2018,586,0,3356431,0,3356431,0,3356431
2018,453,0,403190,139429,263761,0,403190
2018,145,0,0,0,0,0,0
2018,511,0,0,0,0,2102013,2102013
2018,530,0,1640165,0,1640165,0,1640165
2018,6,2095000,1190000,0,1190000,0,3285000
2018,161,0,46911,0,46911,0,46911
2018,623,6830,2964914,0,2964914,0,2971744
2018,349,58318,2313044,32790,2280254,0,2371362
2018,875,0,774139,0,774139,0,774139
2018,946,31394,253383,0,253383,0,284777
