año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_centro,otras_Asistenciales_fuera,otros_Asis_texto,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_centro,otros_NoAsistenciales_fuera,otros_NoAsis_texto,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2019,722,0,0,0,0,0,0,0,1,1,0,1,1,0,1,"Otros",1,1,1,1,1,0,0,1,0,"Otros",0,1,1
2019,1126,1,1,0,1,1,0,0,1,1,0,0,1,0,1,"Otros",1,0,1,1,1,1,1,1,0,"Otros",0,0,0
2019,1146,0,1,0,1,1,0,1,1,0,0,1,1,0,1,"Otros",1,1,1,1,0,0,0,0,1,"Otros",1,0,0
2019,286,1,0,0,0,1,1,0,0,0,0,0,0,0,1,"Otros",1,0,0,0,0,0,1,0,0,,0,0,0
2019,75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,0,0
2019,823,0,0,0,0,0,0,1,1,0,1,0,0,1,0,"Otros",1,0,1,1,1,0,1,1,1,"Otros",0,0,1
2019,1015,0,0,1,1,0,0,0,1,1,0,0,1,1,0,"Otros",1,1,1,1,1,0,1,1,0,"Otros",1,1,1
2019,704,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Otros",1,0,1,1,1,0,1,0,1,"Otros",0,1,1
2019,1114,0,1,0,0,0,0,0,1,1,0,1,0,0,1,"Otros",0,0,1,1,1,1,1,0,1,"Otros",0,1,1
2019,686,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"Otros",1,0,1,1,1,0,1,0,0,"Otros",1,1,0
2019,1013,0,0,0,1,0,0,0,1,1,0,1,1,1,1,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,0,0
2019,889,0,0,1,0,0,0,1,1,0,0,1,1,0,1,"Otros",0,0,1,1,1,0,1,1,0,"Otros",0,1,1
2019,561,0,0,0,0,0,0,1,1,0,0,1,0,0,1,"Otros",1,0,1,0,1,0,1,0,0,"0",0,0,0
2019,578,1,1,0,0,1,0,0,1,0,0,0,0,1,0,"Otros",0,0,0,1,0,1,1,0,1,"Otros",0,0,0
2019,939,0,0,0,0,0,0,0,1,1,0,0,0,0,1,"Otros",0,0,1,1,1,0,1,0,1,"Otros",0,1,1
2019,1152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Otros",0,0,1,0,1,1,0,0,0,,0,0,0
2019,782,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Otros",1,1,1,1,1,0,0,1,0,"Otros",0,0,0
2019,1104,0,0,0,1,0,0,0,1,1,0,0,1,0,0,"Otros",1,0,1,1,1,0,1,1,1,"Otros",0,1,0
2019,721,0,0,0,0,0,0,0,1,1,0,1,1,1,0,"Otros",1,0,1,1,1,0,0,1,1,"Otros",0,0,0
2019,640,0,0,0,0,0,0,1,0,0,0,1,0,1,0,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,0,0
2019,748,0,1,0,0,0,0,0,1,1,0,1,0,0,1,"Otros",0,0,1,1,1,1,1,1,1,"Otros",0,1,0
2019,454,1,0,0,0,1,0,0,0,0,0,0,0,1,0,"Otros",1,1,1,1,1,0,0,1,1,"Otros",0,0,0
2019,116,0,0,0,1,0,1,0,1,0,0,1,0,1,0,"Otros",1,0,1,0,1,0,1,0,1,"Otros",1,0,0
2019,753,0,0,0,0,0,0,0,1,1,0,1,1,0,1,"Otros",0,0,1,1,1,0,1,1,1,"Otros",0,1,1
2019,695,0,0,0,0,0,0,0,1,1,0,1,0,0,1,"Otros",0,0,1,1,1,0,0,1,1,"Otros",0,1,1
2019,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Otros",1,0,1,1,1,0,1,1,0,"Otros",1,0,0
2019,439,1,0,0,0,0,0,0,1,0,1,0,0,1,0,"Otros",0,0,1,1,1,0,1,0,1,"Otros",0,0,1
2019,570,1,0,0,0,0,0,0,1,0,1,0,0,1,0,"Otros",0,0,1,1,1,0,1,0,1,"Otros",0,0,1
2019,618,1,1,0,1,1,1,0,0,1,0,0,0,0,0,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,1,1
2019,699,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"Otros",1,0,1,1,1,0,0,1,0,"Otros",0,1,0
2019,749,0,0,0,0,0,0,0,1,1,0,0,1,0,1,"Otros",0,0,1,1,1,0,1,1,0,"Otros",0,1,1
2019,954,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Otros",1,0,1,1,1,0,1,0,1,"Otros",0,0,0
2019,95,0,1,0,1,0,1,0,0,0,0,1,0,1,0,"Otros",1,1,1,1,0,0,1,1,0,"Otros",1,0,0
2019,1119,0,0,0,1,0,1,0,1,1,0,1,0,1,0,"Otros",1,1,1,1,0,0,0,1,0,"Otros",1,0,0
2019,818,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Otros",1,0,1,1,0,0,1,1,0,"Otros",0,0,0
2019,361,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Otros",0,0,1,0,1,0,1,1,1,"Otros",0,0,0
2019,1090,0,1,1,0,1,0,0,1,0,0,1,0,0,1,"Otros",1,0,1,1,0,0,0,0,1,"Otros",0,0,0
2019,764,0,0,0,0,0,0,0,1,1,0,1,1,0,1,"Otros",1,0,1,1,1,0,0,1,1,"Otros",0,0,1
2019,680,0,1,0,0,0,0,0,0,1,0,1,1,0,0,"Otros",1,0,1,1,1,0,1,0,0,"Otros",0,1,1
2019,591,0,1,0,0,0,0,0,0,1,0,1,1,1,1,"Otros",1,0,1,1,1,0,1,1,1,"Otros",0,1,1
2019,472,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Otros",0,0,1,0,0,0,0,0,0,"Otros",0,0,0
2019,937,1,1,1,1,1,1,0,1,1,0,0,0,0,0,"Otros",1,0,0,0,0,0,1,0,0,"Otros",0,1,0
2019,876,0,1,0,1,1,0,0,0,1,0,1,1,0,1,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,1,1
2019,674,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,0,0
2019,99,0,0,0,0,0,0,1,1,0,0,1,0,1,0,"Otros",0,0,1,1,0,1,1,0,1,"Otros",0,1,0
2019,617,0,1,0,0,0,0,0,1,0,0,0,0,1,0,"Otros",1,0,1,0,1,0,1,1,0,"Otros",0,0,0
2019,495,0,1,0,0,0,0,1,0,0,0,0,0,0,1,"Otros",0,0,1,1,1,0,1,0,1,"Otros",0,0,1
2019,949,0,0,0,0,0,0,0,1,1,0,0,1,0,1,"Otros",1,0,1,1,1,0,1,1,1,"Otros",0,1,0
2019,734,1,1,1,1,1,1,0,1,1,0,1,0,1,1,"Otros",1,0,0,1,0,1,1,1,1,"Otros",1,1,0
2019,447,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Otros",0,0,0,0,0,1,1,0,1,"Otros",0,0,0
2019,628,0,1,0,0,0,0,0,1,1,0,0,0,0,1,"Otros",1,0,1,1,1,0,1,1,1,"Otros",0,1,0
2019,871,0,1,0,0,1,0,1,1,0,0,1,0,1,1,"Otros",1,1,1,1,1,0,1,1,1,"Otros",0,1,0
2019,511,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,1,0
2019,538,0,0,0,0,0,0,0,0,1,0,0,0,1,1,"Otros",1,0,1,1,1,0,1,1,0,"Otros",0,1,0
2019,435,1,1,0,1,1,1,1,0,0,0,0,0,0,0,"Otros",0,0,1,1,1,1,1,0,0,"Otros",0,0,1
2019,803,0,0,0,0,0,0,0,1,1,0,1,1,0,1,"Otros",0,0,1,1,1,1,0,1,0,"Otros",1,1,0
2019,182,1,1,0,0,1,0,0,0,0,0,0,0,1,0,"Otros",0,0,0,0,1,0,1,1,0,"Otros",0,0,0
2019,288,0,1,0,1,1,1,1,0,0,0,0,0,0,1,"Otros",1,0,0,0,0,0,1,0,1,"Otros",0,0,0
2019,247,0,1,0,1,1,1,1,0,0,0,0,0,1,0,"Otros",1,0,1,1,0,0,1,0,1,"Otros",0,0,0
2019,498,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Otros",1,0,1,1,1,0,1,0,1,"Otros",0,0,0
2019,1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",1,0,1,1,0,0,0,0,0,"Otros",0,1,1
2019,401,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Otros",1,0,1,1,1,0,1,1,1,"Otros",0,0,0
2019,758,0,0,0,0,0,0,1,0,1,0,1,1,1,0,"Otros",1,0,1,1,1,0,1,0,0,"Otros",0,0,0
2019,756,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Otros",1,1,1,1,1,0,0,1,0,"Otros",0,0,0
2019,771,0,0,0,0,0,0,0,1,1,0,1,0,0,1,"Otros",0,0,1,1,1,0,0,0,1,"Otros",0,1,1
2019,411,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"Otros",0,1,0,1,1,0,0,1,0,,1,0,0
2019,306,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"Otros",1,1,1,1,0,0,0,0,0,,0,0,0
