NCODI,partoVaginal,cesareas,rNacVivos,vivos_menor2500,exitusMaternal
113,0,0,0,0,0
619,0,0,0,0,0
163,0,0,0,0,0
131,0,0,0,0,0
375,0,0,0,0,0
1090,2025,242,2301,183,0
764,1410,466,1919,188,0
14,185,163,350,0,0
657,269,103,373,9,0
362,3,7,10,0,0
989,235,64,303,16,0
990,285,121,408,18,0
680,1700,458,2189,212,0
411,370,321,702,34,0
241,47,100,147,0,0
558,664,267,939,46,0
248,0,0,0,0,0
224,8,6,14,0,0
591,879,291,1210,168,0
586,961,246,1228,128,0
453,0,0,0,0,0
145,0,0,0,0,0
511,723,279,1021,95,0
530,1005,263,1268,55,0
6,92,163,255,0,0
161,0,0,0,0,0
623,740,250,1011,94,0
349,0,0,0,0,0
875,0,0,0,0,0
946,85,106,191,6,0
1023,924,213,1148,85,0
1054,762,265,1027,52,0
1057,0,0,0,0,0
1031,0,0,0,0,0
1032,1162,246,1425,92,0
1064,113,125,238,17,0
226,296,151,447,16,0
687,760,227,1009,50,0
745,2154,604,2846,284,0
109,355,188,549,0,0
808,2167,426,2602,147,0
971,0,0,0,0,0
128,0,0,0,0,0
919,575,171,757,54,0
1150,0,0,0,0,0
725,1577,486,2078,113,0
3,0,0,0,0,0
306,0,0,0,0,0
15,0,0,0,0,0
264,203,136,339,9,0
867,0,0,0,0,0
910,369,185,553,22,1
1053,584,314,901,46,0
1055,995,317,1326,98,0
1081,0,0,0,0,0
1115,0,0,0,0,0
529,0,0,0,0,0
345,0,0,0,0,0
515,0,0,0,0,0
174,0,0,0,0,0
523,0,0,0,0,0
697,627,269,627,46,0
239,0,0,0,0,0
287,423,122,423,122,0
377,0,0,0,0,0
692,998,167,1187,50,0
435,95,60,155,11,0
423,42,35,79,3,0
351,0,0,0,0,0
810,19,8,27,0,0
830,768,146,915,0,0
892,1665,268,1968,88,0
921,364,318,687,29,0
991,46,10,56,0,0
992,718,141,861,48,0
993,399,103,505,22,0
1070,1325,416,1783,217,0
1095,0,0,0,0,0
1094,0,0,0,0,0
1124,0,0,0,0,0
473,2205,830,3157,395,0
663,1090,309,1413,29,0
552,0,0,0,0,0
772,0,0,0,0,0
568,0,0,0,0,0
