Año,NCODI,pacienteTot_med,sesionTot_med,pacienteTot_psiquia,sesionTot_psiquia,pacienteTot_geria,sesionTot_geria
2019,113,0,0,541,11148,0,0
2019,619,368,653,0,0,0,0
2019,163,0,0,0,0,0,0
2019,131,0,0,0,0,0,0
2019,375,0,0,0,0,0,0
2019,1090,15082,55543,0,0,0,0
2019,764,2604,14723,259,16741,71,150
2019,14,606,721,0,0,0,0
2019,657,540,4009,0,0,0,0
2019,362,0,0,0,0,0,0
2019,989,357,1578,0,0,0,0
2019,990,331,2779,0,0,0,0
2019,680,38478,58604,0,0,0,0
2019,411,268,2076,0,0,0,0
2019,241,183,818,0,0,0,0
2019,558,4726,43772,0,0,0,0
2019,248,501,1242,0,0,0,0
2019,224,0,0,0,0,0,0
2019,591,3933,35755,77,2975,0,0
2019,586,18033,57242,675,2254,0,0
2019,453,336,2339,0,0,0,0
2019,145,0,0,0,0,0,0
2019,511,19663,21289,0,0,0,0
2019,530,4518,32425,0,0,0,0
2019,6,0,0,0,0,0,0
2019,161,0,0,0,0,0,0
2019,623,2810,12643,0,0,0,0
2019,349,0,0,0,0,0,0
2019,875,382,1018,0,0,0,0
2019,946,0,0,0,0,0,0
2019,1023,5906,39863,0,0,0,0
2019,1054,1580,10042,0,0,0,0
2019,1057,0,0,0,0,0,0
2019,1031,61,5302,0,0,0,0
2019,1032,5838,27201,0,0,0,0
2019,1064,0,0,0,0,0,0
2019,226,0,0,0,0,0,0
2019,687,744,5955,22,1724,,
2019,745,5327,42619,1397,38134,,
2019,109,0,0,0,0,0,0
2019,808,1623,12986,65,8432,,
2019,971,423,3386,0,0,,
2019,128,45,89,0,0,0,0
2019,919,1239,12731,201,1461,0,0
2019,1150,0,0,0,0,0,0
2019,725,3300,16989,0,0,0,0
2019,3,0,0,0,0,0,0
2019,306,0,0,0,0,0,0
2019,15,0,0,0,0,0,0
2019,264,0,0,0,0,0,0
2019,867,0,0,0,0,0,0
2019,910,918,15615,0,0,0,0
2019,1053,861,6673,0,0,0,0
2019,1055,12251,26684,0,0,0,0
2019,1081,0,0,0,0,0,0
2019,1115,0,0,0,0,0,0
2019,529,0,0,0,0,108,6218
2019,345,0,0,0,0,0,0
2019,515,0,0,0,0,0,0
2019,174,0,0,0,0,0,0
2019,523,0,0,0,0,194,6514
2019,697,709,1984,0,0,0,0
2019,239,158,229,0,0,0,0
2019,287,0,0,0,0,38,10169
2019,377,0,0,0,0,0,0
2019,692,4669,9542,214,2655,0,0
2019,435,0,0,0,0,0,0
2019,423,35,164,0,0,0,0
2019,351,0,0,0,0,0,0
2019,810,0,0,0,0,0,0
2019,830,5558,10306,3,48,0,0
2019,892,3826,31402,102,4377,0,0
2019,921,2223,2223,0,0,0,0
2019,991,92,346,0,0,0,0
2019,992,595,6563,155,2272,0,0
2019,993,8769,21014,22,1648,0,0
2019,1070,4552,16780,127,4506,0,0
2019,1095,0,0,0,0,0,0
2019,1094,0,0,0,0,0,0
2019,1124,0,0,0,0,0,0
2019,473,2184,4302,0,0,0,0
2019,663,9331,39812,111,1431,0,0
2019,552,1441,8128,0,0,0,0
2019,772,30691,117741,250,3650,208,9585
2019,568,0,0,0,0,0,0
2019,398,0,0,0,0,0,0
2019,394,0,0,0,0,0,0
2019,614,0,0,0,0,0,0
2019,235,0,0,0,0,0,0
2019,616,3155,9055,0,0,0,0
2019,267,900,1349,0,0,0,0
2019,565,1563,3606,296,4636,0,0
2019,220,63,573,0,0,0,0
2019,278,0,0,0,0,0,0
2019,107,0,0,86,3913,147,12751
2019,711,22097,81862,1452,15505,0,0
2019,204,0,0,0,0,38,4843
2019,579,0,0,0,0,0,0
2019,348,552,16278,0,0,0,0
2019,766,1032,4561,0,0,0,0
2019,761,0,0,15,1089,134,10801
2019,728,1606,6381,40,1517,0,0
2019,280,489,3861,0,0,0,0
2019,222,77,521,0,0,0,0
2019,276,1079,8190,0,0,0,0
2019,11,495,1261,0,0,0,0
2019,302,0,0,0,0,0,0
2019,682,4378,12130,0,0,0,0
2019,279,398,3444,0,0,0,0
2019,282,1418,6089,0,0,0,0
2019,281,480,7366,0,0,0,0
2019,183,0,0,0,0,0,0
2019,610,0,0,0,0,0,0
2019,116,0,0,0,0,202,4651
2019,115,0,0,0,0,0,0
2019,114,0,0,0,0,0,0
2019,119,0,0,0,0,0,0
2019,770,9316,23611,42,1803,0,0
2019,583,116,8804,0,0,0,0
2019,136,0,0,0,0,274,11852
2019,469,1840,6440,0,0,26,3490
2019,642,282,1998,0,0,138,4986
2019,674,2288,13993,433,12039,0,0
2019,193,0,0,0,0,77,4183
2019,526,6132,24311,0,0,102,4538
2019,698,5667,29743,31,1177,0,0
2019,630,2385,6638,0,0,0,0
2019,124,0,0,0,0,274,8199
2019,364,0,0,0,0,208,8742
2019,439,70,305,0,0,0,0
2019,570,7153,31077,209,5100,0,0
2019,123,0,0,0,0,297,14664
2019,310,0,0,255,12903,167,13311
2019,571,2041,8813,0,0,0,0
2019,296,0,0,0,0,71,5584
2019,566,5845,19557,168,2870,0,0
2019,784,10408,52645,403,8081,767,3299
2019,102,0,0,106,3671,63,5039
2019,379,0,0,452,24677,0,0
2019,639,4342,14988,0,0,0,0
2019,457,1747,1787,0,0,0,0
2019,609,251,2074,1,41,0,0
2019,101,0,0,0,0,78,4041
2019,454,2752,9427,0,0,0,0
2019,318,0,0,60,3627,72,5833
2019,600,3815,13663,0,0,0,0
2019,545,7202,24071,80,4966,164,9884
2019,100,0,0,0,0,161,8351
2019,702,3063,13752,106,5972,0,0
2019,778,1980,9709,122,3844,0,0
2019,341,0,0,0,0,0,0
2019,99,0,0,0,0,543,9290
2019,767,2877,8413,0,0,0,0
2019,359,0,0,0,0,944,6474
2019,98,0,0,0,0,60,5759
2019,132,0,0,0,0,0,0
2019,97,0,0,0,0,75,6824
2019,103,0,0,0,0,936,7183
2019,110,0,0,0,0,0,0
2019,94,0,0,0,0,0,0
2019,91,0,0,0,0,144,5062
2019,664,5829,26458,155,5191,0,0
2019,918,21496,123753,0,0,0,0
2019,92,0,0,0,0,0,0
2019,95,0,0,0,0,33,5021
2019,301,0,0,0,0,0,0
2019,492,2194,5967,0,0,0,0
2019,811,110,394,0,0,0,0
2019,812,7004,69340,0,0,0,0
2019,832,0,0,0,0,0,0
2019,841,0,0,0,0,40,8135
2019,856,0,0,0,0,47,4462
2019,859,0,0,12,1103,0,0
2019,861,0,0,0,0,0,0
2019,880,0,0,0,0,167,9112
2019,883,0,0,65,4421,0,0
2019,884,0,0,0,0,65,6499
2019,877,0,0,0,0,0,0
2019,911,0,0,0,0,329,8316
2019,913,0,0,192,4091,0,0
2019,922,0,0,0,0,0,0
2019,923,0,0,0,0,0,0
2019,924,2453,32599,0,0,0,0
2019,947,0,0,0,0,0,0
2019,951,0,0,0,0,30,2560
2019,1103,0,0,0,0,330,7809
2019,972,0,0,0,0,0,0
2019,973,0,0,0,0,0,0
2019,974,0,0,0,0,0,0
2019,975,0,0,0,0,51,5816
2019,960,0,0,0,0,215,7386
2019,1028,0,0,0,0,0,0
2019,976,0,0,43,2773,170,7512
2019,977,0,0,0,0,0,0
2019,1020,0,0,164,7473,0,0
2019,994,3134,12236,0,0,0,0
2019,995,0,0,0,0,63,6130
2019,1060,0,0,196,11275,0,0
2019,1005,0,0,0,0,0,0
2019,1061,0,0,0,0,0,0
2019,1062,0,0,0,0,0,0
2019,1006,0,0,90,4738,0,0
2019,1088,0,0,0,0,0,0
2019,1089,91,518,0,0,0,0
2019,1076,0,0,0,0,0,0
2019,1078,0,0,0,0,0,0
2019,1033,8621,42666,0,0,0,0
2019,1035,0,0,0,0,0,0
2019,1037,0,0,171,6582,0,0
2019,1039,0,0,65,4857,0,0
2019,1067,0,0,0,0,110,11814
2019,1065,0,0,0,0,0,0
2019,1066,175,1447,0,0,0,0
2019,1100,0,0,0,0,215,5844
2019,1105,0,0,0,0,0,0
2019,1107,0,0,0,0,0,0
2019,1111,0,0,34,1258,0,0
2019,1121,0,0,0,0,0,0
2019,1119,0,0,0,0,0,0
2019,207,24,134,0,0,0,0
2019,431,52,52,0,0,0,0
2019,387,689,3194,0,0,0,0
2019,179,0,0,0,0,0,0
2019,606,4249,5467,0,0,0,0
2019,925,4391,39523,398,15544,0,0
2019,541,146,1745,0,0,0,0
2019,797,516,2097,0,0,0,0
2019,627,3926,5962,0,0,0,0
2019,173,0,0,11,2131,0,0
2019,636,1490,12644,0,0,190,4788
2019,205,0,0,0,0,0,0
2019,814,0,0,0,0,0,0
2019,881,70,1200,0,0,0,0
2019,771,2293,18344,0,0,,
2019,533,377,426,0,0,0,0
2019,447,142,632,0,0,0,0
2019,815,0,0,0,0,0,0
2019,801,1271,10166,19,1216,,
2019,800,0,0,0,0,0,0
2019,389,128,165,0,0,0,0
2019,695,2552,20414,58,1532,,
2019,1157,0,0,0,0,,
2019,816,273,2095,0,0,0,0
2019,833,2609,3850,0,0,0,0
2019,870,381,2451,0,0,0,0
2019,927,57,148,0,0,0,0
2019,961,1865,14916,239,2482,,
2019,962,0,0,0,0,0,0
2019,1079,0,0,0,0,0,0
2019,1101,802,964,0,0,0,0
