Año,NCODI,pacienteTot_hospDom,visitaTot_hospDom
2019,113,0,0
2019,619,0,0
2019,163,0,0
2019,131,0,0
2019,375,0,0
2019,1090,1035,12555
2019,764,0,0
2019,14,0,0
2019,657,0,0
2019,362,0,0
2019,989,0,0
2019,990,0,0
2019,680,2345,26894
2019,411,0,0
2019,241,0,0
2019,558,1402,11809
2019,248,0,0
2019,224,0,0
2019,591,1205,13513
2019,586,3978,14482
2019,453,0,0
2019,145,0,0
2019,511,2437,12157
2019,530,720,7397
2019,6,0,0
2019,161,0,0
2019,623,2728,16530
2019,349,0,0
2019,875,0,0
2019,946,0,0
2019,1023,1073,10215
2019,1054,1031,12906
2019,1057,0,0
2019,1031,0,0
2019,1032,1752,10505
2019,1064,0,0
2019,226,0,0
2019,687,,
2019,745,,
2019,109,0,0
2019,808,,
2019,971,,
2019,128,0,0
2019,919,134,1029
2019,1150,0,0
2019,725,0,0
2019,3,0,0
2019,306,0,0
2019,15,0,0
2019,264,0,0
2019,867,0,0
2019,910,0,0
2019,1053,0,0
2019,1055,0,0
2019,1081,0,0
2019,1115,0,0
2019,529,0,0
2019,345,0,0
2019,515,0,0
2019,174,0,0
2019,523,0,0
2019,697,0,0
2019,239,0,0
2019,287,0,0
2019,377,0,0
2019,692,402,7009
2019,435,0,0
2019,423,0,0
2019,351,0,0
2019,810,0,0
2019,830,152,1260
2019,892,0,0
2019,921,0,0
2019,991,0,0
2019,992,274,2285
2019,993,0,0
2019,1070,785,8754
2019,1095,0,0
2019,1094,0,0
2019,1124,0,0
2019,473,0,0
2019,663,414,587
2019,552,0,0
2019,772,1171,14052
2019,568,0,0
2019,398,0,0
2019,394,0,0
2019,614,0,0
2019,235,0,0
2019,616,991,10008
2019,267,0,0
2019,565,0,0
2019,220,0,0
2019,278,0,0
2019,107,820,7237
2019,711,0,0
2019,204,0,0
2019,579,0,0
2019,348,0,0
2019,766,0,0
2019,761,298,1832
2019,728,0,0
2019,280,0,0
2019,222,0,0
2019,276,0,0
2019,11,0,0
2019,302,0,0
2019,682,0,0
2019,279,0,0
2019,282,0,0
2019,281,384,8698
2019,183,0,0
2019,610,0,0
2019,116,0,0
2019,115,0,0
2019,114,0,0
2019,119,0,0
2019,770,851,13076
2019,583,142,157
2019,136,252,555
2019,469,71,1368
2019,642,794,9567
2019,674,385,1297
2019,193,0,0
2019,526,331,4247
2019,698,725,11937
2019,630,0,0
2019,124,0,0
2019,364,0,0
2019,439,0,0
2019,570,612,7727
2019,123,0,0
2019,310,493,7598
2019,571,199,3873
2019,296,0,0
2019,566,276,2630
2019,784,999,14522
2019,102,0,0
2019,379,0,0
2019,639,629,5387
2019,457,83,83
2019,609,0,0
2019,101,0,0
2019,454,0,0
2019,318,0,0
2019,600,535,2889
2019,545,798,4332
2019,100,0,0
2019,702,720,7085
2019,778,547,2376
2019,341,0,0
2019,99,747,5783
2019,767,534,3305
2019,359,0,0
2019,98,0,0
2019,132,0,0
2019,97,0,0
2019,103,0,0
2019,110,0,0
2019,94,0,0
2019,91,0,0
2019,664,609,8456
2019,918,831,12935
2019,92,0,0
2019,95,0,0
2019,301,0,0
2019,492,0,0
2019,811,0,0
2019,812,0,0
2019,832,0,0
2019,841,0,0
2019,856,0,0
2019,859,0,0
2019,861,0,0
2019,880,0,0
2019,883,0,0
2019,884,0,0
2019,877,0,0
2019,911,724,6399
2019,913,0,0
2019,922,0,0
2019,923,0,0
2019,924,0,0
2019,947,0,0
2019,951,0,0
2019,1103,0,0
2019,972,0,0
2019,973,0,0
2019,974,0,0
2019,975,0,0
2019,960,128,1925
2019,1028,0,0
2019,976,195,237
2019,977,0,0
2019,1020,0,0
2019,994,0,0
2019,995,0,0
2019,1060,0,0
2019,1005,0,0
2019,1061,0,0
2019,1062,0,0
2019,1006,0,0
2019,1088,0,0
2019,1089,0,0
2019,1076,0,0
2019,1078,0,0
2019,1033,697,7608
2019,1035,0,0
2019,1037,0,0
2019,1039,0,0
2019,1067,0,0
2019,1065,0,0
2019,1066,0,0
2019,1100,0,0
2019,1105,0,0
2019,1107,0,0
2019,1111,0,0
2019,1121,0,0
2019,1119,0,0
2019,207,187,274
2019,431,0,0
2019,387,0,0
2019,179,0,0
2019,606,0,0
2019,925,1007,17174
2019,541,0,0
2019,797,0,0
2019,627,0,0
2019,173,0,0
2019,636,0,0
2019,205,0,0
2019,814,0,0
2019,881,0,0
2019,771,,
2019,533,0,0
2019,447,0,0
2019,815,0,0
2019,801,0,0
2019,800,0,0
2019,389,0,0
2019,695,,
2019,1157,,
2019,816,0,0
2019,833,0,0
2019,870,0,0
2019,927,0,0
2019,961,,
2019,962,0,0
2019,1079,0,0
2019,1101,0,0
2019,666,1372,11802
2019,392,0,0
2019,790,774,8207
2019,650,270,6737
2019,876,1249,11810
2019,944,0,0
2019,952,0,0
2019,54,0,0
2019,367,0,0
2019,538,0,0
2019,557,0,0
2019,653,0,0
2019,647,0,0
2019,978,58,635
2019,996,0,0
2019,729,,
2019,182,0,0
2019,633,0,0
2019,685,,
2019,683,,
2019,945,,
2019,953,0,0
2019,1022,,
2019,1049,,
2019,1151,0,0
2019,794,1136,16257
2019,415,24,188
2019,592,0,0
2019,497,0,0
2019,726,160,4432
2019,272,0,0
2019,805,702,24161
2019,64,0,0
2019,842,330,4907
2019,843,150,2291
2019,1127,58,4050
2019,1158,0,0
2019,803,0,0
2019,211,0,0
2019,773,0,0
2019,424,0,0
