Año,NCODI,primDiges_hosp,totDiges_hosp,primDigestivo_CEP,totDigestivo_CEP,primCardio_hosp,totCardio_hosp,primCardio_CEP,totCardio_CEP,primDerma_hosp,totDerma_hosp,primDerma_CEP,totDerma_CEP,primNeurolog_hosp,totNeurolog_hosp,primNeurolog_CEP,totNeurolog_CEP,primPsquia_hosp,totPsquia_hosp,primPsquia_CEP,totPsquia_CEP,primRestoMed_hosp,totRestoMed_hosp,primRestoMed_CEP,totRestoMed_CEP,primCirGeneral_hosp,totCirGeneral_hosp,primCirGeneral_CEP,totCirGeneral_CEP,primTrauma_hosp,totTrauma_hosp,primTrauma_CEP,totTrauma_CEP,primGine_hosp,totGine_hosp,primGine_CEP,totGine_CEP,primOftalmo_hosp,totOftalmo_hosp,primOftalmo_CEP,totOftalmo_CEP,primOrl_hosp,totOrl_hosp,primOrl_CEP,totOrl_CEP,primUrolog_hosp,totUrolog_hosp,primUrolog_CEP,totUrolog_CEP,primRestoQuirurg_hosp,totRestoQuirurg_hosp,primRestoQuirurg_CEP,totRestoQuirurg_CEP,primPediatria_hosp,totPediatria_hosp,primPediatria_CEP,totPediatria_CEP,primPreAnest_hosp,totPreAnest_hosp,primPreAnest_CEP,totPreAnest_CEP,primRehabil_hosp,totRehabil_hosp,primRehabil_CEP,totRehabil_CEP,primOtrasConsul_hosp,totOtrasConsul_hosp,primOtrasConsul_CEP,totOtrasConsul_CEP,primTotal_hosp,total_hosp,primTotal_CEP,total_CEP,otrasTexto
2019,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,1852,6557,95835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,125,1853,6557,95835,"Otros"
2019,619,1888,2543,0,0,1420,1730,0,0,4098,5155,0,0,572,652,0,0,288,311,0,0,71,71,0,0,3014,3910,0,0,5504,7225,0,0,6626,10748,0,0,1019,1290,0,0,1839,2475,0,0,2014,3142,0,0,0,0,0,0,892,1134,0,0,3557,3645,0,0,247,272,0,0,0,0,0,0,33049,44303,0,0,"Otros"
2019,163,434,903,0,0,391,755,0,0,1527,2416,0,0,443,677,0,0,156,383,0,0,3435,9692,0,0,181,418,0,0,4456,6574,0,0,0,0,0,0,1484,2740,0,0,1150,2100,0,0,876,4110,0,0,3014,5723,0,0,0,0,0,0,1419,1529,0,0,0,0,0,0,0,0,0,0,18966,38020,0,0,"Otros"
2019,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2019,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,1742,0,0,0,0,0,0,457,2528,0,0,"Otros"
2019,1090,4795,28758,0,0,2593,15973,0,0,871,22576,15048,22218,4823,19574,0,0,1083,14719,0,0,23146,155705,0,0,5940,20466,0,0,16045,58900,433,930,2900,33563,14270,41301,12927,78653,0,0,9944,25154,0,0,5374,32534,0,0,6862,25037,0,0,4815,20953,0,0,27302,34112,0,0,8184,26028,719,1856,3572,30378,0,0,141176,643083,30470,66305,"Otros"
2019,764,2524,10572,0,0,2877,12767,0,0,10585,24464,0,0,5668,18941,0,0,2440,22033,0,0,26706,137585,0,0,4024,13136,0,0,13719,44615,0,0,7966,32950,0,0,15980,60822,0,0,6567,21618,0,0,5315,19924,0,0,10893,32310,0,0,3629,20712,0,0,10753,10753,0,0,9861,23951,0,0,0,0,0,0,139507,507153,0,0,"Otros"
2019,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros"
2019,657,773,2546,0,0,753,1718,0,0,2313,3806,0,0,864,2691,0,0,734,3280,0,0,6057,22616,0,0,1616,4075,0,0,3897,8376,0,0,2306,6417,0,0,4779,10910,0,0,3223,6697,0,0,1154,3670,0,0,145,343,0,0,679,2074,0,0,2210,2359,0,0,2913,7683,0,0,0,0,0,0,34416,89261,0,0,"Otros"
2019,362,575,1981,0,0,801,2622,0,0,3710,7484,0,0,809,2091,0,0,234,602,0,0,1123,8174,0,0,898,3311,0,0,2414,9442,0,0,930,3014,0,0,1892,3006,0,0,1031,1413,0,0,792,2080,0,0,1104,9451,0,0,666,6450,0,0,2622,2622,0,0,0,0,0,0,0,0,0,0,19601,63743,0,0,"Otros"
