Año,NCODI,Urg_altas,Urg_ingresos,Urg_traslados,Urg_exitus,Urg_total
2019,113,0,0,0,0,0
2019,619,19006,479,0,1,19486
2019,163,5859,82,0,0,5941
2019,131,0,0,0,0,0
2019,375,388,0,95,0,483
2019,1090,153176,21042,1814,46,176078
2019,764,140447,17515,555,110,158627
2019,14,21399,462,58,1,21920
2019,657,37422,3443,413,42,41320
2019,362,22883,659,402,0,23944
2019,989,24614,2449,470,19,27552
2019,990,33075,3163,883,26,37147
2019,680,145358,19185,2196,48,166787
2019,411,46818,2593,52,5,49468
2019,241,24437,1985,59,2,26483
2019,558,41669,7674,358,53,49754
2019,248,13209,3171,175,4,16559
2019,224,24938,1281,21,3,26243
2019,591,73237,12845,528,67,86677
2019,586,68535,13969,1490,99,84093
2019,453,301,7,0,0,308
2019,145,0,0,0,0,0
2019,511,71770,11115,662,74,83621
2019,530,72190,10736,431,66,83423
2019,6,30879,1540,51,0,32470
2019,161,0,0,0,0,0
2019,623,78874,13976,737,54,93641
2019,349,659,307,58,0,1024
2019,875,39732,4008,48,0,43788
2019,946,34846,7036,180,9,42071
2019,1023,67876,12058,283,127,80344
2019,1054,50933,9258,313,56,60560
2019,1057,0,0,0,0,0
2019,1031,0,0,0,0,0
2019,1032,81643,9236,240,59,91178
2019,1064,40130,3921,287,0,44338
2019,226,56229,2181,20,0,58430
2019,687,57269,5436,1089,107,63901
2019,745,141637,15692,1212,117,158658
2019,109,45227,3229,9,1,48466
2019,808,164822,9631,1158,99,175710
2019,971,84759,447,3274,5,88485
2019,128,11933,576,0,0,12509
2019,919,35253,9546,326,50,45175
2019,1150,0,0,0,0,0
2019,725,126723,18684,0,76,145483
2019,3,0,0,0,0,0
2019,306,0,0,0,0,0
2019,15,7784,8,15,0,7807
2019,264,32713,2258,114,1,35086
2019,867,11478,0,0,0,11478
2019,910,33349,6599,2636,2069,44653
2019,1053,52671,9997,1015,69,63752
2019,1055,66282,12161,1204,65,79712
2019,1081,0,0,0,0,0
2019,1115,0,0,0,0,0
2019,529,0,0,0,0,0
2019,345,0,0,0,0,0
2019,515,14188,591,0,0,14779
2019,174,0,0,0,0,0
2019,523,0,0,0,0,0
2019,697,89819,6528,150,4,96501
2019,239,35185,3439,174,0,38798
2019,287,52372,5506,121,224,58223
2019,377,0,0,0,0,0
2019,692,51705,6708,69,42,58524
2019,435,29146,1761,94,2,31003
2019,423,8760,1432,0,0,10192
2019,351,29086,3294,210,3,32593
2019,810,11195,1194,0,0,12389
2019,830,70145,8633,633,46,79457
2019,892,93025,12391,438,107,105961
2019,921,89761,7853,175,2,97791
2019,991,16283,213,162,4,16662
2019,992,63376,5890,470,63,69799
2019,993,24071,4036,73,9,28189
2019,1070,137690,19029,638,105,157462
2019,1095,23467,2457,278,1,26203
2019,1094,7250,125,7,0,7382
2019,1124,0,0,0,0,0
2019,473,35291,3656,45,0,38992
2019,663,86658,12132,2697,211,101698
2019,552,3327,10,1,0,3338
2019,772,89292,15261,3314,362,108229
2019,568,5813,237,0,0,6050
2019,398,7438,1241,5,0,8684
2019,394,4691,483,5,0,5179
2019,614,0,0,0,0,0
2019,235,2296,23,0,0,2319
2019,616,48751,1498,2405,4,52658
2019,267,30909,3220,87,0,34216
2019,565,0,0,0,0,0
2019,220,21890,1455,33,0,23378
2019,278,19036,1650,32,0,20718
2019,107,0,0,0,0,0
2019,711,129361,14857,14972,413,159603
2019,204,0,0,0,0,0
2019,579,66187,1304,13,0,67504
2019,348,0,0,0,0,0
2019,766,15800,1442,208,0,17450
2019,761,0,0,0,0,0
2019,728,46303,7997,105,16,54421
2019,280,49313,3129,111,2,52555
2019,222,3272,79,0,0,3351
2019,276,81942,7560,371,0,89873
2019,11,30332,3351,66,1,33750
2019,302,34624,734,48,0,35406
2019,682,19021,2162,200,7,21390
2019,279,94008,5939,344,2,100293
2019,282,83185,6350,341,1,89877
2019,281,44988,6746,77,32,51843
2019,183,1398,13,0,0,1411
2019,610,14209,0,0,0,14209
2019,116,0,0,0,0,0
2019,115,0,0,0,0,0
2019,114,0,0,0,0,0
2019,119,35,16,0,0,51
2019,770,129250,14367,2574,161,146352
2019,583,51380,2558,765,15,54718
2019,136,0,0,0,0,0
2019,469,28535,2343,154,5,31037
2019,642,44519,8078,869,39,53505
2019,674,135204,9723,200,5,145132
2019,193,0,0,0,0,0
2019,526,102520,11224,873,48,114665
2019,698,96577,15123,4089,254,116043
2019,630,62657,3501,831,24,67013
2019,124,0,0,0,0,0
2019,364,0,0,0,0,0
2019,439,32784,1374,432,0,34590
2019,570,97053,13131,2855,12,113051
2019,123,0,0,0,0,0
2019,310,2246,1100,0,0,3346
2019,571,50292,4856,1181,46,56375
2019,296,5658,0,0,0,5658
2019,566,68545,4952,727,40,74264
2019,784,127659,15001,3410,373,146443
2019,102,0,0,0,0,0
2019,379,0,0,0,0,0
2019,639,75027,7821,1228,11,84087
2019,457,27657,1457,334,17,29465
2019,609,126094,10060,111,2,136267
2019,101,0,0,0,0,0
2019,454,49192,7462,256,13,56923
2019,318,0,0,0,0,0
2019,600,58511,5747,417,1,64676
2019,545,108524,10689,512,102,119827
2019,100,0,0,0,0,0
2019,702,98334,10507,0,77,108918
2019,778,51493,9538,586,29,61646
2019,341,6397,117,50,0,6564
2019,99,0,0,0,0,0
2019,767,45685,4647,1637,41,52010
2019,359,40457,48,2237,2,42744
2019,98,0,0,0,0,0
2019,132,0,0,0,0,0
2019,97,0,0,0,0,0
2019,103,0,0,0,0,0
2019,110,0,0,0,0,0
2019,94,0,0,0,0,0
2019,91,0,0,0,0,0
2019,664,105087,11304,1220,123,117734
2019,918,176339,28967,4458,322,210086
2019,92,0,0,0,0,0
2019,95,0,0,0,0,0
2019,301,17514,0,68,0,17582
2019,492,45849,4265,1009,23,51146
2019,811,13555,1210,0,5,14770
2019,812,0,0,0,0,0
2019,832,0,0,0,0,0
2019,841,0,0,0,0,0
2019,856,0,0,0,0,0
2019,859,0,0,0,0,0
2019,861,0,0,0,0,0
2019,880,0,0,0,0,0
2019,883,0,0,0,0,0
2019,884,0,0,0,0,0
2019,877,0,0,0,0,0
2019,911,0,0,0,0,0
2019,913,2076,335,0,0,2411
2019,922,43194,2669,46,0,45909
2019,923,0,0,0,0,0
2019,924,0,0,0,0,0
2019,947,0,0,0,0,0
2019,951,0,0,0,0,0
2019,1103,0,0,0,0,0
2019,972,0,0,0,0,0
