Año,NCODI,biopsias_hosp,biopsias_CEP,necropsias_hosp,angio_hosp,angio_CEP,densiometrias_hosp,densiometrias_CEP,gamma_hosp,gamma_CEP,mamo_hosp,mamo_CEP,pet_hosp,pet_CEP,resonancia_hosp,resonancia_CEP,rx_hosp,rx_CEP,spect_hosp,spect_CEP,tac_hosp,tac_CEP,Colonosopia,Broncoscopia,ERCP
2019,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,619,0,0,0,0,0,0,0,0,0,1245,0,0,0,3957,0,9309,0,0,0,1584,0,0,0,0
2019,163,1400,0,0,0,0,255,0,0,0,466,0,0,0,4836,0,4526,0,0,0,1399,0,0,0,0
2019,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175,0,0,0,0,0,0,0,0
2019,1090,27036,4523,178,20,0,2408,0,0,0,4197,0,2183,0,9,0,149734,49656,266,0,29599,0,8861,683,0
2019,764,20926,0,23,78,0,2755,0,0,0,3097,0,0,0,11681,0,193078,0,0,0,29347,0,2782,740,428
2019,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
2019,657,4949,0,1,0,0,0,0,0,0,1283,0,0,0,5876,0,42886,0,0,0,6204,0,1210,65,0
2019,362,1516,0,0,0,0,0,0,1001,0,12472,0,0,0,4848,0,11612,0,0,0,1737,0,1146,0,0
2019,989,0,0,0,0,0,0,0,0,0,1122,0,0,0,0,0,31962,0,0,0,3017,0,1187,56,0
2019,990,0,0,0,0,0,0,0,0,0,882,0,0,0,0,0,43526,0,0,0,3967,0,1041,102,0
2019,680,28598,0,21,2672,0,8321,0,0,0,7085,0,0,0,8512,0,163480,23027,0,0,29696,0,4095,713,398
2019,411,8420,0,0,379,0,6558,0,0,0,6020,0,0,0,8756,0,32799,0,0,0,5908,0,1451,36,20
2019,241,3362,0,0,0,0,0,0,0,0,2,0,0,0,5656,0,17207,0,0,0,3433,0,848,13,0
2019,558,11209,0,1,0,0,3165,0,0,0,4109,0,0,0,10100,0,68259,0,0,0,10150,0,1914,182,116
2019,248,0,0,0,319,0,907,0,1265,0,2548,0,582,0,17280,0,34756,0,0,0,8376,0,1026,34,0
2019,224,1381,0,0,0,0,638,0,0,0,1454,0,0,0,2635,0,13537,137,0,0,2329,0,847,0,0
2019,591,17529,0,31,0,0,2791,0,0,0,3213,0,0,0,15439,0,122864,0,0,0,17827,0,2745,365,138
2019,586,22553,0,29,0,0,4180,0,0,0,8734,0,0,0,6859,0,97195,55212,0,0,24193,0,2018,391,133
2019,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17111,0,0,0,3412,0,0,3,0
2019,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,511,14235,0,5,0,0,0,0,0,0,5175,0,0,0,0,0,69165,39377,0,0,16287,0,3735,323,71
2019,530,18896,0,7,0,0,0,0,0,0,2595,0,0,0,0,0,66932,30128,0,0,15836,0,5724,354,108
2019,6,2615,0,0,48,0,2041,0,674,0,3949,0,463,0,5469,0,23555,0,86,0,3737,0,0,0,0
2019,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,623,21878,0,3,0,0,0,5924,0,0,9537,0,4110,0,9205,0,139556,19011,11987,0,21164,0,3408,1647,109
2019,349,1382,0,0,0,0,394,0,0,0,732,0,0,0,0,0,1423,0,0,0,331,0,387,0,0
2019,875,3583,0,0,155,0,1535,0,226,0,2745,0,292,0,6553,0,35340,0,36,0,6711,0,1006,84,5
2019,946,5533,0,0,362,0,1460,0,293,0,2427,0,0,0,8028,0,32521,0,0,0,6752,0,899,24,15
2019,1023,12350,0,12,615,0,3620,0,0,0,4951,0,0,0,7587,0,144135,0,0,0,18789,0,3406,450,114
2019,1054,10265,0,10,1771,0,5509,0,0,0,3361,0,0,0,11949,0,87072,10443,0,0,16267,0,2093,155,45
2019,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1216,0,0,0,180,0,0,0,0
2019,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1032,12097,0,9,443,0,4859,0,0,0,4281,0,4670,0,6195,0,118270,0,1643,0,14256,0,3011,569,210
2019,1064,7739,0,0,164,0,2199,0,0,0,3162,0,0,0,10664,0,31734,0,0,0,5900,0,1714,15,15
2019,226,398,0,0,0,0,2123,0,442,0,2530,209,0,0,9206,0,9413,901,0,0,3095,0,2297,0,0
2019,687,15526,0,1,,,,,,,3532,0,,,0,,153813,0,,,10166,,1547,139,
2019,745,13745,0,5,1018,,2782,,3040,,9555,17313,0,0,6454,,147559,79922,1357,,28594,,6280,418,275
2019,109,6630,0,0,0,0,0,0,0,0,1185,0,0,0,12666,0,33744,0,0,0,5990,0,1543,42,0
2019,808,15863,0,15,0,0,0,0,0,0,15198,0,0,0,9312,0,157693,0,0,0,13058,0,3859,452,141
2019,971,3378,0,0,0,,,,,,690,0,,,,,56549,0,,,1922,,1287,,
2019,128,0,0,0,0,0,573,0,0,0,1311,0,0,0,0,0,19652,0,0,0,0,0,176,0,0
2019,919,13107,0,9,0,0,1118,0,0,0,7855,448,0,0,8249,0,105347,11144,0,0,15938,0,3084,149,80
2019,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,725,23758,0,12,274,0,3793,0,0,0,5479,0,4663,0,17418,0,171272,0,7474,0,27523,0,3916,630,348
2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,15,162,0,0,0,0,0,0,0,0,168,0,0,0,0,0,2917,0,0,0,0,0,0,0,0
2019,264,0,0,0,0,0,0,0,0,0,1274,0,0,0,7680,0,22524,0,0,0,6726,0,991,30,0
2019,867,0,0,0,0,0,427,0,0,0,492,0,0,0,0,0,10957,0,0,0,0,0,278,0,0
2019,910,6146,0,2,0,0,0,0,0,0,2655,0,0,0,3245,0,65941,0,0,0,9120,0,1276,82,0
2019,1053,9450,0,4,0,0,0,0,0,0,6097,0,0,0,4666,0,70435,6068,0,0,12335,0,3601,160,0
2019,1055,15342,0,9,0,0,2740,0,0,0,5868,0,0,0,4276,0,125855,0,0,0,18780,0,2837,444,0
2019,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1115,0,0,0,0,0,579,0,0,0,959,0,0,0,1186,0,7821,0,0,0,1563,0,886,0,0
2019,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,0,0,0,0,0,0,0
2019,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
