Año,NCODI,totHemodina_Paciente,totPaciente_radioInterv,totLitofrag_Paciente,totLitofrag_Sesion,totAceleLineal_Paciente,totAceleLineal_Sesion,totBomCobal_Paciente,totBomCobal_Sesion,totOtraRadio_Paciente,totOtraRadio_Sesion,totFisiot_Paciente,totFisiot_Sesion,totLogop_Paciente,totLogop_Sesion,totTerapOcupa_Paciente,totTerapOcupa_Sesion,totHemodial_Paciente,totHemodial_Sesion,totHemodialDom_Paciente,totHemodialDom_Sesion,totDialPerito_Paciente,totDialPerito_Sesion
2019,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,619,9,0,0,0,0,0,0,0,0,0,1338,25095,0,0,0,0,0,0,0,0,0,0
2019,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,375,0,0,0,0,0,0,0,0,0,0,1774,21291,0,0,0,0,0,0,0,0,0,0
2019,1090,0,2270,317,422,805,13879,0,0,0,0,21450,450467,0,0,0,9140,0,0,248,18312,0,0
2019,764,1521,2453,497,733,879,17091,0,0,75,238,14985,91695,2641,4673,2316,13218,88,13681,0,0,56,20806
2019,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,657,0,453,0,0,0,0,0,0,0,0,3147,34062,0,0,0,0,0,0,0,0,0,0
2019,362,120,0,0,0,0,0,0,0,0,0,1333,14745,0,0,0,0,0,0,0,0,0,0
2019,989,0,279,0,0,0,0,0,0,0,0,1092,16054,177,1931,125,1882,0,0,0,0,0,0
2019,990,0,0,0,0,0,0,0,0,0,0,2482,19938,500,1307,278,2842,0,0,0,0,0,0
2019,680,2385,5581,235,334,0,0,0,0,0,0,6099,282002,0,0,0,0,767,13085,0,0,19,6935
2019,411,11990,344,0,0,0,0,0,0,0,0,1175,24939,12,58,0,0,234,2749,0,0,0,0
2019,241,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,3755,0,0,0,0
2019,558,0,1578,0,0,0,0,0,0,0,0,3490,314106,0,0,0,0,98,12014,5,972,19,7014
2019,248,316,132,0,0,673,778,0,0,148,294,2478,25252,0,0,0,0,502,15926,0,0,0,0
2019,224,0,0,0,0,0,0,0,0,0,0,1116,16692,5,23,0,0,0,0,0,0,0,0
2019,591,922,6710,207,207,999,17264,0,0,0,0,17202,380503,0,0,63,738,214,7332,0,0,29,5765
2019,586,0,133,0,0,0,0,0,0,0,0,14973,452885,0,0,0,0,1287,14596,2,588,13,16032
2019,453,0,0,0,0,0,0,0,0,0,0,5026,125641,90,2700,100,4450,0,0,0,0,0,0
2019,145,0,0,0,0,0,0,0,0,0,0,154,17560,0,0,79,1634,0,0,0,0,0,0
2019,511,0,755,0,0,0,0,0,0,0,0,5697,102565,0,0,0,0,429,4296,0,0,121,121
2019,530,0,0,0,0,0,0,0,0,0,0,8502,278783,0,0,0,0,0,0,0,0,0,0
2019,6,0,0,87,98,0,0,0,0,0,0,1379,41188,0,0,0,0,0,0,0,0,0,0
2019,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,1120,0,0,0,0,0,0
2019,623,1785,0,0,0,917,17823,0,0,92,176,11421,279146,0,0,0,0,0,0,0,0,0,0
2019,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,875,127,0,0,0,502,11670,0,0,0,0,2322,38062,58,1852,65,3546,0,0,0,0,0,0
2019,946,228,353,0,0,0,0,0,0,0,0,2694,37242,0,0,0,0,136,1346,0,0,0,0
2019,1023,633,498,0,0,0,0,0,0,0,0,5743,76659,740,3412,0,0,292,16462,0,0,38,7658
2019,1054,545,1659,0,0,0,0,0,0,0,0,4796,99011,405,2186,0,0,254,13159,0,0,24,573
2019,1057,0,0,0,0,0,0,0,0,0,0,332,10989,194,3917,216,7188,0,0,0,0,0,0
2019,1031,0,0,0,0,0,0,0,0,0,0,128,2860,111,1286,116,2970,0,0,0,0,0,0
2019,1032,667,654,32,38,0,0,0,0,0,0,6640,101997,433,3097,0,0,184,14807,0,0,21,5012
2019,1064,141,236,0,0,769,16231,0,0,0,0,2238,28164,3,17,0,0,0,0,0,0,0,0
2019,226,87,22,224,224,0,0,0,0,0,0,2130,25770,0,0,0,0,7,1195,0,0,0,0
2019,687,0,0,0,0,0,0,0,0,0,0,929,21142,0,0,50,2118,0,0,0,0,0,0
2019,745,1108,1354,0,0,1053,20421,0,0,0,0,2487,50760,0,0,64,1925,190,16297,0,0,0,0
2019,109,70,37,0,0,0,0,0,0,0,0,750,15681,78,630,0,0,0,0,0,0,0,0
2019,808,0,944,0,0,0,0,0,0,0,0,2335,47265,0,0,0,0,91,9638,0,0,0,0
2019,971,0,70,0,0,0,0,0,0,0,0,893,17027,0,0,0,0,0,0,0,0,0,0
2019,128,0,77,3,3,0,0,0,0,0,0,1229,22126,187,6250,0,0,0,0,0,0,0,0
2019,919,0,1382,0,0,0,0,0,0,0,0,63921,196223,0,0,4093,12086,50,7824,1,181,18,6120
2019,1150,0,0,0,0,0,0,0,0,0,0,39,1125,11,254,78,4290,0,0,0,0,0,0
