Año,NCODI,altas_particular,estancias_particular,sesionHdia_particular,consulta_particular,cma_particular,urge_particular,hospDom_particular,altas_AsegPriv,estancias_AsegPriv,sesionHdia_AsegPriv,consulta_AsegPriv,cma_AsegPriv,urge_AsegPriv,hospDom_AsegPriv,altas_sns,estancias_sns,sesionHdia_sns,consulta_sns,cma_sns,urge_sns,hospDom_sns,altas_MutuaFun,estancias_MutuaFun,sesionHdia_MutuaFun,consulta_MutuaFun,cma_MutuaFun,urge_MutuaFun,hospDom_MutuaFun,altas_otrEntiPublica,estancias_otrEntiPublica,sesionHdia_otrEntiPublica,consulta_otrEntiPublica,cma_otrEntiPublica,urge_otrEntiPublica,hospDom_otrEntiPublica,altas_MATEPSS,estancias_MATEPSS,sesionHdia_MATEPSS,consulta_MATEPSS,cma_MATEPSS,urge_MATEPSS,hospDom_MATEPSS,altas_convIntern,estancias_conveInter,sesionHdia_conveInter,consulta_conveInter,cma_conveInter,urge_conveInter,hospDom_conveInter,altas_AccTrafic,estancias_AccTrafic,sesionHdia_AccTrafic,consulta_AccTrafic,cma_AccTrafic,urge_AccTrafic,hospDom_AccTrafic,otroRegimen,altas_otroRegim,estancias_otroRegim,sesionHdia_otroRegim,consulta_otroRegim,cma_otroRegim,urge_otroRegim,hospDom_otroRegim,total_altas,total_estancias,total_sesionHdia,total_consulta,total_cma,total_urgencias,total_hospDom
2019,113,0,0,0,0,0,0,0,0,0,0,13,0,0,0,180,52082,11148,97603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,72,0,0,0,180,52082,11148,97688,0,0,0
2019,619,582,1545,105,0,0,141,0,4455,12765,495,44303,841,18030,0,1072,2500,53,0,0,0,0,1516,1561,0,0,0,0,0,0,0,0,0,0,0,0,232,832,0,0,0,1230,0,0,0,0,0,0,0,0,237,237,0,0,0,85,0,"Otros",0,0,0,0,0,0,0,8094,19440,653,44303,841,19486,0
2019,163,123,653,0,6896,115,16,0,1487,1585,0,26738,309,5886,0,212,666,0,4386,209,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,1822,2904,0,38020,633,5941,0
2019,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,10150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Otros",0,0,0,0,0,0,0,156,10150,0,0,0,0,0
2019,375,0,0,0,0,0,0,0,1,124,0,10,0,0,0,369,18707,0,2506,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,174,0,12,0,0,0,"Otros",0,0,0,0,0,0,0,372,19005,0,2528,0,483,0
2019,1090,0,0,0,0,0,1,0,112,879,46,462,3,881,3,40957,197098,54196,706042,9072,168563,1024,0,0,1,24,0,0,0,0,0,0,0,0,0,0,49,278,1,171,4,1181,2,27,105,8,113,0,337,0,205,996,9,682,7,2245,1,"Otros",293,1314,1282,1894,22,2870,5,41643,200670,55543,709388,9108,176078,1035
2019,764,38,247,0,312,0,291,0,78,507,0,1807,0,1037,0,25554,171215,31606,496228,4221,153647,0,177,1151,8,2931,4,881,0,2,13,0,93,0,27,0,60,390,0,1937,0,1279,0,11,72,0,233,0,138,0,113,735,0,3612,0,1327,0,"Otros",0,0,0,0,0,0,0,26033,174330,31614,507153,4225,158627,0
2019,14,176,202,0,0,80,102,0,2379,6617,721,0,1807,20881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,180,0,0,43,917,0,0,0,0,0,0,0,0,2,3,0,0,0,20,0,"Otros",0,0,0,0,0,0,0,2711,7002,721,0,1930,21920,0
2019,657,0,0,0,0,0,0,0,5,35,0,6,0,54,0,4469,23232,4009,89169,1920,40192,0,18,100,0,6,0,184,0,0,0,0,0,0,0,0,11,31,0,55,0,438,0,5,23,0,25,0,72,0,17,84,0,0,0,380,0,"Otros",0,0,0,0,0,0,0,4525,23505,4009,89261,1920,41320,0
2019,362,208,209,0,7613,28,126,0,1115,2122,0,23079,168,11562,0,2971,3193,0,9374,5,61,0,1503,4338,0,22652,155,11461,0,0,0,0,0,0,0,0,50,51,0,691,0,653,0,0,0,0,0,0,0,0,15,15,0,334,1,81,0,"Otros",265,280,0,0,0,0,0,6127,10208,0,63743,357,23944,0
