Año,NCODI,60_totalCompra,600_producFarma,601_materialSani,601_1_implantes,601_2_restoMateriaSani,606_servContratado,607_trabajoContratado,60X_restoCompras,61_variaExistencias,62_servExteriores,628_sumistro,62X_restoServiExter,64_gastoPersonal,640_sueldos,641_indemnizacion,642_SegSocEmpresa,643_649_OtrGasSocial,68_dotaAmortizacion,69_perdidaDeterioro,6X_restoGasto,tot_compraGasto
2019,113,1546483,355242,187103,0,187103,1092,639989,363057,62,815491,240012,575479,24849740,19068666,12245,5514435,254394,331553,456,11201,27554986
2019,619,7873199,947851,1392734,497690,895044,4159489,706469,666656,14737,2055311,325547,1729764,7734064,5971601,4240,1516632,241591,1326529,355279,355412,19714531
2019,163,5183271,126176,1321572,713339,608233,2940574,504021,290928,2288,984386,111213,873173,2641564,1973410,1667,607110,59377,189900,17967,296285,9315661
2019,131,268249,65140,79637,0,79637,0,8643,114829,24745,537229,0,537229,1896506,1496726,25024,374315,441,3606,0,32427,2762762
2019,375,737567,125145,151585,0,151585,17594,148764,294479,0,185422,51646,133776,7576966,5777542,0,1736952,62472,173352,16536,338,8690181
2019,1090,106585313,46754830,40132133,11522888,28609245,5477767,11764125,2456458,-92494,11299763,3179430,8120333,229229940,178035136,167539,48095556,2931709,7521356,159584,383330,355086792
2019,764,118185511,46899577,39252667,12894195,26358472,18048984,11569198,2415085,0,4868441,2565049,2303392,169602965,135037271,55888,33764166,745640,0,0,0,292656917
2019,14,4410350,2017667,1079480,222391,857089,760830,428814,123559,9525,768079,265150,502929,3462755,2072294,494145,884995,11321,714672,0,616830,9982211
2019,657,11207642,5570059,2818297,558279,2260018,536450,1991446,291390,0,993818,517441,476377,27790704,22869622,9126,4911956,0,523358,0,0,40515522
2019,362,8358313,1053554,2958991,1446044,1512947,2250694,1423796,671278,11750,2351474,193137,2158337,6361333,4746303,0,1593351,21679,415789,0,0,17498659
2019,989,10621425,5414441,2283862,718677,1565185,530269,1955663,437190,7244,1931766,795583,1136183,23912044,19650911,11325,4233404,16404,0,0,0,36472479
2019,990,11907789,6058215,2266660,672948,1593712,586222,2850778,145914,0,2045465,727635,1317830,25098904,20490522,0,4608382,0,0,0,0,39052158
2019,680,156184728,66489135,57911459,18494854,39416605,16945763,12103213,2735158,321538,7213442,2781981,4431461,186589239,147910030,37598972,1080237,0,0,0,43923,350352870
2019,411,22481193,4929923,3251727,278628,2973099,13021929,665220,612394,-22914,3202058,418048,2784010,12999294,9995897,5000,2970497,27900,968761,23058,211402,39862852
2019,241,18593951,1904965,2760202,610300,2149902,11384049,1390082,1154653,16031,3725113,716589,3008524,15846801,11078207,1202993,3339513,226088,2603869,209570,1653351,42648686
2019,558,34703273,17198373,8237010,719523,7517487,4198208,5008283,61399,0,2297381,2283613,13768,57788413,45989338,139245,11444946,214884,0,0,0,94789067
2019,248,15842718,2848831,4494870,,4494870,4955250,2944883,598884,-117911,4643528,491451,4152077,15794288,12277632,64284,3280249,172123,1463976,555706,1889375,40071680
