Año,NCODI,70_tIngresos,700_particular,701_AsegPriv,701_1_AsistSanitaria,701_2_AccTrafic,702_MATEPSS,704_SNS,705_1_FdirectaSS,705_2_FdirectaAPriv_MATEPSS,706_OyEntiPublica,708_bonificaciones,709_Otros_Ips,74_Total_Subvencion,740_subvenciones,741_otraSubvencion,7X_restoIngresos,total_ventasIngresos,70_Hospital,70_consulExter,70_CMA,70_hospDia,70_Urgencia,70_hospDom,700_Hospital,700_consulExter,700_CMA,700_hospDia,700_Urgencia,700_hospDom,701_Hospital,701_consulExter,701_CMA,701_hospDia,701_Urgencia,701_hospDom,701_1Hospital,701_1consulExter,701_1CMA,701_1hospDia,701_1Urgencia,701_1hospDom,701_2Hospital,701_2consulExter,701_2CMA,701_2hospDia,701_2Urgencia,701_2hospDom,702_Hospital,702_consulExter,702_CMA,702_hospDia,702_Urgencia,702_hospDom,704_Hospital,704_consulExter,704_CMA,704_hospDia,704_Urgencia,704_hospDom,705_1Hospital,705_1consulExter,705_1CMA,705_1hospDia,705_1Urgencia,705_1hospDom,705_2Hospital,705_2consulExter,705_2CMA,705_2hospDia,705_2Urgencia,705_2hospDom,706_Hospital,706_consulExter,706_CMA,706_hospDia,706_Urgencia,706_hospDom,708_Hospital,708_consulExter,708_CMA,708_hospDia,708_Urgencia,708_hospDom
2019,113,27357474,0,267,267,0,0,27357207,0,0,0,0,0,331553,331553,0,62665,27751692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,619,17135882,3933082,12557940,12205563,352377,591178,51159,0,0,0,0,2523,18022,0,18022,562860,17716764,11333082,4060032,0,0,1740245,0,3012678,890357,0,0,30047,0,7888081,3073939,0,0,1595920,0,7788984,2871442,0,0,1545137,0,99097,202497,0,0,50783,0,395402,81498,0,0,114278,0,36921,14238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,163,8163305,2081244,4718130,4534709,183421,0,180305,0,0,0,0,1183626,0,0,0,32951,8196256,4420888,3162846,0,0,0,0,1316557,437249,0,0,0,0,3104331,2725597,0,0,0,0,3104331,2528714,0,0,0,0,0,196883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,131,1692753,0,0,0,0,0,1692753,0,0,0,0,0,0,0,0,200053,1892806,1692753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1692753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,375,12347847,689,120885,252,120633,1373,12224900,0,0,0,0,0,173352,173352,0,8876,12530075,118319,384,0,0,0,0,0,0,0,0,0,0,118319,0,0,0,0,0,0,0,0,0,0,0,118319,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1090,399872564,557193,2256874,763226,1493648,833630,396224867,0,0,0,0,0,7521356,7521356,0,482033,407875953,2181287,130169,0,0,1044204,0,367925,43095,0,0,108358,0,1410799,24932,0,0,638053,0,537723,24932,0,0,50059,0,873076,0,0,0,587994,0,402563,62142,0,0,297793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,764,291844534,579122,3503097,2042469,1460628,895301,0,286676474,0,190540,0,0,0,0,0,812383,292656917,3837165,689906,3131,2600,635258,0,385075,91142,0,0,102905,0,2886610,368413,3131,2600,242343,0,1746799,182195,3131,2600,107744,0,1139811,186218,0,0,134599,0,524362,161342,0,0,209597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41118,69009,0,0,80413,0,0,0,0,0,0,0
2019,14,8445090,291035,7158854,7012349,146505,995201,0,0,0,0,0,0,0,0,0,437618,8882708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,657,40482068,1715,224955,42822,182133,188940,144868,39921590,0,0,0,0,0,0,0,33455,40515523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,362,18040848,1262556,3781363,3655307,126056,329636,8257246,754740,,3655307,0,0,0,0,0,294928,18335776,1249378,1192617,308511,0,1329507,0,32070,251100,42084,0,1460,0,605912,386631,125648,0,643756,0,599828,305042,123298,0,633261,0,6084,81589,2350,0,10495,0,5884,44376,16334,0,51031,0,0,190110,10945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605512,320400,113500,0,633260,0,0,0,0,0,0,0
2019,989,216735,4011,91665,5065,86600,73289,0,0,0,47770,0,0,36472479,36472479,0,0,36689214,31684,0,9158,0,175894,0,2831,0,0,0,1180,0,23334,0,2869,0,65462,0,2727,0,,0,2338,0,20607,0,2869,0,63124,0,2262,0,5203,0,65824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3257,0,1086,0,43428,0,0,0,0,0,0,0
2019,990,372992,24259,265106,115571,149535,83627,0,0,0,0,0,0,39388902,39388902,0,11176,39773070,161803,7721,5813,8125,189530,0,4080,3128,0,0,17051,0,150705,2027,5030,8125,99219,0,78814,2027,0,8125,26605,0,71891,0,5030,0,72614,0,7018,2566,783,0,73260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,680,350153091,1004374,1830335,160322,1670013,522144,2413162,343773486,0,609590,0,0,0,0,0,199779,350352870,4533655,104949,40523,5942,1623043,100,718491,16641,2935,5712,260359,100,1037526,2269,0,0,789476,0,133338,2269,0,0,24634,0,904188,0,0,0,764842,0,333197,9094,0,0,179637,0,1920355,36370,30597,0,355862,0,0,0,0,0,0,0,0,0,0,0,0,0,524086,40575,6991,230,37709,0,0,0,0,0,0,0
2019,411,38714406,4667274,28662899,27531674,1131225,0,2585962,0,943175,2015853,-433484,272727,0,0,0,1608944,40323350,17193195,16432484,1846686,2524672,3149700,0,1429331,3025559,140288,12866,82164,0,13776018,7943542,1433879,2511806,2997654,0,13662066,7023810,1433477,2511806,2900515,0,113952,919732,402,0,97139,0,0,0,0,0,0,0,1404515,1213742,215645,0,700,0,0,0,0,0,0,0,583331,2233788,56874,0,69182,0,0,2015853,0,0,0,0,0,0,0,0,0,0
2019,241,38872847,8733238,24195991,23707689,488302,3172908,2406715,0,0,227428,0,136567,1693,1693,0,330985,39205525,15293286,6632778,11531770,867218,4411231,0,2867319,3445704,2112843,24247,283126,0,9723847,2895650,6750934,842789,3982772,0,9630609,2784138,6576740,842789,3873413,0,93238,111512,174194,0,109359,0,1491373,283318,1252884,0,145333,0,1210747,3372,1192597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4734,222512,182,0,0,0,0,0,0,0,0
2019,558,94782947,26588,291407,41017,250390,78800,198992,94187160,0,0,0,0,0,0,0,6120,94789067,298184,14176,0,0,283428,0,11736,831,0,0,14022,0,87168,2861,0,0,201378,0,12196,2861,0,0,25960,0,74972,0,0,0,175418,0,29959,2226,0,0,46615,0,169321,8258,0,0,21413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
