Año,NCODI,inver_iIntangible,inver_IMaterial,inver_IMterrenos,inver_IMresto,inver_Otras,inver_Total
2019,113,56551,0,0,0,0,56551
2019,619,0,704750,0,704750,0,704750
2019,163,76222,5144617,0,5144617,0,5220839
2019,131,0,29586,0,29586,0,29586
2019,375,36248,546291,0,546291,0,582539
2019,1090,459210,29276581,0,29276581,0,29735791
2019,764,0,561818,0,561818,0,561818
2019,14,10528,173076,0,173076,0,183604
2019,657,0,85579,0,85579,0,85579
2019,362,21840,304016,0,304016,0,325856
2019,989,0,53295,,53295,0,53295
2019,990,0,79072,0,79072,0,79072
2019,680,0,6316626,0,6316626,0,6316626
2019,411,17267,577785,0,577785,0,595052
2019,241,94714,2188000,0,2188000,0,2282714
2019,558,0,1536740,0,1536740,0,1536740
2019,248,0,0,0,0,0,0
2019,224,86509,5671268,0,5671268,0,5757777
2019,591,526295,3762781,0,3762781,0,4289076
2019,586,0,3245902,0,3245902,0,3245902
2019,453,0,571599,172808,398791,0,571599
2019,145,10515,78374,0,78374,0,88889
2019,511,0,0,0,0,3318583,3318583
2019,530,0,1839961,0,1839961,1378675,3218636
2019,6,94714,2188000,0,2188000,0,2282714
2019,161,0,4495,0,4495,0,4495
2019,623,0,4589694,0,4589694,0,4589694
2019,349,3894,265380,0,265380,0,269274
2019,875,46314,4357781,0,4357781,0,4404095
2019,946,140215,3716356,0,3716356,0,3856571
2019,1023,627478,1398474,0,1398474,0,2025952
2019,1054,1207285,2189195,0,2189195,0,3396480
2019,1057,0,159230,0,159230,0,159230
2019,1031,0,0,0,0,0,0
2019,1032,593435,1552239,0,1552239,0,2145674
2019,1064,104500,5035331,0,5035331,0,5139831
2019,226,4000,1275000,0,1275000,0,1279000
2019,687,,238082,,238082,,238082
2019,745,,10436262,,10436262,,10436262
2019,109,0,930026,0,930026,0,930026
2019,808,15578,475245,,475245,,490823
2019,971,0,37459,,37459,,37459
2019,128,0,397252,0,397252,0,397252
2019,919,0,1073804,0,1073804,0,1073804
2019,1150,0,356870,0,356870,12540,369410
2019,725,0,2272051,0,2272051,0,2272051
2019,3,0,33091,0,33091,0,33091
2019,306,0,0,0,0,0,0
2019,15,0,173737,0,173737,0,173737
2019,264,16289,381791,,381791,,398080
2019,867,0,0,0,0,0,0
2019,910,0,172199,0,172199,0,172199
2019,1053,0,228449,0,228449,0,228449
2019,1055,0,513802,513802,0,0,513802
2019,1081,2856,10594,0,10594,0,13450
2019,1115,0,0,0,0,0,0
2019,529,0,0,0,,2040460,2040460
2019,345,0,0,0,0,71096,71096
2019,515,17890,0,0,0,197719,215609
2019,174,0,1360544,0,1360544,0,1360544
2019,523,89654,9732284,0,9732284,0,9821938
2019,697,19183,1917491,0,1917491,0,1936674
2019,239,0,1296145,0,1296145,311471,1607616
2019,287,2464,2305562,771273,1534289,0,2308026
2019,377,0,158241,0,158241,0,158241
2019,692,27627,1874542,0,1874542,0,1902169
2019,435,,509395,509151,244,181204,690599
2019,423,0,4407956,2809443,1598513,43576,4451532
2019,351,0,324838,103574,221264,0,324838
2019,810,0,1065276,,1065276,29450,1094726
2019,830,5182,1445494,0,1445494,0,1450676
2019,892,0,4034664,0,4034664,0,4034664
2019,921,70427,1937687,0,1937687,0,2008114
2019,991,0,108925,0,108925,0,108925
2019,992,0,1119600,462675,656925,0,1119600
2019,993,0,0,0,0,0,0
2019,1070,0,5027124,0,5027124,0,5027124
2019,1095,30652,502856,0,502856,0,533508
2019,1094,0,16000,0,16000,0,16000
2019,1124,0,77176,0,77176,0,77176
2019,473,0,19089,0,19089,169,19258
2019,663,58813,2896053,4320,2891733,0,2954866
2019,552,0,116371,0,116371,0,116371
2019,772,2811318,20860213,3207092,17653121,2710,23674241
2019,568,0,863232,0,863232,0,863232
2019,398,2076,2701612,0,2701612,0,2703688
2019,394,0,329055,0,329055,0,329055
2019,614,0,86127,0,86127,0,86127
2019,235,33499,1145337,0,1145337,0,1178836
2019,616,45911,591735,0,591735,0,637646
2019,267,0,3026619,0,3026619,0,3026619
