año,NCODI,Cód CCAA (Todas),Desc CCAA (Todas),FINALIDAD agrupada para Anonimización,Cód Grupo Finalidad,Desc Grupo Finalidad,Cód Finalidad,Cód Concierto,Desc Concierto,Cód Pertenencia SNS,Desc Pertenencia SNS
2020,109,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,808,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,971,"01","ANDALUCÍA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,128,"07","CASTILLA Y LEÓN","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",2,"Privados"
2020,919,"07","CASTILLA Y LEÓN","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1150,"07","CASTILLA Y LEÓN","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",2,"Concierto parcial",2,"Privados"
2020,725,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,3,"11","EXTREMADURA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,306,"11","EXTREMADURA","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",1,"Públicos-SNS"
2020,15,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C1290",2,"Concierto parcial",2,"Privados"
2020,264,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,867,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,910,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1053,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1055,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",1,"Sin concierto.",1,"Públicos-SNS"
2020,1081,"11","EXTREMADURA","Otros",2,"Hospitales De Media Y Larga Estancia","C13",31,"Red de utilización pública de agudos, sociosanitaria o salud mental",1,"Públicos-SNS"
2020,1115,"11","EXTREMADURA","Agudos",1,"Hospitales De Agudos","C11",2,"Concierto parcial",2,"Privados"
2020,529,"04","ILLES BALEARS","Otros",2,"Hospitales De Media Y Larga Estancia","C13",1,"Sin concierto.",1,"Públicos-SNS"
2020,345,"04","ILLES BALEARS","Otros",2,"Hospitales De Salud Mental Y Toxicomanias","C14",1,"Sin concierto.",1,"Públicos-SNS"
2020,515,"04","ILLES BALEARS","Agudos",1,"Hospitales De Agudos","C12",1,"Sin concierto.",1,"Públicos-SNS"
