año,NCODI,due_cTotal,matronas_cTotal,oDueEspeciali_cTotal,fisioterapeutas_cTotal,terapeutas_cTotal,logopedas_cTotal,oSaniMedio_cTotal,gMedioSani_cTotal,gSuperiorSani_cTotal,tecSani_cTotal,restSani_cTotal2,due_cMujeres,matronas_cMujeres,oDueEspeciali_cMujeres,fisioterapeutas_cMujeres,terapeutas_cMujeres,logopedas_cMujeres,oSaniMedio_cMujeres,gMedioSani_cMujeres,gSuperiorSani_cMujeres,tecSani_cMujeres,restSani_cMujeres2,due_pTotal,matronas_pTotal,oDueEspeciali_pTotal,fisioterapeutas_pTotal,terapeutas_pTotal,logopedas_pTotal,oSaniMedio_pTotal,gMedioSani_pTotal,gSuperiorSani_pTotal,tecSani_pTotal,restSani_pTotal2,due_pMujeres,matronas_pMujeres,oDueEspeciali_pMujeres,fisioterapeutas_pMujeres,terapeutas_pMujeres,logopedas_pMujeres,oSaniMedio_pMujeres,gMedioSani_pMujeres,gSuperiorSani_pMujeres,tecSani_pMujeres,restSani_pMujeres2,due_colabTotal,matronas_colabTotal,oDueEspeciali_colabTotal,fisioterapeutas_colabTotal,terapeutas_colabTotal,logopedas_colabTotal,oSaniMedio_colabTotal,gMedioSani_colabTotal,gSuperiorSani_colabTotal,tecSani_colabTotal,restSani_colabTotal2,due_colabMujeres,matronas_colabMujeres,oDueEspeciali_colabMujeres,fisioterapeutas_colabMujeres,terapeutas_colabMujeres,logopedas_colabMujeres,oSaniMedio_colabMujeres,gMedioSani_colabMujeres,gSuperiorSani_colabMujeres,tecSani_colabMujeres,restSani_colabMujeres2,direccion_cTotal,trabSocial_cTotal,perOficio_cTotal,administrativos_cTotal,oNoSani_cTotal,direccion_cMujeres,trabSocial_cMujeres,perOficio_cMujeres,administrativos_cMujeres,oNoSani_cMujeres,direccion_pTotal,trabSocial_pTotal,perOficio_pTotal,administrativos_pTotal,oNoSani_pTotal,direccion_pMujeres,trabSocial_pMujeres,perOficio_pMujeres,administrativos_pMujeres,oNoSani_pMujeres,direccion_colabTotal,trabSocial_colabTotal,perOficio_colabTotal,administrativos_colabTotal,oNoSani_colabTotal,direccion_colabMujeres,trabSocial_colabMujeres,perOficio_colabMujeres,administrativos_colabMujeres,oNoSani_colabMujeres
2020,362,55,0,0,3,0,0,0,34,14,48,0,45,0,0,2,0,0,0,32,12,44,0,21,0,0,1,0,0,0,3,1,4,0,17,0,0,0,0,0,0,3,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,42,13,1,0,0,31,1,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2020,989,159,7,3,9,1,1,0,123,24,147,0,126,5,3,5,1,1,0,114,22,136,0,40,0,2,0,0,0,0,7,2,9,0,35,0,2,0,0,0,0,7,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,11,97,0,1,0,10,57,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2020,990,171,6,0,7,1,1,1,136,31,167,0,149,6,0,4,0,0,0,129,22,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,60,64,6,1,1,44,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,680,931,26,0,21,0,0,1,671,140,811,0,767,23,0,15,0,0,0,623,110,733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,58,255,267,21,5,19,208,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,411,75,17,0,3,0,0,0,63,16,79,0,61,16,0,2,0,0,0,58,13,71,0,30,0,0,6,0,0,0,21,10,31,0,26,0,0,5,0,0,0,21,6,27,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,39,49,11,2,0,29,37,0,0,0,3,7,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
2020,241,28,0,0,0,0,0,0,41,1,42,0,24,0,0,0,0,0,0,33,0,33,0,33,4,0,0,0,0,0,23,1,24,0,26,4,0,0,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,22,18,1,0,0,15,18,0,0,0,11,6,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0
2020,558,311,13,0,9,0,0,2,190,53,243,0,263,12,0,4,0,0,2,178,44,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,20,93,119,16,1,2,70,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,248,70,0,0,4,0,0,0,77,26,103,0,55,0,0,4,0,0,0,69,19,88,0,14,0,0,1,0,0,0,10,5,15,0,10,0,0,0,0,0,0,9,4,13,0,2,0,0,4,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,1,0,7,0,33,36,58,3,0,27,27,41,0,0,1,5,8,0,0,1,5,7,0,0,0,0,0,0,0,0,0,0
2020,224,23,0,0,0,0,0,0,22,3,25,1,19,0,0,0,0,0,0,17,2,19,1,2,1,0,0,0,0,0,3,1,4,0,2,1,0,0,0,0,0,3,1,4,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,11,12,5,1,0,8,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020,875,81,0,0,8,1,0,0,78,31,109,0,71,0,0,5,0,0,0,78,16,94,0,22,0,0,2,1,0,0,12,6,18,0,19,0,0,2,1,0,0,10,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,61,27,7,0,0,48,18,0,0,0,18,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0
