año,NCODI,anatomia_centro,diagnostico_centro,dialisis_centro,esterilizacion_centro,laboratorio_centro,rehabilitacion_centro,otras_Asistenciales_centro,anatomia_fuera,diagnostico_fuera,dialisis_fuera,esterilizacion_fuera,laboratorio_fuera,rehabilitacion_fuera,otras_Asistenciales_fuera,otros_Asis_texto,cocina_centro,lavanderia_centro,limpieza_centro,mantenimiento_centro,seguridad_centro,otros_NoAsistenciales_centro,cocina_fuera,lavanderia_fuera,otros_NoAsistenciales_fuera,otros_NoAsis_texto,oxigenoterapia_centro,oxigenoterapia_fuera,transporte_centro
2020,753,0,0,0,0,0,0,0,0,1,1,0,0,1,1,"0",0,0,0,1,1,1,0,1,1,"1",0,1,0
2020,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,"0",0,0,0
2020,245,1,1,0,0,1,1,0,0,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,603,0,0,0,0,1,0,1,1,0,0,0,0,0,1,"1",1,0,0,1,1,0,0,1,0,"0",0,0,0
2020,426,0,1,0,0,1,1,1,1,0,0,0,0,0,0,"1",1,0,1,0,0,0,0,0,0,"0",1,0,0
2020,232,0,1,0,1,1,0,1,1,0,0,0,0,0,0,"0",1,0,1,1,0,1,0,1,0,"0",0,0,0
2020,288,0,1,0,1,1,1,0,1,0,0,0,0,0,1,"1",1,0,0,0,0,0,0,1,1,"1",0,0,0
2020,246,0,0,0,0,1,1,1,1,0,0,0,0,0,0,"1",1,0,0,0,0,0,0,1,1,"1",1,0,0
2020,284,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0",1,0,1,0,0,0,0,1,0,"0",0,0,0
2020,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",1,1,0,0,0,0,1,1,0,"0",0,0,0
2020,356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,401,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"0",1,0,1,1,1,1,0,1,1,"1",0,0,0
2020,733,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"0",1,0,0,0,1,0,0,1,0,"0",0,0,0
2020,243,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,380,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,0
2020,716,0,1,1,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,1,0
2020,534,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,185,0,1,0,0,0,0,0,1,0,0,0,1,0,0,"0",1,0,0,0,0,0,0,1,0,"0",0,0,0
2020,258,0,1,0,1,1,1,0,1,0,0,0,0,0,0,"0",1,0,1,1,1,0,0,1,0,"0",0,0,0
2020,505,0,0,1,1,0,1,0,1,1,0,0,1,0,0,"0",0,0,1,1,1,0,1,1,0,"0",1,0,0
2020,268,0,1,1,1,1,1,0,1,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,0
2020,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,1,1,0,0,1,1,0,"0",0,0,0
2020,619,0,0,0,0,1,0,0,1,0,0,0,1,0,0,"0",1,0,0,0,0,0,0,1,1,"1",,,
2020,163,0,1,0,1,0,1,0,1,0,0,0,1,0,0,"0",0,0,1,1,1,0,1,1,0,"0",0,0,0
2020,131,0,0,0,1,0,1,0,0,0,0,0,1,0,0,"0",1,1,1,1,0,0,0,0,0,"0",0,0,0
2020,375,0,1,0,1,1,1,0,1,0,1,0,0,0,0,"0",1,0,1,1,0,0,0,1,1,"1",0,0,0
2020,1090,0,1,1,0,1,0,0,0,1,0,0,1,0,1,"1",1,0,1,1,0,0,0,1,1,"1",0,0,0
2020,764,0,0,0,0,0,0,0,0,1,1,0,1,1,1,"1",1,0,1,1,1,1,0,0,1,"1",0,1,1
2020,14,0,1,0,1,1,0,0,1,0,0,0,0,0,0,"0",1,1,1,1,1,0,0,0,0,"0",1,0,0
