año,NCODI,biopsias_hosp,biopsias_CEP,necropsias_hosp,angio_hosp,angio_CEP,densiometrias_hosp,densiometrias_CEP,gamma_hosp,gamma_CEP,mamo_hosp,mamo_CEP,pet_hosp,pet_CEP,resonancia_hosp,resonancia_CEP,rx_hosp,rx_CEP,spect_hosp,spect_CEP,tac_hosp,tac_CEP,Colonosopia,Broncoscopia,ERCP
2020,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,619,0,0,0,0,0,0,0,0,0,1359,0,0,0,3917,0,7758,0,0,0,1895,0,,,
2020,163,887,0,0,0,0,164,0,0,0,356,0,0,0,4375,0,502,0,0,0,1535,0,0,0,0
2020,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,0,0,0,0,0,0,0,0
2020,1090,24670,1751,231,2,0,1713,0,0,0,4017,0,2249,0,5,0,125963,41773,224,0,27816,0,7161,623,3
2020,764,16684,0,21,58,0,1483,0,0,0,3150,0,0,0,9738,0,158836,0,0,0,25312,0,2160,612,380
2020,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,0,0
2020,657,4036,0,2,0,0,0,0,0,0,847,0,0,0,4105,0,33493,0,0,0,4871,0,797,30,0
2020,362,532,0,0,0,0,0,0,791,0,16977,0,0,0,4038,0,14021,0,0,0,1684,0,1142,8,0
2020,989,0,0,0,0,0,0,0,0,0,1321,0,0,0,0,0,27091,0,0,0,4470,0,948,21,0
2020,990,0,0,0,0,0,0,0,0,0,2034,0,0,0,666,0,35989,0,0,0,3809,0,516,83,0
2020,680,24569,0,50,2722,0,7467,0,0,0,5951,0,0,0,10018,0,137294,17739,0,0,28278,0,3742,857,376
2020,411,6494,0,0,340,0,5151,0,0,0,5298,0,0,0,5490,0,18616,0,0,0,5488,0,959,34,19
2020,241,4641,0,0,0,0,0,0,0,0,0,0,0,0,4406,0,13506,0,0,0,3669,0,794,7,0
2020,558,8089,0,6,0,0,2006,0,0,0,3328,0,0,0,0,0,54790,0,0,0,9690,0,1421,176,86
2020,248,2976,0,0,402,0,916,0,729,0,1531,581,622,0,11185,1455,25654,3593,0,0,9203,704,764,62,0
2020,224,1030,0,0,0,0,510,0,0,0,1141,0,0,0,2421,0,11261,127,0,0,2320,0,883,2,0
2020,591,12738,0,24,0,0,2401,0,0,0,2622,0,0,0,12915,0,99330,0,0,0,16000,0,1825,251,107
2020,586,17244,0,12,0,0,3462,0,0,0,10806,0,0,0,6559,0,126646,488,0,0,24674,0,1290,333,154
2020,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11957,0,0,0,2691,0,0,7,0
2020,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,511,9757,0,6,0,0,0,0,0,0,4112,0,0,0,2850,0,54881,14897,0,0,12464,0,2873,435,86
2020,530,13548,0,13,0,0,0,0,0,0,2096,0,0,0,0,0,49050,23016,0,0,13349,0,2803,275,94
2020,6,8490,0,0,67,0,1812,0,680,0,3450,0,499,0,5225,0,29453,0,181,0,4183,0,626,6,0
2020,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,623,17470,0,6,0,0,0,2439,0,0,8828,0,4312,0,7141,0,110497,6549,11316,0,20518,0,1980,1394,88
2020,875,4304,0,0,25,0,1340,0,171,0,2743,0,654,0,6587,0,27945,0,21,0,7332,0,848,70,6
2020,946,4894,0,0,241,0,1565,0,259,0,2574,0,0,0,7408,0,35771,0,0,0,6055,0,806,23,7
2020,1023,12004,0,16,534,0,2197,0,0,0,5168,0,0,0,5481,0,109173,0,0,0,16454,0,3087,427,89
2020,1054,8774,0,11,1689,0,3045,0,0,0,2716,0,0,0,10214,0,58605,5999,0,0,14831,0,1893,144,66
2020,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827,0,0,0,212,0,0,0,0
2020,1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1032,10905,0,3,454,0,3256,0,0,0,4879,0,4679,0,5383,0,91854,0,1664,0,12481,0,2047,459,199
2020,1064,6944,0,0,248,0,2373,0,0,0,3216,0,0,0,9946,0,43841,0,0,0,6341,0,1403,21,14
2020,226,348,0,0,0,0,2127,0,373,0,2320,320,0,0,7831,0,9570,520,0,0,3412,0,1984,0,0
2020,687,12017,0,0,,,0,,0,,4350,0,,,0,,113180,0,,,9023,,1463,123,
2020,745,10581,0,8,994,,2656,,2635,,9078,11788,,,5813,,119189,65151,1428,,26961,,4967,937,
2020,109,4998,0,0,0,0,0,0,0,0,1106,0,0,0,11222,0,26439,0,0,0,5495,0,2392,23,2
2020,808,11784,0,13,0,,,,0,,10042,0,,,7401,,133385,0,,,11333,,2480,2180,
2020,971,2531,0,0,,,,,,,608,0,,,0,,44426,0,,,2336,,890,533,
2020,128,0,0,0,0,0,397,0,0,0,1019,0,0,0,0,0,12896,0,0,0,0,0,135,0,0
2020,919,7316,0,11,0,0,773,0,0,0,1599,5497,0,0,7268,0,80901,10253,0,0,20352,0,2267,98,67
2020,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,725,18320,0,6,274,0,2896,0,0,0,4910,0,4417,0,13662,0,132117,0,8227,0,25287,0,2896,589,287
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,15,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,1357,0,0,0,0,0,0,0,0
2020,264,0,0,0,0,0,0,0,0,0,2072,0,0,0,5749,0,16061,0,0,0,5229,0,987,24,0
2020,867,0,0,0,0,0,391,0,0,0,923,0,0,0,0,0,9771,0,0,0,0,0,260,0,0
2020,910,5002,0,4,0,0,0,0,0,0,1910,0,0,0,2005,0,53079,0,0,0,8051,0,1233,74,0
2020,1053,9201,0,4,0,0,0,0,0,0,5661,0,0,0,4711,0,54456,3360,0,0,11845,0,2909,137,0
2020,1055,12170,0,6,0,0,1305,0,0,0,5250,0,0,0,3376,0,105049,0,0,0,16980,0,2258,283,0
2020,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1115,0,0,0,0,0,470,0,0,0,1065,0,0,0,1544,0,7272,0,0,0,1492,0,775,0,0
2020,529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,0
2020,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,515,0,0,0,0,0,0,0,0,0,0,0,0,0,2577,0,20492,0,0,0,825,0,0,0,0
2020,174,2740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2856,0,0
2020,523,0,0,0,0,0,0,0,0,0,349,0,0,0,6407,0,21023,0,0,0,3552,0,0,0,0
2020,697,4656,0,0,37,0,3302,0,1820,0,8847,0,904,0,11510,0,50927,0,282,0,8547,0,946,9,12
2020,239,1684,0,0,0,0,1519,0,0,0,4421,0,0,0,7163,0,55201,0,0,0,6178,0,1224,37,0
2020,287,6426,0,2,154,0,2778,0,144,0,3754,0,0,0,11393,0,52565,0,0,0,9110,0,1861,115,56
2020,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3619,0,0,0,0,0,0,0,0
2020,692,5574,0,11,0,0,747,0,0,0,5051,0,0,0,4865,0,58166,0,0,0,10469,0,1016,114,24
2020,435,2806,0,0,278,0,183,0,0,0,2494,0,0,0,7127,0,16077,0,0,0,5395,0,732,0,0
2020,423,0,0,0,0,0,197,0,0,0,546,0,0,0,2135,0,5537,0,0,0,2221,0,165,0,0
2020,351,128,0,0,0,0,202,0,0,0,849,0,0,0,1716,0,11009,0,0,0,1631,0,37,0,0
2020,810,0,0,0,0,0,0,0,0,0,638,0,0,0,0,0,4877,0,0,0,993,0,6,0,0
2020,830,7745,0,0,0,0,0,0,0,0,4102,0,0,0,2363,0,50750,0,0,0,6788,0,981,0,0
2020,892,15523,0,67,75,0,929,0,0,0,9496,0,0,0,4973,0,82307,0,0,0,14970,0,1022,338,78
2020,921,5478,0,2,584,0,3347,0,0,0,6945,0,0,0,15162,0,36790,0,0,0,10962,0,3112,19,6
2020,991,0,0,0,0,0,0,0,0,0,272,0,0,0,0,0,4056,0,0,0,701,0,19,0,0
2020,992,6377,0,11,0,0,0,0,0,0,1603,0,0,0,3590,0,46473,0,0,0,6758,0,1101,74,71
2020,993,5067,0,7,0,0,1821,0,0,0,1368,0,0,0,3424,0,27533,11761,0,0,5216,0,982,97,0
2020,1070,26834,0,109,839,0,1470,0,5889,0,5943,0,2696,0,20377,0,126274,0,853,0,28797,0,2633,605,292
2020,1095,609,0,0,0,0,809,0,0,0,759,0,0,0,1904,0,8501,0,0,0,1984,0,273,0,0
2020,1094,0,0,0,0,0,0,0,0,0,350,0,0,0,1859,0,2039,0,0,0,348,0,57,0,0
2020,1124,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,12,0,0
2020,473,0,0,0,0,0,0,0,0,0,0,0,0,0,3794,0,901,0,0,0,0,0,0,0,0
2020,663,22732,0,0,600,0,2488,0,2050,0,11999,0,852,0,11365,0,63393,7403,1005,0,34984,0,4835,705,216
2020,552,0,0,0,125,0,0,0,0,0,5642,0,0,0,0,0,16991,0,0,0,1005,0,0,0,0
2020,772,357506,0,261,3633,0,4125,0,4148,0,9096,0,4669,0,20963,0,192793,0,2454,0,41155,0,4417,837,280
2020,568,0,0,0,0,0,0,0,0,0,0,0,0,0,4368,0,14363,0,0,0,1609,0,0,0,0
2020,398,0,0,0,0,0,0,0,0,0,0,0,0,0,4027,0,10084,0,0,0,3103,0,0,0,0
2020,394,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,4897,0,0,0,0,0,0,0,0
2020,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,235,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,0,4967,0,0,0,1050,0,0,0,0
2020,616,3460,0,0,0,0,0,0,0,0,0,0,0,0,2841,0,36163,0,0,0,2589,0,802,12,10
2020,267,1495,0,0,53,0,495,0,0,0,1021,0,0,0,9668,0,24613,0,0,0,8555,0,1516,357,42
2020,565,2173,0,0,0,0,523,0,0,0,523,0,0,0,6177,0,9519,0,0,0,3241,0,1097,0,0
2020,220,0,0,0,0,0,271,0,0,0,709,0,0,0,0,0,10129,0,0,0,1977,0,975,0,12
2020,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,711,24765,0,28,748,0,2795,0,0,0,11601,0,4969,0,11893,0,87098,0,2949,0,32160,0,5963,1182,265
2020,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0
2020,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1733,0,0,0,0,0,0,0,0
2020,766,2669,0,0,151,0,0,0,0,0,0,0,0,0,973,0,15721,0,0,0,3313,0,0,0,0
2020,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,728,16706,0,4,0,0,0,0,2077,0,4091,0,0,0,8158,0,70079,0,132,0,14742,0,3092,154,0
2020,280,0,0,0,0,0,746,0,0,0,9096,0,0,0,22468,0,93562,0,0,0,12841,0,2435,47,75
2020,222,0,0,0,0,0,283,0,0,0,1089,0,0,0,2274,0,271,0,0,0,1615,0,0,0,0
2020,276,26601,0,0,14,0,3303,0,1492,0,9980,0,2701,0,25553,0,60792,0,0,0,28912,0,1742,2101,47
2020,11,5106,0,0,189,0,587,0,252,0,3682,0,117,0,6588,0,13250,0,152,0,6915,0,0,0,0
2020,302,0,0,0,0,0,980,0,0,0,2846,0,0,0,5880,0,0,0,0,0,3560,0,610,0,0
2020,682,3798,0,0,0,0,345,0,0,0,105,0,71,0,2984,0,20502,0,57,0,3904,0,762,18,4
2020,279,11780,0,11,0,0,0,0,0,0,0,0,0,0,23335,0,73115,0,0,0,16911,0,3795,16,32
2020,282,6332,0,0,80,0,0,0,0,0,8101,0,0,0,21161,0,72695,0,0,0,20379,0,11069,120,263
2020,281,5086,0,3,622,0,0,0,0,0,0,0,0,0,1214,0,34957,0,0,0,6589,0,299,207,102
2020,183,1269,0,0,0,0,0,0,0,0,267,0,0,0,2058,0,5457,0,0,0,2026,0,195,0,0
2020,610,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0
2020,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,119,0,0,0,0,0,7,0,0,0,484,0,0,0,0,0,294,0,0,0,0,0,179,0,0
2020,770,24203,0,71,3965,0,3808,0,0,0,23271,0,0,0,16488,0,277305,0,7961,0,31602,0,3520,1305,301
2020,583,0,0,0,0,0,768,0,0,0,5545,0,0,0,3031,0,51784,0,0,0,6019,0,1030,59,0
2020,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0
2020,469,2464,0,0,0,0,0,0,0,0,2244,0,0,0,0,0,21900,0,0,0,4015,0,493,33,0
2020,642,7655,0,0,0,0,0,0,0,0,5115,0,0,0,0,0,52877,0,0,0,10506,0,1397,158,0
2020,674,4699,0,67,246,0,0,0,0,0,5091,0,0,0,7630,0,38105,528,0,0,3226,0,116,29,0
2020,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0
