año,NCODI,70_tIngresos,700_particular,701_AsegPriv,701_1_AsistSanitaria,701_2_AccTrafic,702_MATEPSS,704_SNS,705_1_FdirectaSS,705_2_FdirectaAPriv_MATEPSS,706_OyEntiPublica,708_bonificaciones,709_Otros_Ips,74_Total_Subvencion,740_subvenciones,741_otraSubvencion,7X_restoIngresos,total_ventasIngresos,70_Hospital,70_consulExter,70_CMA,70_hospDia,70_Urgencia,70_hospDom,700_Hospital,700_consulExter,700_CMA,700_hospDia,700_Urgencia,700_hospDom,701_Hospital,701_consulExter,701_CMA,701_hospDia,701_Urgencia,701_hospDom,701_1Hospital,701_1consulExter,701_1CMA,701_1hospDia,701_1Urgencia,701_1hospDom,701_2Hospital,701_2consulExter,701_2CMA,701_2hospDia,701_2Urgencia,701_2hospDom,702_Hospital,702_consulExter,702_CMA,702_hospDia,702_Urgencia,702_hospDom,704_Hospital,704_consulExter,704_CMA,704_hospDia,704_Urgencia,704_hospDom,705_1Hospital,705_1consulExter,705_1CMA,705_1hospDia,705_1Urgencia,705_1hospDom,705_2Hospital,705_2consulExter,705_2CMA,705_2hospDia,705_2Urgencia,705_2hospDom,706_Hospital,706_consulExter,706_CMA,706_hospDia,706_Urgencia,706_hospDom,708_Hospital,708_consulExter,708_CMA,708_hospDia,708_Urgencia,708_hospDom
2020,113,28480372,0,0,0,0,0,28480372,0,0,0,0,0,298707,298707,0,31893,28810972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,619,16207157,3911570,10949311,10757826,191485,557797,472133,0,0,0,0,316346,0,0,0,0,16207157,12203922,2237154,0,0,1449735,0,3005674,870821,0,0,35075,0,8371245,1283866,0,0,1294200,0,8275400,1223676,0,0,1258750,0,95845,60190,0,0,35450,0,354870,82467,0,0,120460,0,472133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,163,8448548,2145107,4770155,4600776,169379,0,165316,0,0,0,0,1367970,0,0,0,86636,8535184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,131,2400002,918985,0,0,0,0,1481017,0,0,0,0,0,0,0,0,7864,2407866,1753962,607450,0,0,0,0,1753962,607450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,375,12979602,25,85165,14391,70774,4067,12890345,0,0,0,0,0,184413,184413,0,2962,13166977,82604,1374,0,0,501,0,0,0,0,0,0,0,82604,0,0,0,174,0,13650,0,0,0,174,0,68954,0,0,0,0,0,0,1374,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1090,428420600,427717,1858546,810061,1048485,929232,425205105,0,0,0,0,0,5367531,5367531,0,603625,434391756,2159317,136854,0,0,711923,0,255810,33562,0,0,110928,0,1354657,30945,0,0,377358,0,669674,30945,0,0,33462,0,684983,0,0,0,343896,0,548850,72347,0,0,223637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,764,313414270,309128,3483805,2179844,1303961,741069,85054,308606665,0,188549,0,0,0,0,0,1010285,314424555,3725962,620846,3913,9750,447134,0,202324,52518,0,0,54286,0,2933182,341281,2348,5200,201794,0,1931398,165298,2348,5200,75600,0,1001784,175983,0,0,126194,0,491000,109825,1565,0,138679,0,27217,43030,0,0,14807,0,0,0,0,0,0,0,0,0,0,0,0,0,72239,74192,0,4550,37568,0,0,0,0,0,0,0
2020,14,9207232,629389,6417704,6417704,0,2122000,38139,0,0,0,0,0,0,0,0,726793,9934025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,657,43985858,3757,160044,8938,151106,144474,0,43615858,0,61725,0,0,0,0,0,6588,43992446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,362,16539668,992401,3549762,3258834,290928,450956,3793873,501102,3990382,3181592,0,79600,0,0,0,1133575,17673243,4279478,1224848,432771,0,995266,0,405896,470320,23276,0,33690,0,1056267,235937,141484,0,492605,0,1043655,112920,133470,0,491247,0,12612,123017,8014,0,1358,0,13821,89219,7702,0,260,0,0,240685,110007,0,0,0,0,0,0,0,0,0,2747236,188687,150302,0,468711,0,56258,0,0,0,0,0,0,0,0,0,0,0
2020,989,259112,2351,87319,6687,80632,80878,0,0,0,88564,0,0,0,0,0,0,259112,107043,0,0,0,152069,0,2351,0,0,0,0,0,23913,0,0,0,63406,0,6687,0,0,0,0,0,17226,0,0,0,63406,0,1377,0,0,0,79501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79402,0,0,0,9162,0,0,0,0,0,0,0
2020,990,353993,22218,210694,120568,90126,121081,0,0,0,0,0,0,45803747,45803747,0,2117,46159857,144666,5191,0,0,183389,0,11693,0,0,0,12041,0,90949,1179,0,0,103228,0,83678,91,0,0,32890,0,7271,1088,0,0,70338,0,42024,4012,0,0,68120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,680,381856344,1389236,1330971,156140,1174831,1052635,1293271,375565507,0,1224724,0,0,0,0,0,122467,381978811,2945771,661342,61573,112076,1597303,0,454022,383614,30746,88274,404970,0,101039,3893,0,0,520706,0,101039,3893,0,0,51208,0,0,0,0,0,469498,0,665483,36838,0,0,296556,0,1013016,22810,25577,0,152918,0,0,0,0,0,0,0,0,0,0,0,0,0,712211,214187,5250,23802,222153,0,0,0,0,0,0,0
2020,411,37648992,4486587,28023125,26025298,1997827,0,2437315,0,979959,2054182,-563712,231536,25270,25270,0,563719,38237981,17330020,14261639,1499795,2956332,1988449,0,1830361,2505425,125876,22092,57900,0,13237583,8990738,988280,2934240,1872284,0,12095225,8223216,980241,2934240,1792376,0,1142358,767522,8039,0,79908,0,0,0,0,0,0,0,1618038,548241,271036,0,0,0,0,0,0,0,0,0,644038,163053,114603,0,58265,0,0,2054182,0,0,0,0,0,0,0,0,0,0
2020,241,36792811,9104468,22644955,22319415,325540,2321895,2375420,0,0,205703,0,140370,28971,28971,0,1563832,38385614,15516697,7191754,3640902,1069261,2880987,0,2504568,2835444,897356,22739,197031,0,9906084,4190546,2075409,1046522,2581313,0,9862759,4119520,2071063,1046522,2496194,0,43325,71026,4346,0,85119,0,1049092,162604,377704,0,98133,0,2056953,3160,290433,0,4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,558,1016898,114733,384060,65918,318142,380296,137809,0,0,0,0,0,111241282,111241282,0,0,112258180,437472,281847,0,9172,288406,0,32435,53933,0,9172,19193,0,216285,33992,0,0,133783,0,8273,33992,0,0,23653,0,208012,0,0,0,110130,0,70488,188400,0,0,121408,0,118264,5522,0,0,14022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,248,39050853,6631125,19421218,19209638,211580,449607,11466733,0,0,0,-1366,1083536,55798,45808,9990,928703,40035354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,224,9366375,1939014,7025699,6998851,26848,42853,0,0,236832,106703,-90,15364,972,972,0,121602,9488949,3726844,3429761,361322,214004,1619916,0,930123,795286,80594,6431,126582,0,2785349,2292170,273861,182905,1491414,0,2785349,2272112,273861,182905,1484624,0,0,20058,0,0,6790,0,327,18512,0,24668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10955,217090,6867,0,1920,0,0,106703,0,0,0,0,90,0,0,0,0,0
2020,591,200253084,197380,1206533,129392,1077141,458962,1239683,197150526,0,0,0,0,0,0,0,0,200253084,2309517,228079,0,0,547452,0,138632,17227,0,0,41522,0,872083,60603,0,0,273846,0,41669,60093,0,0,27630,0,830414,510,0,0,246216,0,193254,114347,0,0,151361,0,1105548,35902,0,0,80723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
