,AdministrativeDuration,Informational,InformationalDuration,ProductRelatedDuration,ExitRates,PageValues,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Administrative,ProductRelated,BounceRates
0,0.0,0.0,0.0,0.0,4.895620690835034,0.0,Feb,MacOS,Mozilla Firefox,Region1,DT,Returning_Visitor,0.0,1.0,0.2
1,0.0,0.0,0.0,64.0,2.095620713235034,0.0,Feb,Windows,Google Chrome,Region1,OT,Returning_Visitor,0.0,2.0,0.0
2,0.0,0.0,0.0,0.0,4.895620690835034,0.0,Feb,iOS,Mozilla Firefox,Region9,RT,,,1.0,
3,0.0,0.0,0.0,2.666666667,3.215620704275034,0.0,Feb,Linux,Google Chrome,Unknown,SMT,Returning_Visitor,,2.0,0.05
4,0.0,0.0,0.0,627.5,0.6956207244350342,0.0,Feb,Linux,Tor,Region1,SMT,Returning_Visitor,0.0,10.0,0.02
5,0.0,0.0,0.0,154.2166667,-0.0166599578667204,0.0,Feb,Windows,Google Chrome,Region1,RT,Returning_Visitor,0.0,19.0,0.015789474
6,0.0,0.0,0.0,0.0,4.895620690835034,0.0,Feb,Windows,Safari,,RT,Returning_Visitor,0.0,1.0,0.2
7,0.0,0.0,0.0,0.0,4.895620690835034,0.0,Feb,MacOS,Google Chrome,Region1,CMCT,Returning_Visitor,1.0,0.0,0.2
8,0.0,0.0,0.0,37.0,2.095620713235034,0.0,Feb,Windows,Google Chrome,Region2,RT,Returning_Visitor,0.0,2.0,0.0
9,0.0,0.0,0.0,738.0,-0.0821570533427435,0.0,Feb,Windows,Safari,Region1,OT,Returning_Visitor,0.0,3.0,0.0
10,0.0,0.0,0.0,395.0,1.162287396701701,0.0,Feb,MacOS,Mozilla Firefox,Region3,RT,Returning_Visitor,0.0,3.0,0.0
11,0.0,0.0,0.0,407.75,0.0189540538483675,0.0,Feb,MacOS,Mozilla Firefox,Region4,RT,Returning_Visitor,0.0,16.0,0.01875
12,0.0,0.0,0.0,280.5,0.095620741235034,0.0,Feb,MacOS,Mozilla Firefox,,RT,Returning_Visitor,0.0,7.0,0.0
13,0.0,0.0,0.0,98.0,1.162287396701701,0.0,Feb,Windows,Microsoft Edge,Region1,RT,Returning_Visitor,0.0,6.0,0.0
14,0.0,0.0,0.0,68.0,2.095620713235034,0.0,Feb,Linux,Google Chrome,,RT,Returning_Visitor,0.0,2.0,0.0
